"year","klasirane","school_code","school_name","profile_code","profile_name","min_score_total","min_score_male","min_score_female","max_score_total","max_score_male","max_score_female"
"2024","1","1100316","Средно училище ""Тодор Кирков""","3912","Спедиция, транспортна и складова логистика","30","0","0","257","0","0"
"2024","1","1100318","Средно училище ""Свети Климент Охридски""","4799","Графичен дизайн","30","0","0","261.5","0","0"
"2024","1","1100320","Профилирана природо-математическа гимназия","0868","Математически","154","0","0","299.25","0","0"
"2024","1","1100320","Профилирана природо-математическа гимназия","0889","Природни науки","172","0","0","385.25","0","0"
"2024","1","1100320","Профилирана природо-математическа гимназия","0880","Софтуерни и хардуерни науки","224.75","0","0","486.5","0","0"
"2024","1","1100322","Професионална гимназия по механоелектротехника","0848","Автотранспортна техника","124","0","0","329.5","0","0"
"2024","1","1100322","Професионална гимназия по механоелектротехника","3306","Промишлена електроника","30","0","0","235","0","0"
"2024","1","1100328","Профилирана езикова гимназия ""Екзарх Йосиф I""","0834","Чужди езици - английски език с немски език","356","0","0","479","0","0"
"2024","1","1100328","Профилирана езикова гимназия ""Екзарх Йосиф I""","3756","Чужди езици - испански език с английски език","362.5","0","0","473","0","0"
"2024","1","1100328","Профилирана езикова гимназия ""Екзарх Йосиф I""","0820","Чужди езици - немски език с английски език","392","0","0","485","0","0"
"2024","1","1100328","Профилирана езикова гимназия ""Екзарх Йосиф I""","0836","Чужди езици - френски език с английски език","329","0","0","454","0","0"
"2024","1","1100329","Национална професионална гимназия по ветеринарна медицина ""Проф. д-р Димитър Димов""","0907","Ветеринарен техник","164","0","0","400.5","0","0"
"2024","1","1100329","Национална професионална гимназия по ветеринарна медицина ""Проф. д-р Димитър Димов""","0954","Контрол на качеството и безопасност на храни и напитки","135","0","0","313.5","0","0"
"2024","1","1100329","Национална професионална гимназия по ветеринарна медицина ""Проф. д-р Димитър Димов""","3717","Контрол на качеството и безопасност на храни и напитки (дуална система на обучение)","80","0","0","355","0","0"
"2024","1","1100331","Професионална гимназия по икономика търговия и услуги","3775","Икономическа информатика","0","0","0","0","0","0"
"2024","1","1100331","Професионална гимназия по икономика търговия и услуги","0333","Производство и обслужване в заведенията за хранене и развлечения","30","0","0","210","0","0"
"2024","1","1100311","Професионална гимназия по икономика търговия и услуги","0371","Фризьорство","30","0","0","286","0","0"
"2024","2","1100320","Профилирана природо-математическа гимназия","0868","Математически","126","0","0","193.25","0","0"
"2024","2","1100320","Профилирана природо-математическа гимназия","0889","Природни науки","164","0","0","272.5","0","0"
"2024","2","1100320","Профилирана природо-математическа гимназия","0880","Софтуерни и хардуерни науки","178.5","0","0","307.5","0","0"
"2024","2","1100322","Професионална гимназия по механоелектротехника","0848","Автотранспортна техника","193","0","0","250.5","0","0"
"2024","2","1100322","Професионална гимназия по механоелектротехника","3306","Промишлена електроника","151","0","0","151","0","0"
"2024","2","1100328","Профилирана езикова гимназия ""Екзарх Йосиф I""","0834","Чужди езици - английски език с немски език","331","0","0","356","0","0"
"2024","2","1100328","Профилирана езикова гимназия ""Екзарх Йосиф I""","3756","Чужди езици - испански език с английски език","355","0","0","361.5","0","0"
"2024","2","1100328","Профилирана езикова гимназия ""Екзарх Йосиф I""","0820","Чужди езици - немски език с английски език","355.5","0","0","391","0","0"
"2024","2","1100328","Профилирана езикова гимназия ""Екзарх Йосиф I""","0836","Чужди езици - френски език с английски език","314","0","0","337.5","0","0"
"2024","2","1100329","Национална професионална гимназия по ветеринарна медицина ""Проф. д-р Димитър Димов""","0907","Ветеринарен техник","144","0","0","167","0","0"
"2024","2","1100329","Национална професионална гимназия по ветеринарна медицина ""Проф. д-р Димитър Димов""","0954","Контрол на качеството и безопасност на храни и напитки","114","0","0","117.5","0","0"
"2024","2","1100329","Национална професионална гимназия по ветеринарна медицина ""Проф. д-р Димитър Димов""","3717","Контрол на качеството и безопасност на храни и напитки (дуална система на обучение)","153","0","0","153","0","0"
"2024","3","1100320","Профилирана природо-математическа гимназия","0868","Математически","145.5","0","0","302","0","0"
"2024","3","1100322","Професионална гимназия по механоелектротехника","3306","Промишлена електроника","48.5","0","0","149","0","0"
"2024","3","1100328","Профилирана езикова гимназия ""Екзарх Йосиф I""","3756","Чужди езици - испански език с английски език","318","0","0","318","0","0"
"2024","3","1100328","Профилирана езикова гимназия ""Екзарх Йосиф I""","0834","Чужди езици - английски език с немски език","309","0","0","358","0","0"
"2024","3","1100328","Профилирана езикова гимназия ""Екзарх Йосиф I""","0836","Чужди езици - френски език с английски език","299","0","0","306.5","0","0"
"2024","3","1100329","Национална професионална гимназия по ветеринарна медицина ""Проф. д-р Димитър Димов""","3717","Контрол на качеството и безопасност на храни и напитки (дуална система на обучение)","30","0","0","199","0","0"
"2024","3","1100329","Национална професионална гимназия по ветеринарна медицина ""Проф. д-р Димитър Димов""","0954","Контрол на качеството и безопасност на храни и напитки","298","0","0","298","0","0"
"2024","3","1100311","Професионална гимназия по икономика търговия и услуги","3775","Икономическа информатика","239","0","0","239","0","0"
