"year","klasirane","school_code","school_name","profile_code","profile_name","min_score_total","min_score_male","min_score_female","max_score_total","max_score_male","max_score_female"
"2025","1","1100402","Средно училище ""Алеко Константинов""","1344","Екскурзоводско обслужване","30","0","0","295.5","0","0"
"2025","1","1100402","Средно училище ""Алеко Константинов""","4301","Помощник - възпитател в отглеждането и възпитанието на деца","75","0","0","278","0","0"
"2025","1","1100402","Средно училище ""Алеко Константинов""","1363","Производство и обслужване в заведенията за хранене и развлечения","68","0","0","288","0","0"
"2025","1","1100402","Средно училище ""Алеко Константинов""","3772","Производство и обслужване в заведенията за хранене и развлечения (дуална система на обучение)","74","0","0","158","0","0"
"2025","1","1100410","Професионална гимназия по селско стопанство ""Сергей Румянцев""","0342","Агроекология","89","0","0","302","0","0"
"2025","1","1100410","Професионална гимназия по селско стопанство ""Сергей Румянцев""","0339","Икономическа информатика","132","0","0","432.5","0","0"
"2025","1","1100410","Професионална гимназия по селско стопанство ""Сергей Румянцев""","0349","Конструиране, моделиране и технология на облекло от текстил","58","0","0","232","0","0"
"2025","1","1100410","Професионална гимназия по селско стопанство ""Сергей Румянцев""","0347","Механизация на селското стопанство (дуална система на обучение)","94","0","0","195","0","0"
"2025","2","1100402","Средно училище ""Алеко Константинов""","1344","Екскурзоводско обслужване","64","0","0","71","0","0"
"2025","2","1100410","Професионална гимназия по селско стопанство ""Сергей Румянцев""","0339","Икономическа информатика","244.5","0","0","244.5","0","0"
"2025","3","1100402","Средно училище ""Алеко Константинов""","1344","Екскурзоводско обслужване","30","0","0","160","0","0"
"2025","3","1100410","Професионална гимназия по селско стопанство ""Сергей Румянцев""","0342","Агроекология","132","0","0","261.5","0","0"
"2025","3","1100410","Професионална гимназия по селско стопанство ""Сергей Румянцев""","0349","Конструиране, моделиране и технология на облекло от текстил","105","0","0","284","0","0"
