"year","klasirane","school_code","school_name","profile_code","profile_name","min_score_total","min_score_male","min_score_female","max_score_total","max_score_male","max_score_female"
"2026","1","2102145","Професионална гимназия ""Васил Димитров""","28487","Геология и геофизика","68","68","0","152","152","0"
"2026","1","2102145","Професионална гимназия ""Васил Димитров""","28492","Електроснабдяване и електрообзавеждане","214","214","0","321.5","321.5","0"
"2026","1","2102145","Професионална гимназия ""Васил Димитров""","28495","Маркшайдерство","194.5","194.5","231","320","320","231"
"2026","1","2102145","Професионална гимназия ""Васил Димитров""","28484","Мениджмънт и икономика","118","118","151","304","207","304"
"2026","1","2100701","Средно училище ""Отец Паисий""","04840","Икономическо развитие","178.5","192","178.5","421.75","336.25","421.75"
"2026","1","2100701","Средно училище ""Отец Паисий""","00807","Чужди езици","174.75","174.75","244","437.5","364","437.5"
"2026","2","2102145","Професионална гимназия ""Васил Димитров""","28487","Геология и геофизика","0","0","0","0","0","0"
"2026","2","2102145","Професионална гимназия ""Васил Димитров""","28492","Електроснабдяване и електрообзавеждане","0","0","0","0","0","0"
"2026","2","2102145","Професионална гимназия ""Васил Димитров""","28495","Маркшайдерство","0","0","0","0","0","0"
"2026","2","2102145","Професионална гимназия ""Васил Димитров""","28484","Мениджмънт и икономика","0","0","0","0","0","0"
"2026","2","2100701","Средно училище ""Отец Паисий""","04840","Икономическо развитие","0","0","0","0","0","0"
"2026","2","2100701","Средно училище ""Отец Паисий""","00807","Чужди езици","0","0","0","0","0","0"
