"year","klasirane","school_code","school_name","profile_code","profile_name","min_score_total","min_score_male","min_score_female","max_score_total","max_score_male","max_score_female"
"2025","1","603098","Средно училище ""Иван Вазов""","0433","Организатор Интернет приложения","80","80","205","323","314.5","323"
"2025","1","603098","Средно училище ""Иван Вазов""","0434","Обществени науки","30","46","30","412.5","316","412.5"
"2025","1","603100","Професионална гимназия ""Алеко Константинов""","2664","Готвач","67","135","67","289","249","289"
"2025","1","603100","Професионална гимназия ""Алеко Константинов""","3655","Ресторантьор","137","154","137","312","258","312"
"2025","1","603101","Професионална гимназия ""Васил Левски""","1451","Системен програмист","72","72","276","324","324","276"
"2025","1","603101","Професионална гимназия ""Васил Левски""","4790","Строителен техник","74","74","0","244","244","0"
"2025","1","603101","Професионална гимназия ""Васил Левски""","5087","Програмиране на изкуствен интелект","78","127","78","293.5","282","293.5"
"2025","1","603101","Професионална гимназия ""Васил Левски""","5089","Техник по ЖП техника","92","92","0","347","347","0"
"2025","2","603098","Средно училище ""Иван Вазов""","0433","Организатор Интернет приложения","205","0","205","205","0","205"
"2025","2","603098","Средно училище ""Иван Вазов""","0434","Обществени науки","0","0","0","0","0","0"
"2025","2","603100","Професионална гимназия ""Алеко Константинов""","2664","Готвач","0","0","0","0","0","0"
"2025","2","603100","Професионална гимназия ""Алеко Константинов""","3655","Ресторантьор","0","0","0","0","0","0"
"2025","2","603101","Професионална гимназия ""Васил Левски""","1451","Системен програмист","0","0","0","0","0","0"
"2025","2","603101","Професионална гимназия ""Васил Левски""","4790","Строителен техник","0","0","0","0","0","0"
"2025","2","603101","Професионална гимназия ""Васил Левски""","5087","Програмиране на изкуствен интелект","0","0","0","0","0","0"
"2025","2","603101","Професионална гимназия ""Васил Левски""","5089","Техник по ЖП техника","0","0","0","0","0","0"
"2025","3","603098","Средно училище ""Иван Вазов""","0433","Организатор Интернет приложения","156","0","0","156","0","0"
"2025","3","603098","Средно училище ""Иван Вазов""","0434","Обществени науки","0","0","0","0","0","0"
"2025","3","603100","Професионална гимназия ""Алеко Константинов""","2664","Готвач","0","0","0","0","0","0"
"2025","3","603100","Професионална гимназия ""Алеко Константинов""","3655","Ресторантьор","0","0","0","0","0","0"
"2025","3","603101","Професионална гимназия ""Васил Левски""","1451","Системен програмист","208","0","0","208","0","0"
"2025","3","603101","Професионална гимназия ""Васил Левски""","4790","Строителен техник","234","0","0","234","0","0"
"2025","3","603101","Професионална гимназия ""Васил Левски""","5087","Програмиране на изкуствен интелект","0","0","0","0","0","0"
"2025","3","603101","Професионална гимназия ""Васил Левски""","5089","Техник по ЖП техника","121","0","0","121","0","0"
"2025","4","603098","Средно училище ""Иван Вазов""","0433","Организатор Интернет приложения","0","0","0","0","0","0"
"2025","4","603098","Средно училище ""Иван Вазов""","0434","Обществени науки","0","0","0","0","0","0"
"2025","4","603100","Професионална гимназия ""Алеко Константинов""","2664","Готвач","0","0","0","0","0","0"
"2025","4","603100","Професионална гимназия ""Алеко Константинов""","3655","Ресторантьор","0","0","0","0","0","0"
"2025","4","603101","Професионална гимназия ""Васил Левски""","1451","Системен програмист","0","0","0","0","0","0"
"2025","4","603101","Професионална гимназия ""Васил Левски""","4790","Строителен техник","0","0","0","0","0","0"
"2025","4","603101","Професионална гимназия ""Васил Левски""","5087","Програмиране на изкуствен интелект","0","0","0","0","0","0"
"2025","4","603101","Професионална гимназия ""Васил Левски""","5089","Техник по ЖП техника","0","0","0","0","0","0"
