"year","klasirane","school_code","school_name","profile_code","profile_name","min_score_total","min_score_male","min_score_female","max_score_total","max_score_male","max_score_female"
"2024","1","909603","Професионална гимназия по туризъм и хранително-вкусова промишленост ""Св. Св. Кирил и Методий""","2947","Готвач","95","0","0","167","0","0"
"2024","1","909603","Професионална гимназия по туризъм и хранително-вкусова промишленост ""Св. Св. Кирил и Методий""","4271","Оператор в производството на облекло","105","0","0","192","0","0"
"2024","1","909601","Средно училище ""Никола Йонков Вапцаров""","2939","Софтуерни и хардуерни науки","64","0","0","273.5","0","0"
"2024","1","909601","Средно училище ""Никола Йонков Вапцаров""","2938","Чужди езици - Английски език / Немски език","138","0","0","348","0","0"
"2024","2","909603","Професионална гимназия по туризъм и хранително-вкусова промишленост ""Св. Св. Кирил и Методий""","4271","Оператор в производството на облекло","0","0","0","0","0","0"
"2024","2","909601","Средно училище ""Никола Йонков Вапцаров""","2939","Софтуерни и хардуерни науки","225.5","0","0","225.5","0","0"
"2024","2","909601","Средно училище ""Никола Йонков Вапцаров""","2938","Чужди езици - Английски език / Немски език","184","0","0","184","0","0"
"2024","3","909603","Професионална гимназия по туризъм и хранително-вкусова промишленост ""Св. Св. Кирил и Методий""","2947","Готвач","0","0","0","0","0","0"
"2024","3","909603","Професионална гимназия по туризъм и хранително-вкусова промишленост ""Св. Св. Кирил и Методий""","4271","Оператор в производството на облекло","0","0","0","0","0","0"
"2024","3","909601","Средно училище ""Никола Йонков Вапцаров""","2939","Софтуерни и хардуерни науки","0","0","0","0","0","0"
"2024","3","909601","Средно училище ""Никола Йонков Вапцаров""","2938","Чужди езици - Английски език / Немски език","184","0","0","225.5","0","0"
