"year","klasirane","school_code","school_name","profile_code","profile_name","min_score_total","min_score_male","min_score_female","max_score_total","max_score_male","max_score_female"
"2026","1","1201004","Второ средно училище ""Никола Йонков Вапцаров""","29893","Икономическа информатика","85.5","0","0","227.5","0","0"
"2026","1","1201004","Второ средно училище ""Никола Йонков Вапцаров""","29818","Ресторантьорство и кетъринг","30","0","0","261.75","0","0"
"2026","1","1201001","Природо-математическа профилирана гимназия ""Св. Климент Охридски""","29835","Математически профил","150.75","0","0","473.25","0","0"
"2026","1","1201001","Природо-математическа профилирана гимназия ""Св. Климент Охридски""","00021","Природни науки","299.5","0","0","466","0","0"
"2026","1","1201001","Природо-математическа профилирана гимназия ""Св. Климент Охридски""","00019","Софтуерни и хардуерни науки","287.25","0","0","446.75","0","0"
"2026","1","1201023","Професионална гимназия по лека промишленост","29427","Помощник-възпитател","30","0","0","199","0","0"
"2026","1","1201023","Професионална гимназия по лека промишленост","29418","Устойчива мода","41","0","0","200","0","0"
"2026","1","1201023","Професионална гимназия по лека промишленост","29875","Фризьорство","98","0","0","235","0","0"
"2026","1","1201022","Професионална гимназия по строителство, архитектура и компютърни науки ""Проф. Арх. Стефан Стефанов""","28272","Геодезия","234","0","0","332.5","0","0"
"2026","1","1201022","Професионална гимназия по строителство, архитектура и компютърни науки ""Проф. Арх. Стефан Стефанов""","28267","Компютърна графика","268","0","0","443.5","0","0"
"2026","1","1201022","Професионална гимназия по строителство, архитектура и компютърни науки ""Проф. Арх. Стефан Стефанов""","28270","Разработка на софтуер","159","0","0","346","0","0"
"2026","1","1201022","Професионална гимназия по строителство, архитектура и компютърни науки ""Проф. Арх. Стефан Стефанов""","28274","Строителство и архитектура","173","0","0","385","0","0"
"2026","1","1201033","Професионална гимназия по техника и електротехника ""Христо Ботев""","29858","Автомобилна техника и мехатроника","130","0","0","342","0","0"
"2026","1","1201033","Професионална гимназия по техника и електротехника ""Христо Ботев""","29859","Електроснабдяване и електрообзавеждане","109","0","0","304.5","0","0"
"2026","1","1201033","Професионална гимназия по техника и електротехника ""Христо Ботев""","29854","Компютърни системи и технологии","56","0","0","261","0","0"
"2026","1","1201033","Професионална гимназия по техника и електротехника ""Христо Ботев""","29863","Спедиторски услуги","41","0","0","175","0","0"
"2026","1","1201002","Профилирана гимназия с преподаване на чужди езици ""Петър Богдан""","00629","Чужди езици - АЕ","293","0","0","475.25","0","0"
"2026","1","1201002","Профилирана гимназия с преподаване на чужди езици ""Петър Богдан""","00627","Чужди езици - НЕ","183","0","0","437.25","0","0"
"2026","1","1201021","Финансово-стопанска професионална гимназия ""Васил Левски""","29669","Електронна търговия, маркетинг и реклама","269","0","0","395.25","0","0"
"2026","1","1201021","Финансово-стопанска професионална гимназия ""Васил Левски""","29660","Мениджмънт и икономика","232","0","0","381","0","0"
"2026","1","1201021","Финансово-стопанска професионална гимназия ""Васил Левски""","29661","Митническо обслужване","223.5","0","0","384.5","0","0"
"2026","1","1201021","Финансово-стопанска професионална гимназия ""Васил Левски""","29665","Организиране на туристически пътувания","216","0","0","404","0","0"
"2026","1","1201034","Шесто средно училище ""Отец Паисий""","29405","Административни и офис дейности","30","0","0","199.5","0","0"
"2026","2","1201004","Второ средно училище ""Никола Йонков Вапцаров""","29893","Икономическа информатика","99","0","0","123","0","0"
"2026","2","1201004","Второ средно училище ""Никола Йонков Вапцаров""","29818","Ресторантьорство и кетъринг","0","0","0","0","0","0"
"2026","2","1201001","Природо-математическа профилирана гимназия ""Св. Климент Охридски""","29835","Математически профил","266","0","0","266","0","0"
"2026","2","1201001","Природо-математическа профилирана гимназия ""Св. Климент Охридски""","00021","Природни науки","285.5","0","0","294","0","0"
"2026","2","1201001","Природо-математическа профилирана гимназия ""Св. Климент Охридски""","00019","Софтуерни и хардуерни науки","0","0","0","0","0","0"
"2026","2","1201023","Професионална гимназия по лека промишленост","29427","Помощник-възпитател","194","0","0","194","0","0"
"2026","2","1201023","Професионална гимназия по лека промишленост","29418","Устойчива мода","200","0","0","200","0","0"
"2026","2","1201023","Професионална гимназия по лека промишленост","29875","Фризьорство","94","0","0","94","0","0"
"2026","2","1201022","Професионална гимназия по строителство, архитектура и компютърни науки ""Проф. Арх. Стефан Стефанов""","28272","Геодезия","0","0","0","0","0","0"
"2026","2","1201022","Професионална гимназия по строителство, архитектура и компютърни науки ""Проф. Арх. Стефан Стефанов""","28267","Компютърна графика","0","0","0","0","0","0"
"2026","2","1201022","Професионална гимназия по строителство, архитектура и компютърни науки ""Проф. Арх. Стефан Стефанов""","28270","Разработка на софтуер","163.5","0","0","269","0","0"
"2026","2","1201022","Професионална гимназия по строителство, архитектура и компютърни науки ""Проф. Арх. Стефан Стефанов""","28274","Строителство и архитектура","168","0","0","213","0","0"
"2026","2","1201033","Професионална гимназия по техника и електротехника ""Христо Ботев""","29858","Автомобилна техника и мехатроника","113","0","0","190.5","0","0"
"2026","2","1201033","Професионална гимназия по техника и електротехника ""Христо Ботев""","29859","Електроснабдяване и електрообзавеждане","0","0","0","0","0","0"
"2026","2","1201033","Професионална гимназия по техника и електротехника ""Христо Ботев""","29854","Компютърни системи и технологии","152","0","0","197","0","0"
"2026","2","1201033","Професионална гимназия по техника и електротехника ""Христо Ботев""","29863","Спедиторски услуги","0","0","0","0","0","0"
"2026","2","1201002","Профилирана гимназия с преподаване на чужди езици ""Петър Богдан""","00629","Чужди езици - АЕ","239.5","0","0","291","0","0"
"2026","2","1201002","Профилирана гимназия с преподаване на чужди езици ""Петър Богдан""","00627","Чужди езици - НЕ","134","0","0","250.5","0","0"
"2026","2","1201021","Финансово-стопанска професионална гимназия ""Васил Левски""","29669","Електронна търговия, маркетинг и реклама","0","0","0","0","0","0"
"2026","2","1201021","Финансово-стопанска професионална гимназия ""Васил Левски""","29660","Мениджмънт и икономика","257.75","0","0","274.5","0","0"
"2026","2","1201021","Финансово-стопанска професионална гимназия ""Васил Левски""","29661","Митническо обслужване","276.5","0","0","276.5","0","0"
"2026","2","1201021","Финансово-стопанска професионална гимназия ""Васил Левски""","29665","Организиране на туристически пътувания","212","0","0","216","0","0"
"2026","2","1201034","Шесто средно училище ""Отец Паисий""","29405","Административни и офис дейности","0","0","0","0","0","0"
"2026","3","1201004","Второ средно училище ""Никола Йонков Вапцаров""","29893","Икономическа информатика","190","0","0","190","0","0"
"2026","3","1201004","Второ средно училище ""Никола Йонков Вапцаров""","29818","Ресторантьорство и кетъринг","0","0","0","0","0","0"
"2026","3","1201001","Природо-математическа профилирана гимназия ""Св. Климент Охридски""","29835","Математически профил","161","0","0","263","0","0"
"2026","3","1201001","Природо-математическа профилирана гимназия ""Св. Климент Охридски""","00021","Природни науки","0","0","0","0","0","0"
"2026","3","1201001","Природо-математическа профилирана гимназия ""Св. Климент Охридски""","00019","Софтуерни и хардуерни науки","0","0","0","0","0","0"
"2026","3","1201023","Професионална гимназия по лека промишленост","29427","Помощник-възпитател","82","0","0","82","0","0"
"2026","3","1201023","Професионална гимназия по лека промишленост","29418","Устойчива мода","0","0","0","0","0","0"
"2026","3","1201023","Професионална гимназия по лека промишленост","29875","Фризьорство","0","0","0","0","0","0"
"2026","3","1201022","Професионална гимназия по строителство, архитектура и компютърни науки ""Проф. Арх. Стефан Стефанов""","28272","Геодезия","0","0","0","0","0","0"
"2026","3","1201022","Професионална гимназия по строителство, архитектура и компютърни науки ""Проф. Арх. Стефан Стефанов""","28267","Компютърна графика","0","0","0","0","0","0"
"2026","3","1201022","Професионална гимназия по строителство, архитектура и компютърни науки ""Проф. Арх. Стефан Стефанов""","28270","Разработка на софтуер","0","0","0","0","0","0"
"2026","3","1201022","Професионална гимназия по строителство, архитектура и компютърни науки ""Проф. Арх. Стефан Стефанов""","28274","Строителство и архитектура","164","0","0","164","0","0"
"2026","3","1201033","Професионална гимназия по техника и електротехника ""Христо Ботев""","29858","Автомобилна техника и мехатроника","0","0","0","0","0","0"
"2026","3","1201033","Професионална гимназия по техника и електротехника ""Христо Ботев""","29859","Електроснабдяване и електрообзавеждане","0","0","0","0","0","0"
"2026","3","1201033","Професионална гимназия по техника и електротехника ""Христо Ботев""","29854","Компютърни системи и технологии","92","0","0","189","0","0"
"2026","3","1201033","Професионална гимназия по техника и електротехника ""Христо Ботев""","29863","Спедиторски услуги","0","0","0","0","0","0"
"2026","3","1201002","Профилирана гимназия с преподаване на чужди езици ""Петър Богдан""","00629","Чужди езици - АЕ","0","0","0","0","0","0"
"2026","3","1201002","Профилирана гимназия с преподаване на чужди езици ""Петър Богдан""","00627","Чужди езици - НЕ","188","0","0","233.25","0","0"
"2026","3","1201021","Финансово-стопанска професионална гимназия ""Васил Левски""","29669","Електронна търговия, маркетинг и реклама","0","0","0","0","0","0"
"2026","3","1201021","Финансово-стопанска професионална гимназия ""Васил Левски""","29660","Мениджмънт и икономика","261.5","0","0","261.5","0","0"
"2026","3","1201021","Финансово-стопанска професионална гимназия ""Васил Левски""","29661","Митническо обслужване","0","0","0","0","0","0"
"2026","3","1201021","Финансово-стопанска професионална гимназия ""Васил Левски""","29665","Организиране на туристически пътувания","0","0","0","0","0","0"
"2026","3","1201034","Шесто средно училище ""Отец Паисий""","29405","Административни и офис дейности","0","0","0","0","0","0"
