"year","klasirane","school_code","school_name","profile_code","profile_name","min_score_total","min_score_male","min_score_female","max_score_total","max_score_male","max_score_female"
"2025","1","200609","Професионална гимназия по туризъм ""Иван Вазов""","4099","Готвач","144","178","144","327","327","242.5"
"2025","1","200609","Професионална гимназия по туризъм ""Иван Вазов""","2453","Производство и обслужване в заведенията за хранене и развлечения","81","81","83","341","341","220.5"
"2025","1","200609","Професионална гимназия по туризъм ""Иван Вазов""","4602","Сътрудник в маркетингови дейности","93","127.5","93","341","275","341"
"2025","1","200608","Средно училище ""Любен Каравелов""","0276","Предприемачески профил","159","159","160.5","369.5","286","369.5"
"2025","1","200608","Средно училище ""Любен Каравелов""","0273","Рекламна графика","258","260.5","258","394.5","345.5","394.5"
"2025","1","200608","Средно училище ""Любен Каравелов""","0271","Чужди езици","214","228","214","475","475","411.5"
"2025","2","200609","Професионална гимназия по туризъм ""Иван Вазов""","4099","Готвач","137","0","137","137","0","137"
"2025","2","200609","Професионална гимназия по туризъм ""Иван Вазов""","2453","Производство и обслужване в заведенията за хранене и развлечения","72","97","72","97","97","72"
"2025","2","200609","Професионална гимназия по туризъм ""Иван Вазов""","4602","Сътрудник в маркетингови дейности","0","0","0","0","0","0"
"2025","2","200608","Средно училище ""Любен Каравелов""","0276","Предприемачески профил","144","144","201","201","186","201"
"2025","2","200608","Средно училище ""Любен Каравелов""","0273","Рекламна графика","292.5","292.5","0","292.5","292.5","0"
"2025","2","200608","Средно училище ""Любен Каравелов""","0271","Чужди езици","142.5","142.5","157","329.5","329.5","238"
"2025","3","200609","Професионална гимназия по туризъм ""Иван Вазов""","4099","Готвач","0","0","0","0","0","0"
"2025","3","200609","Професионална гимназия по туризъм ""Иван Вазов""","2453","Производство и обслужване в заведенията за хранене и развлечения","0","0","0","0","0","0"
"2025","3","200609","Професионална гимназия по туризъм ""Иван Вазов""","4602","Сътрудник в маркетингови дейности","72","0","72","72","0","72"
"2025","3","200608","Средно училище ""Любен Каравелов""","0276","Предприемачески профил","224","224","0","224","224","0"
"2025","3","200608","Средно училище ""Любен Каравелов""","0273","Рекламна графика","0","0","0","0","0","0"
"2025","3","200608","Средно училище ""Любен Каравелов""","0271","Чужди езици","0","0","0","0","0","0"
"2025","4","200609","Професионална гимназия по туризъм ""Иван Вазов""","4099","Готвач","0","0","0","0","0","0"
"2025","4","200609","Професионална гимназия по туризъм ""Иван Вазов""","2453","Производство и обслужване в заведенията за хранене и развлечения","0","0","0","0","0","0"
"2025","4","200609","Професионална гимназия по туризъм ""Иван Вазов""","4602","Сътрудник в маркетингови дейности","0","0","0","0","0","0"
"2025","4","200608","Средно училище ""Любен Каравелов""","0276","Предприемачески профил","0","0","0","0","0","0"
"2025","4","200608","Средно училище ""Любен Каравелов""","0273","Рекламна графика","0","0","0","0","0","0"
"2025","4","200608","Средно училище ""Любен Каравелов""","0271","Чужди езици","0","0","0","0","0","0"
