"year","klasirane","school_code","school_name","profile_code","profile_name","min_score_total","min_score_male","min_score_female","max_score_total","max_score_male","max_score_female"
"2023","1","2520601","Професионална гимназия по транспорт и лека промишленост","3069","Дизайнер","110","0","110","240","0","240"
"2023","2","2520601","Професионална гимназия по транспорт и лека промишленост","3069","Дизайнер","0","0","0","0","0","0"
"2023","3","2520601","Професионална гимназия по транспорт и лека промишленост","3069","Дизайнер","138","0","138","214","0","214"
"2023","4","2520601","Професионална гимназия по транспорт и лека промишленост","3069","Дизайнер","0","0","0","0","0","0"
"2023","1","2520601","Професионална гимназия по транспорт и лека промишленост","0378","Електромонтьор","105","105","0","204","204","0"
"2023","2","2520601","Професионална гимназия по транспорт и лека промишленост","0378","Електромонтьор","0","0","0","0","0","0"
"2023","3","2520601","Професионална гимназия по транспорт и лека промишленост","0378","Електромонтьор","97","97","0","97","97","0"
"2023","4","2520601","Професионална гимназия по транспорт и лека промишленост","0378","Електромонтьор","0","0","0","0","0","0"
"2023","1","2520601","Професионална гимназия по транспорт и лека промишленост","4269","Сътрудник","30","0","30","259","0","259"
"2023","2","2520601","Професионална гимназия по транспорт и лека промишленост","4269","Сътрудник","0","0","0","0","0","0"
"2023","3","2520601","Професионална гимназия по транспорт и лека промишленост","4269","Сътрудник","0","0","0","0","0","0"
"2023","4","2520601","Професионална гимназия по транспорт и лека промишленост","4269","Сътрудник","0","0","0","0","0","0"
"2023","1","2520601","Професионална гимназия по транспорт и лека промишленост","0379","Техник по транспортна техника","60","60","0","236","236","0"
"2023","2","2520601","Професионална гимназия по транспорт и лека промишленост","0379","Техник по транспортна техника","0","0","0","0","0","0"
"2023","3","2520601","Професионална гимназия по транспорт и лека промишленост","0379","Техник по транспортна техника","0","0","0","0","0","0"
"2023","4","2520601","Професионална гимназия по транспорт и лека промишленост","0379","Техник по транспортна техника","0","0","0","0","0","0"
"2023","1","2520401","Профилирана гимназия ""Симеон Велчев""","0135","Предприемачески","203","213","203","340","340","339.5"
"2023","2","2520401","Профилирана гимназия ""Симеон Велчев""","0135","Предприемачески","0","0","0","0","0","0"
"2023","3","2520401","Профилирана гимназия ""Симеон Велчев""","0135","Предприемачески","0","0","0","0","0","0"
"2023","4","2520401","Профилирана гимназия ""Симеон Велчев""","0135","Предприемачески","0","0","0","0","0","0"
"2023","1","2520401","Профилирана гимназия ""Симеон Велчев""","0132","Природни науки","214","219","214","384.5","277","384.5"
"2023","2","2520401","Профилирана гимназия ""Симеон Велчев""","0132","Природни науки","0","0","0","0","0","0"
"2023","3","2520401","Профилирана гимназия ""Симеон Велчев""","0132","Природни науки","0","0","0","0","0","0"
"2023","4","2520401","Профилирана гимназия ""Симеон Велчев""","0132","Природни науки","0","0","0","0","0","0"
