"year","klasirane","school_code","school_name","profile_code","profile_name","min_score_total","min_score_male","min_score_female","max_score_total","max_score_male","max_score_female"
"2025","1","603108","Професионална гимназия ""Васил Левски""","4829","Хлебар- сладкар","54","0","54","54","0","54"
"2025","1","603116","Средно училище ""Христо Ботев""","0946","Икономист-информатик","30","30","30","291","237","291"
"2025","1","603116","Средно училище ""Христо Ботев""","4718","Сътрудник социални дейности","133","133","133","182","182","133"
"2025","2","603108","Професионална гимназия ""Васил Левски""","4829","Хлебар- сладкар","0","0","0","0","0","0"
"2025","2","603116","Средно училище ""Христо Ботев""","0946","Икономист-информатик","0","0","0","0","0","0"
"2025","2","603116","Средно училище ""Христо Ботев""","4718","Сътрудник социални дейности","0","0","0","0","0","0"
"2025","3","603108","Професионална гимназия ""Васил Левски""","4829","Хлебар- сладкар","66","0","0","66","0","0"
"2025","3","603116","Средно училище ""Христо Ботев""","0946","Икономист-информатик","154","0","0","277","0","0"
"2025","3","603116","Средно училище ""Христо Ботев""","4718","Сътрудник социални дейности","30","0","0","60","0","0"
"2025","4","603108","Професионална гимназия ""Васил Левски""","4829","Хлебар- сладкар","0","0","0","0","0","0"
"2025","4","603116","Средно училище ""Христо Ботев""","0946","Икономист-информатик","0","0","0","0","0","0"
"2025","4","603116","Средно училище ""Христо Ботев""","4718","Сътрудник социални дейности","132","0","0","132","0","0"
