"year","klasirane","school_code","school_name","profile_code","profile_name","min_score_total","min_score_male","min_score_female","max_score_total","max_score_male","max_score_female"
"2023","1","1305587","ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ИНДУСТРИАЛНИ ТЕХНОЛОГИИ МЕНИДЖМЪНТ И ТУРИЗЪМ","4389","Електротехник- ДУАЛНА","64","64","132","304","304","132"
"2023","1","1305587","ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ИНДУСТРИАЛНИ ТЕХНОЛОГИИ МЕНИДЖМЪНТ И ТУРИЗЪМ","4390","Машинен техник- ДУАЛНА","30","30","75","142","142","141"
"2023","1","1305587","ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ИНДУСТРИАЛНИ ТЕХНОЛОГИИ МЕНИДЖМЪНТ И ТУРИЗЪМ","3843","Минен техник- ДУАЛНА","176","176","0","356","356","0"
"2023","1","1305587","ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ИНДУСТРИАЛНИ ТЕХНОЛОГИИ МЕНИДЖМЪНТ И ТУРИЗЪМ","3470","Техник на прецизна техника- ДУАЛНА","123","123","146","338","144","338"
"2023","1","1305587","ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ИНДУСТРИАЛНИ ТЕХНОЛОГИИ МЕНИДЖМЪНТ И ТУРИЗЪМ","3469","Хотелиер- ДУАЛНА","95","100","95","315","127","315"
"2023","1","1302623","Средно училище ""Нешо Бончев""","3092","Профил Математически с интензивно изучаване на английски език","202","202","230","434.5","408.5","434.5"
"2023","1","1302623","Средно училище ""Нешо Бончев""","3095","Профил Природни науки с интензивно изучаване на английски език","133","133","193","434.5","427","434.5"
"2023","1","1302623","Средно училище ""Нешо Бончев""","3093","Профил Хуманитарни науки с интензивно изучаване на английски език","52","52","182","425","319","425"
"2023","2","1305587","ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ИНДУСТРИАЛНИ ТЕХНОЛОГИИ МЕНИДЖМЪНТ И ТУРИЗЪМ","4389","Електротехник- ДУАЛНА","0","0","0","0","0","0"
"2023","2","1305587","ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ИНДУСТРИАЛНИ ТЕХНОЛОГИИ МЕНИДЖМЪНТ И ТУРИЗЪМ","4390","Машинен техник- ДУАЛНА","0","0","0","0","0","0"
"2023","2","1305587","ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ИНДУСТРИАЛНИ ТЕХНОЛОГИИ МЕНИДЖМЪНТ И ТУРИЗЪМ","3843","Минен техник- ДУАЛНА","0","0","0","0","0","0"
"2023","2","1305587","ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ИНДУСТРИАЛНИ ТЕХНОЛОГИИ МЕНИДЖМЪНТ И ТУРИЗЪМ","3470","Техник на прецизна техника- ДУАЛНА","135","135","0","135","135","0"
"2023","2","1305587","ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ИНДУСТРИАЛНИ ТЕХНОЛОГИИ МЕНИДЖМЪНТ И ТУРИЗЪМ","3469","Хотелиер- ДУАЛНА","88","0","88","88","0","88"
"2023","2","1302623","Средно училище ""Нешо Бончев""","3092","Профил Математически с интензивно изучаване на английски език","0","0","0","0","0","0"
