"year","klasirane","school_code","school_name","profile_code","profile_name","min_score_total","min_score_male","min_score_female","max_score_total","max_score_male","max_score_female"
"2026","1","300618","Средно училище ""Бачо Киро""","29529","Софтуерни и хардуерни науки","30","0","0","250","0","0"
"2026","1","300618","Средно училище ""Бачо Киро""","29531","Компютърна графика","97","0","0","457.5","0","0"
"2026","1","300619","Професионална гимназия по аграрни технологии ""Цанко Церковски""","29430","Полиграфия","59","0","0","303","0","0"
"2026","1","300619","Професионална гимназия по аграрни технологии ""Цанко Церковски""","29483","Мениджмънт и икономика","108","0","0","417","0","0"
"2026","1","300619","Професионална гимназия по аграрни технологии ""Цанко Церковски""","29488","Автоматизирани системи и технологии в машиностроенето","53","0","0","248.5","0","0"
"2026","1","300619","Професионална гимназия по аграрни технологии ""Цанко Церковски""","29490","Автомобилна техника и мехатроника0","106","0","0","256","0","0"
"2026","1","300619","Професионална гимназия по аграрни технологии ""Цанко Церковски""","29495","Механизация и цифровизация в аграрния сектор","109","0","0","344","0","0"
"2026","2","300618","Средно училище ""Бачо Киро""","29529","Софтуерни и хардуерни науки","0","0","0","0","0","0"
"2026","2","300618","Средно училище ""Бачо Киро""","29531","Компютърна графика","225","0","0","225","0","0"
"2026","2","300619","Професионална гимназия по аграрни технологии ""Цанко Церковски""","29430","Полиграфия","0","0","0","0","0","0"
"2026","2","300619","Професионална гимназия по аграрни технологии ""Цанко Церковски""","29483","Мениджмънт и икономика","46","0","0","46","0","0"
"2026","2","300619","Професионална гимназия по аграрни технологии ""Цанко Церковски""","29488","Автоматизирани системи и технологии в машиностроенето","0","0","0","0","0","0"
"2026","2","300619","Професионална гимназия по аграрни технологии ""Цанко Церковски""","29490","Автомобилна техника и мехатроника0","0","0","0","0","0","0"
"2026","2","300619","Професионална гимназия по аграрни технологии ""Цанко Церковски""","29495","Механизация и цифровизация в аграрния сектор","30","0","0","30","0","0"
"2026","3","300618","Средно училище ""Бачо Киро""","29529","Софтуерни и хардуерни науки","0","0","0","0","0","0"
"2026","3","300618","Средно училище ""Бачо Киро""","29531","Компютърна графика","0","0","0","0","0","0"
"2026","3","300619","Професионална гимназия по аграрни технологии ""Цанко Церковски""","29430","Полиграфия","0","0","0","0","0","0"
"2026","3","300619","Професионална гимназия по аграрни технологии ""Цанко Церковски""","29483","Мениджмънт и икономика","0","0","0","0","0","0"
"2026","3","300619","Професионална гимназия по аграрни технологии ""Цанко Церковски""","29488","Автоматизирани системи и технологии в машиностроенето","0","0","0","0","0","0"
"2026","3","300619","Професионална гимназия по аграрни технологии ""Цанко Церковски""","29490","Автомобилна техника и мехатроника0","0","0","0","0","0","0"
"2026","3","300619","Професионална гимназия по аграрни технологии ""Цанко Церковски""","29495","Механизация и цифровизация в аграрния сектор","0","0","0","0","0","0"
"2026","4","300618","Средно училище ""Бачо Киро""","29529","Софтуерни и хардуерни науки","0","0","0","0","0","0"
"2026","4","300618","Средно училище ""Бачо Киро""","29531","Компютърна графика","0","0","0","0","0","0"
"2026","4","300619","Професионална гимназия по аграрни технологии ""Цанко Церковски""","29430","Полиграфия","0","0","0","0","0","0"
"2026","4","300619","Професионална гимназия по аграрни технологии ""Цанко Церковски""","29483","Мениджмънт и икономика","0","0","0","0","0","0"
"2026","4","300619","Професионална гимназия по аграрни технологии ""Цанко Церковски""","29488","Автоматизирани системи и технологии в машиностроенето","0","0","0","0","0","0"
"2026","4","300619","Професионална гимназия по аграрни технологии ""Цанко Церковски""","29490","Автомобилна техника и мехатроника0","0","0","0","0","0","0"
"2026","4","300619","Професионална гимназия по аграрни технологии ""Цанко Церковски""","29495","Механизация и цифровизация в аграрния сектор","0","0","0","0","0","0"
