"year","klasirane","school_code","school_name","profile_code","profile_name","min_score_total","min_score_male","min_score_female","max_score_total","max_score_male","max_score_female"
"2026","1","1304290","Езикова гимназия ""Бертолт Брехт""","03103","Профил ""Чужди езици"" - английски език с немски език","359","359","360.5","486.5","443","486.5"
"2026","1","1304290","Езикова гимназия ""Бертолт Брехт""","03102","Профил ""Чужди езици"" - немски език с английски език","286","287","286","480","436.5","480"
"2026","1","1304290","Езикова гимназия ""Бертолт Брехт""","03104","Профил ""Чужди езици"" - френски език с английски език","248.5","248.5","251.5","413","282.5","413"
"2026","1","1301139","Професионална гимназия по икономика и мениджмънт","28715","професия ""Икономическа информатика"" с интензивно изучаване на чужд език - английски, придобиване на III степен на професионална квалификация","251","251","251.5","430.5","430.5","419"
"2026","1","1301139","Професионална гимназия по икономика и мениджмънт","28722","професия ""Мениджмънт и икономика"" с интензивно изучаване на чужд език - английски, придобиване на III степен на професионална квалификация","252","252","257","470.5","435.5","470.5"
"2026","1","1301139","Професионална гимназия по икономика и мениджмънт","28741","професия ""Митническо обслужване"" с интензивно изучаване на чужд език - немски, придобиване на III степен на професионална квалификация","212","212","215","459.5","272.5","459.5"
"2026","1","1301139","Професионална гимназия по икономика и мениджмънт","28718","професия ""Съдебна администрация"" с интензивно изучаване на чужд език - английски, придобиване на III степен на професионална квалификация","271","279","271","412.5","334","412.5"
"2026","1","1302769","Професионална гимназия по механоелектротехника","28228","Автомобилна техника и мехатроника - трета степен","103","103","0","300.25","300.25","0"
"2026","1","1302769","Професионална гимназия по механоелектротехника","28257","Графичен дизайн - трета степен","155.5","155.5","186.5","381.5","381.5","327"
"2026","1","1302769","Професионална гимназия по механоелектротехника","28236","Електроснабдяване и електрообзавеждане - трета степен","91.5","91.5","164.5","417.25","417.25","164.5"
"2026","1","1302769","Професионална гимназия по механоелектротехника","28248","Интелитентни системи - трета степен","199","199","0","218.75","218.75","0"
"2026","1","1302769","Професионална гимназия по механоелектротехника","28244","Разработка на софтуер - трета степен","138.5","138.5","356.5","363.25","363.25","356.5"
"2026","1","1302769","Професионална гимназия по механоелектротехника","28233","Хибридни и електически превозни средства - трета степен","167.5","167.5","0","353.5","353.5","0"
"2026","1","1303006","ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ПРОМИШЛЕНИ ТЕХНОЛОГИИ","28751","Технологии и системи за заваряване - без интензивно и без разширено изучаване на чужд език - трета степен","0","0","0","0","0","0"
"2026","1","1303006","ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ПРОМИШЛЕНИ ТЕХНОЛОГИИ","28753","Устойчива мода - без интензивно и без разширено изучаване на чужд език - трета степен","0","0","0","0","0","0"
