"year","klasirane","school_code","school_name","profile_code","profile_name","min_score_total","min_score_male","min_score_female","max_score_total","max_score_male","max_score_female"
"2026","1","1403214","VI Средно училище ""Свети Свети Кирил и Методий ""","28470","Съдебна администрация","162","0","0","321.5","0","0"
"2026","1","1403220","Гимназия с преподаване на чужди езици ""Симеон Радев""","01887","Софтуерни и хардуерни науки-информатика и информационни технологии(АЕ)","258.5","0","0","412.5","0","0"
"2026","1","1403220","Гимназия с преподаване на чужди езици ""Симеон Радев""","01893","Софтуерни и хардуерни науки-информатика и информационни технологии(ФЕ)","173","0","0","419","0","0"
"2026","1","1403220","Гимназия с преподаване на чужди езици ""Симеон Радев""","01855","Чужди езици-английски език и испански език","315.5","0","0","411","0","0"
"2026","1","1403220","Гимназия с преподаване на чужди езици ""Симеон Радев""","01878","Чужди езици-немски език и английски език","275.5","0","0","457","0","0"
"2026","1","1403220","Гимназия с преподаване на чужди езици ""Симеон Радев""","03021","Чужди езици-френски език и английски език","249","0","0","413","0","0"
"2026","1","1403213","Пето средно училище ""Петко Рачов Славейков""","29470","Логистични услуги","62","0","0","199.5","0","0"
"2026","1","1403213","Пето средно училище ""Петко Рачов Славейков""","29466","Спедиторски услуги","30","0","0","228","0","0"
"2026","1","1403219","Природоматематическа гимназия ""Христо Смирненски""","01574","Математически профил - математика и информатика","415","0","0","476.5","0","0"
"2026","1","1403219","Природоматематическа гимназия ""Христо Смирненски""","28390","Природни науки - биология и здравно образование и химия и oпазване на околната","350.5","0","0","419","0","0"
"2026","1","1403219","Природоматематическа гимназия ""Христо Смирненски""","05078","Природни науки - биология и здравно образование и химия и опазване на околната","324","0","0","442","0","0"
"2026","1","1403219","Природоматематическа гимназия ""Христо Смирненски""","04206","Разработка на софтуер","352","0","0","433","0","0"
"2026","1","1403236","Професионална гимназия по икономика","29381","Електронна търговия, маркетинг и реклама","260.5","0","0","411","0","0"
"2026","1","1403236","Професионална гимназия по икономика","29388","Комуникационни и компютърни мрежи","243","0","0","348","0","0"
"2026","1","1403236","Професионална гимназия по икономика","29371","Мениджмънт и икономика","278.5","0","0","364.5","0","0"
"2026","1","1403236","Професионална гимназия по икономика","29375","Оперативно счетоводство","183","0","0","338","0","0"
"2026","1","1403237","Професионална гимназия по облекло и туризъм ""Свети Иван Рилски""","29269","Готварство","30","0","0","374.5","0","0"
