"year","klasirane","school_code","school_name","profile_code","profile_name","min_score_total","min_score_male","min_score_female","max_score_total","max_score_male","max_score_female"
"2024","1","1304357","Обединено училище ""Любен Каравелов""","3234","Заварчик","136","136","0","197","197","0"
"2024","1","1304357","Обединено училище ""Любен Каравелов""","3186","Обущар","133","145","133","202","184","202"
"2024","1","1302819","Професионална гимназия по хранително- вкусови технологии ""Атанас Ченгелев""","3369","Биотехнолог- ДУАЛНА","41","0","41","406.5","0","406.5"
"2024","1","1302819","Професионална гимназия по хранително- вкусови технологии ""Атанас Ченгелев""","3375","Готвач- ДУАЛНА","41","41","119","294","248","294"
"2024","1","1302819","Професионална гимназия по хранително- вкусови технологии ""Атанас Ченгелев""","3377","Организатор Интернет приложения","136","136","261","327","271","327"
"2024","1","1302630","Средно училище ""Свети Климент Охридски""","3262","Предприемачески","139","139","168","425.5","285","425.5"
"2024","2","1304357","Обединено училище ""Любен Каравелов""","3234","Заварчик","0","0","0","0","0","0"
"2024","2","1304357","Обединено училище ""Любен Каравелов""","3186","Обущар","0","0","0","0","0","0"
"2024","2","1302819","Професионална гимназия по хранително- вкусови технологии ""Атанас Ченгелев""","3369","Биотехнолог- ДУАЛНА","0","0","0","0","0","0"
"2024","2","1302819","Професионална гимназия по хранително- вкусови технологии ""Атанас Ченгелев""","3375","Готвач- ДУАЛНА","0","0","0","0","0","0"
"2024","2","1302819","Професионална гимназия по хранително- вкусови технологии ""Атанас Ченгелев""","3377","Организатор Интернет приложения","247","247","0","247","247","0"
"2024","2","1302630","Средно училище ""Свети Климент Охридски""","3262","Предприемачески","0","0","0","0","0","0"
"2024","3","1304357","Обединено училище ""Любен Каравелов""","3234","Заварчик","30","30","0","92","92","0"
"2024","3","1304357","Обединено училище ""Любен Каравелов""","3186","Обущар","30","30","134","146","146","134"
"2024","3","1302819","Професионална гимназия по хранително- вкусови технологии ""Атанас Ченгелев""","3369","Биотехнолог- ДУАЛНА","30","30","108","108","30","108"
"2024","3","1302819","Професионална гимназия по хранително- вкусови технологии ""Атанас Ченгелев""","3375","Готвач- ДУАЛНА","197","197","0","197","197","0"
"2024","3","1302819","Професионална гимназия по хранително- вкусови технологии ""Атанас Ченгелев""","3377","Организатор Интернет приложения","247","247","0","261","261","0"
"2024","3","1302630","Средно училище ""Свети Климент Охридски""","3262","Предприемачески","0","0","0","0","0","0"
"2024","4","1304357","Обединено училище ""Любен Каравелов""","3234","Заварчик","0","0","0","0","0","0"
"2024","4","1304357","Обединено училище ""Любен Каравелов""","3186","Обущар","0","0","0","0","0","0"
"2024","4","1302819","Професионална гимназия по хранително- вкусови технологии ""Атанас Ченгелев""","3369","Биотехнолог- ДУАЛНА","0","0","0","0","0","0"
"2024","4","1302819","Професионална гимназия по хранително- вкусови технологии ""Атанас Ченгелев""","3375","Готвач- ДУАЛНА","0","0","0","0","0","0"
"2024","4","1302819","Професионална гимназия по хранително- вкусови технологии ""Атанас Ченгелев""","3377","Организатор Интернет приложения","0","0","0","0","0","0"
"2024","4","1302630","Средно училище ""Свети Климент Охридски""","3262","Предприемачески","119","0","119","119","0","119"
