"year","klasirane","school_code","school_name","profile_code","profile_name","min_score_total","min_score_male","min_score_female","max_score_total","max_score_male","max_score_female"
"2024","1","102014","Професионална гимназия по икономика и туризъм "" Проф. д-р Асен Златаров""","2242","Специалност ""Икономика и мениджмънт"" с разширено изучаване на английски език","261.5","269.5","261.5","454","330","454"
"2024","1","102014","Професионална гимназия по икономика и туризъм "" Проф. д-р Асен Златаров""","2247","Специалност ""Икономическа информатика"" с разширено изучаване на английски език","238","238.5","238","402.5","390.5","402.5"
"2024","1","102014","Професионална гимназия по икономика и туризъм "" Проф. д-р Асен Златаров""","2266","Специалност ""Организация на туризма и свободното време"" с разширено изучаване на английски език","177","183","177","328.5","278","328.5"
"2024","1","102014","Професионална гимназия по икономика и туризъм "" Проф. д-р Асен Златаров""","2250","Специалност ""Производство и обслужване в заведенията за хранене и развлечения"" без интензивно и без разширено изучаване на английски език","96","96","135","264","196","264"
"2024","1","102009","Професионална гимназия по механоелектротехника ""Юрий Гагарин""","2254","Автотранспортна техника -чужд език - АЕ-без интензивно и без разширено изучаване","92","92","0","265","265","0"
"2024","1","102009","Професионална гимназия по механоелектротехника ""Юрий Гагарин""","4420","Експлоатация на автомобилния транспорт- чужд език - АЕ - без интензивно и без разширено изучаване","30","30","34","180","180","54"
"2024","1","102009","Професионална гимназия по механоелектротехника ""Юрий Гагарин""","2263","Маркетингови проучвания - АЕ - без интензивно и без разширено изучаване","64","64","100","267","112","267"
"2024","1","102009","Професионална гимназия по механоелектротехника ""Юрий Гагарин""","4599","Спедиция, транспортна и складова логистика-чужд език АЕ- без интензивно и без разширено изучаване","30","30","30","166","166","30"
"2024","1","104001","Профилирана гимназия ""Пейо Крачолов Яворов""","2285","""Математически"" -М-ИНФ-РИЧЕ-АЕ","123","146","123","449.5","265","449.5"
"2024","1","104001","Профилирана гимназия ""Пейо Крачолов Яворов""","2284","""Природни науки"" - Биология ЗО-ХИМИЯ ООС-БИБРИЧЕ-АЕ","218","223.5","218","403.5","370","403.5"
