"year","klasirane","school_code","school_name","profile_code","profile_name","min_score_total","min_score_male","min_score_female","max_score_total","max_score_male","max_score_female"
"2025","1","2302504","Професионална гимназия по механаноелектротехника","1543","Автоматизация на непрекъснати производства","177.5","177.5","0","311.5","311.5","0"
"2025","1","2302504","Професионална гимназия по механаноелектротехника","1551","Електрообзавеждане на производството","44","44","116","277.5","277.5","177"
"2025","1","2302504","Професионална гимназия по механаноелектротехника","1556","Икономика и мениджмънт","197","0","197","351","0","351"
"2025","1","2300448","Професионална гимназия по туризъм и хранителни технологии ""Никола Димов""","4307","Производство и обслужване в заведенията за хранене и развлечения/Ресторантьор","106","111","106","246","246","227"
"2025","1","2300448","Професионална гимназия по туризъм и хранителни технологии ""Никола Димов""","4311","Производство на хляб и хлебни изделия / Хлебар - сладкар","104","219.5","104","247","219.5","247"
"2025","1","2300105","Средно училище ""Саво Ценов Савов""","2465","Компютърен график","274","311.5","274","433.5","433.5","412.5"
"2025","2","2302504","Професионална гимназия по механаноелектротехника","1543","Автоматизация на непрекъснати производства","179","179","0","179","179","0"
"2025","2","2302504","Професионална гимназия по механаноелектротехника","1551","Електрообзавеждане на производството","0","0","0","0","0","0"
"2025","2","2302504","Професионална гимназия по механаноелектротехника","1556","Икономика и мениджмънт","143","0","143","161","0","161"
"2025","2","2300448","Професионална гимназия по туризъм и хранителни технологии ""Никола Димов""","4307","Производство и обслужване в заведенията за хранене и развлечения/Ресторантьор","0","0","0","0","0","0"
"2025","2","2300448","Професионална гимназия по туризъм и хранителни технологии ""Никола Димов""","4311","Производство на хляб и хлебни изделия / Хлебар - сладкар","0","0","0","0","0","0"
"2025","2","2300105","Средно училище ""Саво Ценов Савов""","2465","Компютърен график","216","216","224","266.5","266.5","240"
"2025","3","2302504","Професионална гимназия по механаноелектротехника","1543","Автоматизация на непрекъснати производства","0","0","0","0","0","0"
"2025","3","2302504","Професионална гимназия по механаноелектротехника","1551","Електрообзавеждане на производството","168.5","168.5","0","168.5","168.5","0"
"2025","3","2302504","Професионална гимназия по механаноелектротехника","1556","Икономика и мениджмънт","0","0","0","0","0","0"
"2025","3","2300448","Професионална гимназия по туризъм и хранителни технологии ""Никола Димов""","4307","Производство и обслужване в заведенията за хранене и развлечения/Ресторантьор","153","153","155","184.5","153","184.5"
"2025","3","2300448","Професионална гимназия по туризъм и хранителни технологии ""Никола Димов""","4311","Производство на хляб и хлебни изделия / Хлебар - сладкар","0","0","0","0","0","0"
"2025","3","2300105","Средно училище ""Саво Ценов Савов""","2465","Компютърен график","245","267","245","388.5","267","388.5"
"2025","4","2302504","Професионална гимназия по механаноелектротехника","1543","Автоматизация на непрекъснати производства","0","0","0","0","0","0"
"2025","4","2302504","Професионална гимназия по механаноелектротехника","1551","Електрообзавеждане на производството","171","0","171","171","0","171"
"2025","4","2302504","Професионална гимназия по механаноелектротехника","1556","Икономика и мениджмънт","0","0","0","0","0","0"
"2025","4","2300448","Професионална гимназия по туризъм и хранителни технологии ""Никола Димов""","4307","Производство и обслужване в заведенията за хранене и развлечения/Ресторантьор","153","0","153","153","0","153"
"2025","4","2300448","Професионална гимназия по туризъм и хранителни технологии ""Никола Димов""","4311","Производство на хляб и хлебни изделия / Хлебар - сладкар","0","0","0","0","0","0"
"2025","4","2300105","Средно училище ""Саво Ценов Савов""","2465","Компютърен график","0","0","0","0","0","0"
