"year","klasirane","school_code","school_name","profile_code","profile_name","min_score_total","min_score_male","min_score_female","max_score_total","max_score_male","max_score_female"
"2023","1","1500140","Държавна финансово-стопанска гимназия ""Интелект""","2180","Бизнес -администрация - с ИИЧЕ - Английски език","205.5","0","0","308","0","0"
"2023","1","1500140","Държавна финансово-стопанска гимназия ""Интелект""","2169","Електронна търговия - с ИИЧЕ - Английски език","188","0","0","284.5","0","0"
"2023","1","1500140","Държавна финансово-стопанска гимназия ""Интелект""","2166","Икономика и мениджмънт - с ИИЧЕ - Английски език","198","0","0","380","0","0"
"2023","1","1500140","Държавна финансово-стопанска гимназия ""Интелект""","2118","Икономическа информатика - с ИИЧЕ - Английски език","167","0","0","365","0","0"
"2023","1","1500140","Държавна финансово-стопанска гимназия ""Интелект""","2186","Съдебна администрация - с ИИЧЕ - Английски език","253","0","0","345.5","0","0"
"2023","1","1500130","Математическа гимназия ""Гео Милев""","2253","Математически - Математика и Информатика - с ИИЧЕ- Английски език","268.75","0","0","478","0","0"
"2023","1","1500130","Математическа гимназия ""Гео Милев""","2249","Математически - Математика, Физика и астрономия - с ИИЧЕ- Английски език","233.75","0","0","496.25","0","0"
"2023","1","1500130","Математическа гимназия ""Гео Милев""","2256","Природни науки - Биология и здравно образование, Химия и опазване на околната среда - с ИИЧЕ- Английски език","288","0","0","486","0","0"
"2023","1","1500130","Математическа гимназия ""Гео Милев""","2258","Софтуерни и хардуерни науки - Информатика и Информационни технологии - с ИИЧЕ- Английски език","250","0","0","467.5","0","0"
"2023","1","1500148","Професионална гимназия по електроника и химични технологии ""Проф.Асен Златаров""","1055","Електронна търговия - с РИЧЕ - Английски език","237.5","0","0","359.5","0","0"
"2023","1","1500148","Професионална гимназия по електроника и химични технологии ""Проф.Асен Златаров""","1057","Компютърна техника и технологии - с РИЧЕ - Английски език","216","0","0","297.5","0","0"
"2023","1","1500148","Професионална гимназия по електроника и химични технологии ""Проф.Асен Златаров""","1061","Компютърни мрежи - с РИЧЕ - Английски език","178","0","0","269","0","0"
"2023","1","1500148","Професионална гимназия по електроника и химични технологии ""Проф.Асен Златаров""","1045","Приложно програмиране, с РИЧЕ - Английски език","261.5","0","0","364","0","0"
"2023","1","1500148","Професионална гимназия по електроника и химични технологии ""Проф.Асен Златаров""","1069","Технология на фармацевтични и парфюмерийно-козметични продукти - с РИЧЕ - Английски език","256","0","0","381.5","0","0"
"2023","1","1500148","Професионална гимназия по електроника и химични технологии ""Проф.Асен Златаров""","1075","Технология на хомеопатичните и фитопродукти - с РИЧЕ - Английски език","208.5","0","0","351","0","0"
"2023","1","1500146","Професионална гимназия по лозарство и винарство ""Александър Стамболийски""","3774","Трайни насаждения - с Английски език","30","0","0","248.5","0","0"
"2023","1","1500143","Професионална гимназия по мениджмънт и хранителни технологии","0718","Производство и обслужване в заведенията за хранене и развлечения - дуална форма на обучение, с Руски език","74","0","0","182","0","0"
"2023","1","1500143","Професионална гимназия по мениджмънт и хранителни технологии","0713","Производство и преработка на мляко и млечни продукти - с Руски език","30","0","0","216","0","0"
"2023","1","1500143","Професионална гимназия по мениджмънт и хранителни технологии","0695","Производство на месо, месни продукти и риба - дуална форма на обучение, с Руски език","30","0","0","245","0","0"
"2023","1","1500141","Професионална гимназия по механоелектротехника","2675","Електрообзавеждане на производството - дуална форма на обучение, с Английски език","107","0","0","207.5","0","0"
"2023","1","1500141","Професионална гимназия по механоелектротехника","2663","Машини и системи с ЦПУ - дуална форма на обучение, с Английски език","124","0","0","238","0","0"
"2023","1","1500141","Професионална гимназия по механоелектротехника","2626","Системно програмиране - с РИЧЕ-Английски език","163","0","0","254","0","0"
"2023","1","1500141","Професионална гимназия по механоелектротехника","2655","Телекомуникационни системи - с РИЧЕ-Английски език","110","0","0","173","0","0"
"2023","1","1500147","Професионална гимназия по облекло и текстил ""Христо Бояджиев""","1271","Производство на облекло от текстил - дуална форма на обучение, с Английски език","54","0","0","170","0","0"
"2023","1","1500147","Професионална гимназия по облекло и текстил ""Христо Бояджиев""","1275","Фризьорство - с Английски език","81","0","0","288","0","0"
"2023","1","1500151","Професионална гимназия по подемна строителна и транспортна техника ""Г.С.Раковски""","1588","Подемно-транспортна техника, монтирана на пътни транспортни средства - с Английски език","78","0","0","245","0","0"
"2023","1","1500151","Професионална гимназия по подемна строителна и транспортна техника ""Г.С.Раковски""","1577","Пътно-строителна техника - с Английски език","30","0","0","208","0","0"
"2023","1","1500151","Професионална гимназия по подемна строителна и транспортна техника ""Г.С.Раковски""","4433","Спедиция, транспортна и складова логистика - дуална форма на обучение, с Английски език","106","0","0","368.5","0","0"
"2023","1","1500149","Професионална гимназия по ресторантьорство търговия и обслужване","1440","Асистент на лекар по дентална медицина - с РИЧЕ-Английски език","147","0","0","284.5","0","0"
"2023","1","1500149","Професионална гимназия по ресторантьорство търговия и обслужване","1437","Кетъринг, Ресторантьор - с РИЧЕ-Английски език","105.5","0","0","284","0","0"
"2023","1","1500149","Професионална гимназия по ресторантьорство търговия и обслужване","1515","Производство на кулинарни изделия и напитки, Готвач - с РИЧЕ-Английски език","196.5","0","0","323.5","0","0"
"2023","1","1500149","Професионална гимназия по ресторантьорство търговия и обслужване","1736","Съдебна администрация, Съдебен служител - с РИЧЕ- Английски език","169.5","0","0","387.5","0","0"
"2023","1","1500144","Професионална гимназия по строителство архитектура и геодезия ""Никола Фичев""","1188","Интериорен дизайн - с РИЧЕ-Английски език","117","0","0","380.5","0","0"
"2023","1","1500144","Професионална гимназия по строителство архитектура и геодезия ""Никола Фичев""","1182","Строителство и архитектура - с РИЧЕ-Английски език","171","0","0","360.5","0","0"
"2023","1","1500145","Професионална гимназия по транспорт ""Проф. Цветан Лазаров""","0421","Автомобилна мехатроника - с РИЧЕ-Английски език","134","0","0","301.5","0","0"
"2023","1","1500145","Професионална гимназия по транспорт ""Проф. Цветан Лазаров""","0420","Автотранспортна техника - с Английски език","80","0","0","205","0","0"
"2023","1","1500145","Професионална гимназия по транспорт ""Проф. Цветан Лазаров""","3373","Електрически превозни средства - с РИЧЕ-Английски език","160","0","0","249","0","0"
"2023","1","1500145","Професионална гимназия по транспорт ""Проф. Цветан Лазаров""","4151","Електрообзавеждане на транспортна техника - с Английски език","73","0","0","87","0","0"
"2023","1","1500153","Професионална гимназия по туризъм ""Алеко Константинов""","2008","Екскурзоводско обслужване - с РИЧЕ-Английски език","233","0","0","373.5","0","0"
"2023","1","1500153","Професионална гимназия по туризъм ""Алеко Константинов""","1951","Извършване на термални процедури в балнеологични и други възстановителни центрове - с РИЧЕ-Английски език","246.5","0","0","364.5","0","0"
"2023","1","1500153","Професионална гимназия по туризъм ""Алеко Константинов""","2004","Организация на туризма и свободното време - с РИЧЕ- Английски език","142","0","0","293.5","0","0"
"2023","1","1500153","Професионална гимназия по туризъм ""Алеко Константинов""","2042","Организация на хотелиерството - с РИЧЕ-Английски език","189","0","0","311.5","0","0"
"2023","1","1500153","Професионална гимназия по туризъм ""Алеко Константинов""","1944","Рекламна графика - с РИЧЕ-Английски език","248.5","0","0","396.5","0","0"
"2023","1","1500142","Професионална гимназия по хранително-вкусови технологии ""Луи Пастьор""","2229","Контрол на качеството и безопасност на храни и напитки - с Английски език","102","0","0","285","0","0"
"2023","1","1500142","Професионална гимназия по хранително-вкусови технологии ""Луи Пастьор""","2227","Осигуряване на продуктова информация, Консултант козметични, парфюмерийни, биологични продукти и битова химия - дуална форма на обучение, с Английски език","142","0","0","219","0","0"
