"year","klasirane","school_code","school_name","profile_code","profile_name","min_score_total","min_score_male","min_score_female","max_score_total","max_score_male","max_score_female"
"2023","1","1690450","Езикова гимназия ""Иван Вазов""","1816","Чужди езици АЕ","384","384","405.5","487","487","472"
"2023","1","1690450","Езикова гимназия ""Иван Вазов""","1812","Чужди езици ИспЕ","369","369","429.5","490","448","490"
"2023","1","1690450","Езикова гимназия ""Иван Вазов""","1814","Чужди езици ИтЕ","344.5","344.5","401","467.5","455","467.5"
"2023","1","1690450","Езикова гимназия ""Иван Вазов""","1821","Чужди езици НЕ","361.5","361.5","396.5","479","479","459"
"2023","1","1690450","Езикова гимназия ""Иван Вазов""","1819","Чужди езици ФЕ","341.5","341.5","399","483.5","371.5","483.5"
"2023","1","1690449","Езикова гимназия ""Пловдив""","0579","Чужди езици АЕ","374","374","419.5","497.5","495","497.5"
"2023","1","1690449","Езикова гимназия ""Пловдив""","0582","Чужди езици НЕ","402","402","418","494","491","494"
"2023","1","1690346","Математическа гимназия ""Академик Кирил Попов""","2869","Компютърна графика AE, Компютърен график","451.75","458.75","451.75","499.5","485.5","499.5"
"2023","1","1690346","Математическа гимназия ""Академик Кирил Попов""","2793","Математически АЕ","395","425.75","395","495.5","495.5","495"
"2023","1","1690346","Математическа гимназия ""Академик Кирил Попов""","2812","Математически НЕ","380","413.5","380","494.5","482.25","494.5"
"2023","1","1690346","Математическа гимназия ""Академик Кирил Попов""","2868","Системно програмиране AE, Системен програмист","428.5","428.5","430","497","497","495"
"2023","1","1690175","Национална търговска гимназия - Пловдив","1371","Банково дело, немски език","360","360","360.5","436","436","397"
"2023","1","1690175","Национална търговска гимназия - Пловдив","3353","Бизнес - администрация, английски език","360","373","360","426","404","426"
"2023","1","1690175","Национална търговска гимназия - Пловдив","3854","Електронна търговия, английски език","381","381.5","381","463","439.5","463"
"2023","1","1690175","Национална търговска гимназия - Пловдив","1388","Икономика и мениджмънт, немски език","389","389.5","389","475","475","459"
"2023","1","1690175","Национална търговска гимназия - Пловдив","1387","Икономическа информатика, английски език","401","401","402","489.5","489.5","444"
"2023","1","1690175","Национална търговска гимназия - Пловдив","1377","Митническа и данъчна администрация, английски език","373","373.5","373","434.5","431","434.5"
"2023","1","1690175","Национална търговска гимназия - Пловдив","1380","Оперативно счетоводство, английски език","362.5","362.5","363","461","385.5","461"
"2023","1","1690175","Национална търговска гимназия - Пловдив","3352","Търговия, английски език","360.5","360.5","360.5","436","388","436"
"2023","1","1690443","Обединено училище ""Йордан Йовков""","2776","работник в заведения за хранене и развлечения 3г.","30","41","30","223","164","223"
"2023","1","1690246","Обединено училище ""Пенчо Славейков""","3042","Производство на мебели","41","41","0","184","184","0"
"2023","1","1690246","Обединено училище ""Пенчо Славейков""","3041","Шивачество","34","0","34","172","0","172"
"2023","1","1690246","Обединено училище ""Пенчо Славейков""","4259","Шлосерство","49","49","0","129","129","0"
"2023","1","1690272","Професионална гимназия по архитектура строителство и геодезия ""Арх.Камен Петков""","0666","Архитектурна реставрация АЕ","279.5","279.5","281.25","394.5","394.5","329"
"2023","1","1690272","Професионална гимназия по архитектура строителство и геодезия ""Арх.Камен Петков""","0651","Водно строителство АЕ","251.75","251.75","256.5","307.25","307.25","281.5"
"2023","1","1690272","Професионална гимназия по архитектура строителство и геодезия ""Арх.Камен Петков""","0656","Геодезия АЕ","298.5","299.5","298.5","359.5","350.25","359.5"
"2023","1","1690272","Професионална гимназия по архитектура строителство и геодезия ""Арх.Камен Петков""","0678","Недвижими имоти АЕ","285.5","285.5","289.75","392","325","392"
"2023","1","1690272","Професионална гимназия по архитектура строителство и геодезия ""Арх.Камен Петков""","0662","Парково строителство и озеленяване АЕ","256","258.75","256","350","295.5","350"
"2023","1","1690272","Професионална гимназия по архитектура строителство и геодезия ""Арх.Камен Петков""","0637","Строителство и архитектура АЕ","350.25","350.25","354.75","457","454.5","457"
"2023","1","1690272","Професионална гимназия по архитектура строителство и геодезия ""Арх.Камен Петков""","0645","Строителство и архитектура НЕ","313","313.5","313","459.5","432","459.5"
"2023","1","1690272","Професионална гимназия по архитектура строителство и геодезия ""Арх.Камен Петков""","0658","Транспортно строителство АЕ","238.75","238.75","240.75","296.75","286.75","296.75"
"2023","1","1690179","Професионална гимназия по битова техника","0428","Електрически инсталации АЕ","222.5","222.5","0","326","326","0"
"2023","1","1690179","Професионална гимназия по битова техника","0429","Електрообзавеждане на подемна и асансьорна техника АЕ","183.5","183.5","0","261","261","0"
