"year","klasirane","school_code","school_name","profile_code","profile_name","min_score_total","min_score_male","min_score_female","max_score_total","max_score_male","max_score_female"
"2025","1","200712","Професионална гимназия по туризъм ""Алеко Константинов""","1523","Производство и обслужване в заведенията за хранене и развлечения","134","134","134","245.5","134","245.5"
"2025","1","200712","Професионална гимназия по туризъм ""Алеко Константинов""","1534","Производство на кулинарни изделия и напитки","88","91","88","215","215","197"
"2025","1","200711","Средно училище ""Иван Вазов""","4768","Електронна търговия, Организатор интернет приложение","112","112","123","296.5","294","296.5"
"2025","1","200711","Средно училище ""Иван Вазов""","4409","Чужди езици","172","172","210","443","382","443"
"2025","2","200712","Професионална гимназия по туризъм ""Алеко Константинов""","1523","Производство и обслужване в заведенията за хранене и развлечения","0","0","0","0","0","0"
"2025","2","200712","Професионална гимназия по туризъм ""Алеко Константинов""","1534","Производство на кулинарни изделия и напитки","0","0","0","0","0","0"
"2025","2","200711","Средно училище ""Иван Вазов""","4768","Електронна търговия, Организатор интернет приложение","163","163","167","167","163","167"
"2025","2","200711","Средно училище ""Иван Вазов""","4409","Чужди езици","271.5","382","271.5","382","382","348.5"
"2025","3","200712","Професионална гимназия по туризъм ""Алеко Константинов""","1523","Производство и обслужване в заведенията за хранене и развлечения","91","91","0","100","100","0"
"2025","3","200712","Професионална гимназия по туризъм ""Алеко Константинов""","1534","Производство на кулинарни изделия и напитки","0","0","0","0","0","0"
"2025","3","200711","Средно училище ""Иван Вазов""","4768","Електронна търговия, Организатор интернет приложение","0","0","0","0","0","0"
"2025","3","200711","Средно училище ""Иван Вазов""","4409","Чужди езици","94.5","94.5","0","94.5","94.5","0"
"2025","4","200712","Професионална гимназия по туризъм ""Алеко Константинов""","1523","Производство и обслужване в заведенията за хранене и развлечения","0","0","0","0","0","0"
"2025","4","200712","Професионална гимназия по туризъм ""Алеко Константинов""","1534","Производство на кулинарни изделия и напитки","0","0","0","0","0","0"
"2025","4","200711","Средно училище ""Иван Вазов""","4768","Електронна търговия, Организатор интернет приложение","0","0","0","0","0","0"
"2025","4","200711","Средно училище ""Иван Вазов""","4409","Чужди езици","0","0","0","0","0","0"
