"year","klasirane","school_code","school_name","profile_code","profile_name","min_score_total","min_score_male","min_score_female","max_score_total","max_score_male","max_score_female"
"2023","1","2540602","Професионална гимназия по селско стопанство ""Никола Пушкаров""","0474","Агроеколог","104.5","195.5","104.5","358.75","358.75","320.5"
"2023","2","2540602","Професионална гимназия по селско стопанство ""Никола Пушкаров""","0474","Агроеколог","0","0","0","0","0","0"
"2023","3","2540602","Професионална гимназия по селско стопанство ""Никола Пушкаров""","0474","Агроеколог","316.5","390","316.5","390","390","316.5"
"2023","4","2540602","Професионална гимназия по селско стопанство ""Никола Пушкаров""","0474","Агроеколог","0","0","0","0","0","0"
"2023","1","2540602","Професионална гимназия по селско стопанство ""Никола Пушкаров""","0510","Готвач","147.5","153","147.5","316.5","241.5","316.5"
"2023","2","2540602","Професионална гимназия по селско стопанство ""Никола Пушкаров""","0510","Готвач","0","0","0","0","0","0"
"2023","3","2540602","Професионална гимназия по селско стопанство ""Никола Пушкаров""","0510","Готвач","0","0","0","0","0","0"
"2023","4","2540602","Професионална гимназия по селско стопанство ""Никола Пушкаров""","0510","Готвач","0","0","0","0","0","0"
"2023","1","2540602","Професионална гимназия по селско стопанство ""Никола Пушкаров""","4181","Икономист-информатик","118.25","118.25","157.5","389","329","389"
"2023","2","2540602","Професионална гимназия по селско стопанство ""Никола Пушкаров""","4181","Икономист-информатик","0","0","0","0","0","0"
"2023","3","2540602","Професионална гимназия по селско стопанство ""Никола Пушкаров""","4181","Икономист-информатик","0","0","0","0","0","0"
"2023","4","2540602","Професионална гимназия по селско стопанство ""Никола Пушкаров""","4181","Икономист-информатик","0","0","0","0","0","0"
"2023","1","2540602","Професионална гимназия по селско стопанство ""Никола Пушкаров""","4180","Спедитор-лотистик","41","41","152.5","337.5","337.5","277"
"2023","2","2540602","Професионална гимназия по селско стопанство ""Никола Пушкаров""","4180","Спедитор-лотистик","0","0","0","0","0","0"
"2023","3","2540602","Професионална гимназия по селско стопанство ""Никола Пушкаров""","4180","Спедитор-лотистик","0","0","0","0","0","0"
"2023","4","2540602","Професионална гимназия по селско стопанство ""Никола Пушкаров""","4180","Спедитор-лотистик","41","41","0","41","41","0"
"2023","1","2540602","Професионална гимназия по селско стопанство ""Никола Пушкаров""","0499","Техник на селскостопанска техника","59","59","0","353.75","353.75","0"
"2023","2","2540602","Професионална гимназия по селско стопанство ""Никола Пушкаров""","0499","Техник на селскостопанска техника","0","0","0","0","0","0"
"2023","3","2540602","Професионална гимназия по селско стопанство ""Никола Пушкаров""","0499","Техник на селскостопанска техника","0","0","0","0","0","0"
"2023","4","2540602","Професионална гимназия по селско стопанство ""Никола Пушкаров""","0499","Техник на селскостопанска техника","0","0","0","0","0","0"
"2023","1","2540601","Професионална гимназия по техника и лека промишленост","0144","Графичен дизайнер","30","30","225","360.5","240","360.5"
"2023","2","2540601","Професионална гимназия по техника и лека промишленост","0144","Графичен дизайнер","0","0","0","0","0","0"
"2023","3","2540601","Професионална гимназия по техника и лека промишленост","0144","Графичен дизайнер","0","0","0","0","0","0"
