"year","klasirane","school_code","school_name","profile_code","profile_name","min_score_total","min_score_male","min_score_female","max_score_total","max_score_male","max_score_female"
"2025","1","2309991","Национална професионална гимназия по компютърни технологии и системи","5059","Програмист на изкуствен интелект","337","337","340","480","480","470"
"2025","1","2309991","Национална професионална гимназия по компютърни технологии и системи","2751","Системно програмиране","240.5","240.5","242","470","470","435.5"
"2025","1","2304770","Профилирана гимназия с преподаване на чужди езици ""Алеко Константинов""","4416","Графичен дизайн","322.5","324","322.5","458.5","406","458.5"
"2025","1","2304770","Профилирана гимназия с преподаване на чужди езици ""Алеко Константинов""","1303","Организация на хотелиерството","162","162","170","342","342","334"
"2025","1","2304770","Профилирана гимназия с преподаване на чужди езици ""Алеко Константинов""","1301","Чужди езици-Английски език","295","297.5","295","422.5","356","422.5"
"2025","1","2304770","Профилирана гимназия с преподаване на чужди езици ""Алеко Константинов""","1302","Чужди езици-Немски език","264","269","264","481","426","481"
"2025","2","2309991","Национална професионална гимназия по компютърни технологии и системи","5059","Програмист на изкуствен интелект","231","231","241","336","336","325.5"
"2025","2","2309991","Национална професионална гимназия по компютърни технологии и системи","2751","Системно програмиране","143.5","143.5","190","242","234","242"
"2025","2","2304770","Профилирана гимназия с преподаване на чужди езици ""Алеко Константинов""","4416","Графичен дизайн","0","0","0","0","0","0"
"2025","2","2304770","Профилирана гимназия с преподаване на чужди езици ""Алеко Константинов""","1303","Организация на хотелиерството","155","159","155","275.5","250","275.5"
"2025","2","2304770","Профилирана гимназия с преподаване на чужди езици ""Алеко Константинов""","1301","Чужди езици-Английски език","284.5","284.5","287.5","301.5","285.5","301.5"
"2025","2","2304770","Профилирана гимназия с преподаване на чужди езици ""Алеко Константинов""","1302","Чужди езици-Немски език","256","258.5","256","275","258.5","275"
"2025","3","2309991","Национална професионална гимназия по компютърни технологии и системи","5059","Програмист на изкуствен интелект","263","263","0","480","480","0"
"2025","3","2309991","Национална професионална гимназия по компютърни технологии и системи","2751","Системно програмиране","163.5","163.5","225","409","409","242"
"2025","3","2304770","Профилирана гимназия с преподаване на чужди езици ""Алеко Константинов""","4416","Графичен дизайн","0","0","0","0","0","0"
"2025","3","2304770","Профилирана гимназия с преподаване на чужди езици ""Алеко Константинов""","1303","Организация на хотелиерството","251","0","251","251","0","251"
"2025","3","2304770","Профилирана гимназия с преподаване на чужди езици ""Алеко Константинов""","1301","Чужди езици-Английски език","0","0","0","0","0","0"
"2025","3","2304770","Профилирана гимназия с преподаване на чужди езици ""Алеко Константинов""","1302","Чужди езици-Немски език","288.5","288.5","0","288.5","288.5","0"
"2025","4","2309991","Национална професионална гимназия по компютърни технологии и системи","5059","Програмист на изкуствен интелект","0","0","0","0","0","0"
"2025","4","2309991","Национална професионална гимназия по компютърни технологии и системи","2751","Системно програмиране","242","242","290","290","242","290"
"2025","4","2304770","Профилирана гимназия с преподаване на чужди езици ""Алеко Константинов""","4416","Графичен дизайн","0","0","0","0","0","0"
"2025","4","2304770","Профилирана гимназия с преподаване на чужди езици ""Алеко Константинов""","1303","Организация на хотелиерството","125","0","125","125","0","125"
"2025","4","2304770","Профилирана гимназия с преподаване на чужди езици ""Алеко Константинов""","1301","Чужди езици-Английски език","0","0","0","0","0","0"
"2025","4","2304770","Профилирана гимназия с преподаване на чужди езици ""Алеко Константинов""","1302","Чужди езици-Немски език","0","0","0","0","0","0"
