"year","klasirane","school_code","school_name","profile_code","profile_name","min_score_total","min_score_male","min_score_female","max_score_total","max_score_male","max_score_female"
"2025","1","400148","Средно училище ""Димитър Благоев""","1486","Компютърна графика - ИИЧЕ_АЕ","157","0","0","398.5","0","0"
"2025","1","400149","Професионална гимназия по хотелиерство ресторантьорство и туризъм ""Цар Симеон Велики""","2443","Производство и обслужване в заведенията за хранене и развлечения - БИБРИЧЕ_АЕ","101","0","0","337.5","0","0"
"2025","1","400150","Професионална гимназия по селско стопанство ""Земя""","0741","Автотранспортна техника - БИБРИЧЕ_АЕ","61","0","0","234.25","0","0"
"2025","1","400150","Професионална гимназия по селско стопанство ""Земя""","0715","Земеделско стопанство- БИБРИЧЕ_АЕ","59","0","0","281.75","0","0"
"2025","1","400148","Средно училище ""Димитър Благоев""","1204","Хуманитарни науки - ИИЧЕ_АЕ профил. предм. - БЕЛ_ИЦ","50","0","0","360.75","0","0"
"2025","1","400150","Професионална гимназия по селско стопанство ""Земя""","0764","Агроекология - БИБРИЧЕ_АЕ","30","0","0","274.75","0","0"
"2025","2","400150","Професионална гимназия по селско стопанство ""Земя""","0741","Автотранспортна техника - БИБРИЧЕ_АЕ","67","0","0","83","0","0"
"2025","2","400150","Професионална гимназия по селско стопанство ""Земя""","0764","Агроекология - БИБРИЧЕ_АЕ","78.5","0","0","78.5","0","0"
"2025","2","400150","Професионална гимназия по селско стопанство ""Земя""","0715","Земеделско стопанство- БИБРИЧЕ_АЕ","59","0","0","67","0","0"
"2025","2","400149","Професионална гимназия по хотелиерство ресторантьорство и туризъм ""Цар Симеон Велики""","2443","Производство и обслужване в заведенията за хранене и развлечения - БИБРИЧЕ_АЕ","225","0","0","305","0","0"
"2025","2","400148","Средно училище ""Димитър Благоев""","1486","Компютърна графика - ИИЧЕ_АЕ","0","0","0","0","0","0"
"2025","2","400148","Средно училище ""Димитър Благоев""","1204","Хуманитарни науки - ИИЧЕ_АЕ профил. предм. - БЕЛ_ИЦ","50","0","0","121","0","0"
"2025","3","400150","Професионална гимназия по селско стопанство ""Земя""","0741","Автотранспортна техника - БИБРИЧЕ_АЕ","48","0","0","76","0","0"
"2025","3","400150","Професионална гимназия по селско стопанство ""Земя""","0764","Агроекология - БИБРИЧЕ_АЕ","0","0","0","0","0","0"
"2025","3","400150","Професионална гимназия по селско стопанство ""Земя""","0715","Земеделско стопанство- БИБРИЧЕ_АЕ","59","0","0","74","0","0"
"2025","3","400149","Професионална гимназия по хотелиерство ресторантьорство и туризъм ""Цар Симеон Велики""","2443","Производство и обслужване в заведенията за хранене и развлечения - БИБРИЧЕ_АЕ","100","0","0","228.5","0","0"
"2025","3","400148","Средно училище ""Димитър Благоев""","1486","Компютърна графика - ИИЧЕ_АЕ","0","0","0","0","0","0"
"2025","3","400148","Средно училище ""Димитър Благоев""","1204","Хуманитарни науки - ИИЧЕ_АЕ профил. предм. - БЕЛ_ИЦ","174","0","0","248.5","0","0"
"2025","4","400150","Професионална гимназия по селско стопанство ""Земя""","0741","Автотранспортна техника - БИБРИЧЕ_АЕ","67","0","0","83","0","0"
"2025","4","400150","Професионална гимназия по селско стопанство ""Земя""","0764","Агроекология - БИБРИЧЕ_АЕ","0","0","0","0","0","0"
"2025","4","400150","Професионална гимназия по селско стопанство ""Земя""","0715","Земеделско стопанство- БИБРИЧЕ_АЕ","0","0","0","0","0","0"
"2025","4","400149","Професионална гимназия по хотелиерство ресторантьорство и туризъм ""Цар Симеон Велики""","2443","Производство и обслужване в заведенията за хранене и развлечения - БИБРИЧЕ_АЕ","96","0","0","96","0","0"
"2025","4","400148","Средно училище ""Димитър Благоев""","1486","Компютърна графика - ИИЧЕ_АЕ","0","0","0","0","0","0"
"2025","4","400148","Средно училище ""Димитър Благоев""","1204","Хуманитарни науки - ИИЧЕ_АЕ профил. предм. - БЕЛ_ИЦ","0","0","0","0","0","0"
