"year","klasirane","school_code","school_name","profile_code","profile_name","min_score_total","min_score_male","min_score_female","max_score_total","max_score_male","max_score_female"
"2024","1","1602315","Професионална гимназия по селско стопанство ""Васил Левски""","1843","Агроекология РЕ","102.5","111","102.5","244.75","244.75","242.5"
"2024","1","1602315","Професионална гимназия по селско стопанство ""Васил Левски""","1822","Икономическа информатика АЕ","117.5","128.5","117.5","362","293","362"
"2024","1","1602315","Професионална гимназия по селско стопанство ""Васил Левски""","1839","Механизация на селското стопанство РЕ","75","75","0","135","135","0"
"2024","1","1602315","Професионална гимназия по селско стопанство ""Васил Левски""","1851","Производство на облекло от текстил РЕ","59","0","59","223.5","0","223.5"
"2024","1","1602314","Средно училище ""Проф. д-р Асен Златаров""","0567","Електронна търговия","190","190","190","450.5","408.5","450.5"
"2024","1","1602314","Средно училище ""Проф. д-р Асен Златаров""","0600","Икономическо информационно осигуряване","217","238","217","431","363","431"
"2024","1","1602314","Средно училище ""Проф. д-р Асен Златаров""","0604","Туристическа анимация","209.5","225","209.5","423","367","423"
"2024","2","1602315","Професионална гимназия по селско стопанство ""Васил Левски""","1843","Агроекология РЕ","97","97","0","97","97","0"
"2024","2","1602314","Средно училище ""Проф. д-р Асен Златаров""","0567","Електронна търговия","179","0","179","179","0","179"
"2024","2","1602314","Средно училище ""Проф. д-р Асен Златаров""","0600","Икономическо информационно осигуряване","206","206","213","363","363","213"
"2024","2","1602314","Средно училище ""Проф. д-р Асен Златаров""","0604","Туристическа анимация","207","0","207","316","0","316"
"2024","3","1602315","Професионална гимназия по селско стопанство ""Васил Левски""","1851","Производство на облекло от текстил РЕ","69.5","69.5","81","203","203","197"
"2024","3","1602314","Средно училище ""Проф. д-р Асен Златаров""","0567","Електронна търговия","176.5","176.5","0","176.5","176.5","0"
"2024","3","1602314","Средно училище ""Проф. д-р Асен Златаров""","0600","Икономическо информационно осигуряване","203","0","203","203","0","203"
"2024","3","1602314","Средно училище ""Проф. д-р Асен Златаров""","0604","Туристическа анимация","233","0","233","233","0","233"
"2024","4","1602315","Професионална гимназия по селско стопанство ""Васил Левски""","1851","Производство на облекло от текстил РЕ","97","97","141","302.25","206.25","302.25"
