"year","klasirane","school_code","school_name","profile_code","profile_name","min_score_total","min_score_male","min_score_female","max_score_total","max_score_male","max_score_female"
"2023","1","2401053","Професионална гимназия ""Св.Иван Рилски""","1569","Локомотиви и вагони - дуална система на обучение","123","123","0","190","190","0"
"2023","1","2401053","Професионална гимназия ""Св.Иван Рилски""","1550","Машини и съоръжения за добивната промишленост и строителството - дуална система на обучение","36","36","127","231","231","128"
"2023","1","2401053","Професионална гимназия ""Св.Иван Рилски""","1581","Ръководител движение - дуална система на обучение","30","30","139","231","231","177"
"2023","1","2401052","Средно училище ""Гео Милев""","2916","Електронна търговия","234","235","234","361","308.5","361"
"2023","1","2401052","Средно училище ""Гео Милев""","3357","Обществени науки","151","151","156","279.5","279.5","272"
"2023","2","2401053","Професионална гимназия ""Св.Иван Рилски""","1569","Локомотиви и вагони - дуална система на обучение","0","0","0","0","0","0"
"2023","2","2401053","Професионална гимназия ""Св.Иван Рилски""","1550","Машини и съоръжения за добивната промишленост и строителството - дуална система на обучение","76","76","128","128","116","128"
"2023","2","2401053","Професионална гимназия ""Св.Иван Рилски""","1581","Ръководител движение - дуална система на обучение","108","108","146","231","231","146"
"2023","2","2401052","Средно училище ""Гео Милев""","2916","Електронна търговия","247","247","268","320","247","320"
"2023","2","2401052","Средно училище ""Гео Милев""","3357","Обществени науки","165","165","0","228.5","228.5","0"
