"year","klasirane","school_code","school_name","profile_code","profile_name","min_score_total","min_score_male","min_score_female","max_score_total","max_score_male","max_score_female"
"2026","1","1403657","Професионална гимназия по транспорт ""Юрий Гагарин""","29027","Автомобилна техника и мехатроника","30","0","0","217","0","0"
"2026","1","1403655","Средно училище ""Свети Свети Кирил и Методий""","00721","Математически профил - математика и информатика","68","0","0","426","0","0"
"2026","1","1403655","Средно училище ""Свети Свети Кирил и Методий""","28676","Професия - Разработка на софтуер","129.5","0","0","360.5","0","0"
"2026","1","1403656","Техническа професионална гимназия ""Никола Йонков Вапцаров""","29622","Автоматизация и управляваща техника","65","0","0","156","0","0"
"2026","1","1403656","Техническа професионална гимназия ""Никола Йонков Вапцаров""","29620","Електронна техника и технологии","30","0","0","362.5","0","0"
"2026","2","1403657","Професионална гимназия по транспорт ""Юрий Гагарин""","29027","Автомобилна техника и мехатроника","30","0","0","217","0","0"
"2026","2","1403655","Средно училище ""Свети Свети Кирил и Методий""","00721","Математически профил - математика и информатика","338","0","0","338","0","0"
"2026","2","1403655","Средно училище ""Свети Свети Кирил и Методий""","28676","Професия - Разработка на софтуер","129.5","0","0","360.5","0","0"
"2026","2","1403656","Техническа професионална гимназия ""Никола Йонков Вапцаров""","29622","Автоматизация и управляваща техника","65","0","0","156","0","0"
"2026","2","1403656","Техническа професионална гимназия ""Никола Йонков Вапцаров""","29620","Електронна техника и технологии","30","0","0","362.5","0","0"
