"year","klasirane","school_code","school_name","profile_code","profile_name","min_score_total","min_score_male","min_score_female","max_score_total","max_score_male","max_score_female"
"2024","1","1301770","Средно училище ""Свети Климент Охридски""","3150","Администратор в хотелиерството","30","108","30","230","188","230"
"2024","1","1301770","Средно училище ""Свети Климент Охридски""","3159","Монтьор на транспортна техника","112","112","0","304","304","0"
"2024","1","1301770","Средно училище ""Свети Климент Охридски""","4213","Предприемачески с интензивно изучаване на английски език","152","167","152","406","406","394.5"
"2024","2","1301770","Средно училище ""Свети Климент Охридски""","3150","Администратор в хотелиерството","0","0","0","0","0","0"
"2024","2","1301770","Средно училище ""Свети Климент Охридски""","3159","Монтьор на транспортна техника","0","0","0","0","0","0"
"2024","2","1301770","Средно училище ""Свети Климент Охридски""","4213","Предприемачески с интензивно изучаване на английски език","244","0","244","244","0","244"
"2024","3","1301770","Средно училище ""Свети Климент Охридски""","3150","Администратор в хотелиерството","165","0","165","165","0","165"
"2024","3","1301770","Средно училище ""Свети Климент Охридски""","3159","Монтьор на транспортна техника","0","0","0","0","0","0"
"2024","3","1301770","Средно училище ""Свети Климент Охридски""","4213","Предприемачески с интензивно изучаване на английски език","0","0","0","0","0","0"
"2024","4","1301770","Средно училище ""Свети Климент Охридски""","3150","Администратор в хотелиерството","0","0","0","0","0","0"
"2024","4","1301770","Средно училище ""Свети Климент Охридски""","3159","Монтьор на транспортна техника","0","0","0","0","0","0"
"2024","4","1301770","Средно училище ""Свети Климент Охридски""","4213","Предприемачески с интензивно изучаване на английски език","0","0","0","0","0","0"
