"year","klasirane","school_code","school_name","profile_code","profile_name","min_score_total","min_score_male","min_score_female","max_score_total","max_score_male","max_score_female"
"2026","1","1602511","Професионална гимназия ""Петър Парчевич""","29139","Автомобилна техника и мехатроника","66","66","0","362","362","0"
"2026","1","1602511","Професионална гимназия ""Петър Парчевич""","29141","Готварство","40","136","40","213.5","176","213.5"
"2026","1","1602511","Професионална гимназия ""Петър Парчевич""","29911","Електроснабдяване и електрообзавеждане","42","42","0","239","239","0"
"2026","1","1602511","Професионална гимназия ""Петър Парчевич""","28934","Икономическа информатика","35","35","41","357","252","357"
"2026","1","1602511","Професионална гимназия ""Петър Парчевич""","28952","Спедиторски услуги","138","138","166","384","384","208"
"2026","2","1602511","Професионална гимназия ""Петър Парчевич""","29139","Автомобилна техника и мехатроника","34","34","0","34","34","0"
"2026","2","1602511","Професионална гимназия ""Петър Парчевич""","28934","Икономическа информатика","357","0","357","357","0","357"
"2026","3","1602511","Професионална гимназия ""Петър Парчевич""","29141","Готварство","99","0","99","240.5","0","240.5"
"2026","3","1602511","Професионална гимназия ""Петър Парчевич""","28934","Икономическа информатика","111","111","0","111","111","0"
"2026","4","1602511","Професионална гимназия ""Петър Парчевич""","28934","Икономическа информатика","201","0","201","201","0","201"
"2026","4","1602511","Професионална гимназия ""Петър Парчевич""","28952","Спедиторски услуги","84","84","0","84","84","0"
