"year","klasirane","school_code","school_name","profile_code","profile_name","min_score_total","min_score_male","min_score_female","max_score_total","max_score_male","max_score_female"
"2025","1","1702602","Национална професионална техническа гимназия ""Шандор Петьофи""","3832","Електрически машини и апарати","112","0","0","301","0","0"
"2025","1","1702602","Национална професионална техническа гимназия ""Шандор Петьофи""","0961","Компютърна техника и технологии","147","0","0","380","0","0"
"2025","1","1702602","Национална професионална техническа гимназия ""Шандор Петьофи""","3622","Машини и системи с ЦПУ","52","0","0","388","0","0"
"2025","1","1702602","Национална професионална техническа гимназия ""Шандор Петьофи""","0972","Приложно програмиране","86","0","0","439.5","0","0"
"2025","1","1702601","Професионална гимназия по икономика ""Робер Шуман""","1409","Икономика и мениджмънт","142","0","0","337","0","0"
"2025","1","1702601","Професионална гимназия по икономика ""Робер Шуман""","1406","Митническа и данъчна администрация","41","0","0","351.25","0","0"
"2025","1","1702601","Професионална гимназия по икономика ""Робер Шуман""","3326","Производство на кулинарни изделия и напитки","41","0","0","341.5","0","0"
"2025","1","1702601","Професионална гимназия по икономика ""Робер Шуман""","4886","Спедиция, транспортна и складова логистика","106.25","0","0","348.75","0","0"
"2025","1","1702629","Професионална гимназия по облекло ""Станка Николица Спасо-Еленина""","4586","Организация и технология на козметичните услуги","93","0","0","265","0","0"
"2025","1","1702629","Професионална гимназия по облекло ""Станка Николица Спасо-Еленина""","4415","Организация и технология на фризьорските услуги","65","0","0","200","0","0"
"2025","1","1702604","Професионална гимназия по селско стопанство и хранително-вкусови технологии ""Ангел Кънчев""","4950","Механизация на селското стопанство-дуална","92","0","0","219","0","0"
"2025","1","1702604","Професионална гимназия по селско стопанство и хранително-вкусови технологии ""Ангел Кънчев""","0896","Производство на хляб и хлебни изделия","72","0","0","304.5","0","0"
"2025","1","1702607","Професионална гимназия по транспорт и строителство ""Христо Смирненски""","1101","Техник по транспортна техника","61","0","0","168","0","0"
"2025","1","1702603","Професионална гимназия по химични технологии и биотехнологии ""Мария Кюри""","4342","Технологичен и микробиологичен контрол в химични производства","108","0","0","263.5","0","0"
"2025","1","1702603","Професионална гимназия по химични технологии и биотехнологии ""Мария Кюри""","4669","Технология в биопроизводствата","64","0","0","127","0","0"
"2025","1","1702603","Професионална гимназия по химични технологии и биотехнологии ""Мария Кюри""","4668","Технология на фармацевтични и парфюмерийно - козметични продукти-дуална","74","0","0","232","0","0"
"2025","1","1702608","Профилирана гимназия с преподаване на чужди езици ""Екзарх Йосиф""","1005","Английски език с втори чужд език испански език","345.5","0","0","448.5","0","0"
"2025","1","1702608","Профилирана гимназия с преподаване на чужди езици ""Екзарх Йосиф""","1015","Английски език с втори чужд език немски език","290","0","0","454","0","0"
"2025","1","1702608","Профилирана гимназия с преподаване на чужди езици ""Екзарх Йосиф""","1150","Немски език с втори чужд език английски език","212.5","0","0","403.5","0","0"
"2025","1","1702608","Профилирана гимназия с преподаване на чужди езици ""Екзарх Йосиф""","3258","Природни науки","211.5","0","0","449.5","0","0"
"2025","1","1702609","Профилирана природоматематическа гимназия ""Академик Никола Обрешков""","1568","Приложен програмист","172","0","0","450.5","0","0"
"2025","1","1702609","Профилирана природоматематическа гимназия ""Академик Никола Обрешков""","1548","Профил ""Математически""","192","0","0","463.5","0","0"
"2025","1","1702609","Профилирана природоматематическа гимназия ""Академик Никола Обрешков""","1562","Профил ""Природни науки""","339.5","0","0","475.5","0","0"
"2025","1","1702609","Профилирана природоматематическа гимназия ""Академик Никола Обрешков""","1555","Профил ""Софтуерни и хардуерни науки""","245","0","0","455.5","0","0"
"2025","2","1702602","Национална професионална техническа гимназия ""Шандор Петьофи""","3832","Електрически машини и апарати","0","0","0","0","0","0"
"2025","2","1702602","Национална професионална техническа гимназия ""Шандор Петьофи""","0961","Компютърна техника и технологии","308.5","0","0","308.5","0","0"
"2025","2","1702602","Национална професионална техническа гимназия ""Шандор Петьофи""","3622","Машини и системи с ЦПУ","237","0","0","237","0","0"
"2025","2","1702602","Национална професионална техническа гимназия ""Шандор Петьофи""","0972","Приложно програмиране","0","0","0","0","0","0"
"2025","2","1702601","Професионална гимназия по икономика ""Робер Шуман""","1409","Икономика и мениджмънт","223","0","0","223","0","0"
"2025","2","1702601","Професионална гимназия по икономика ""Робер Шуман""","1406","Митническа и данъчна администрация","199.75","0","0","215","0","0"
"2025","2","1702601","Професионална гимназия по икономика ""Робер Шуман""","3326","Производство на кулинарни изделия и напитки","0","0","0","0","0","0"
"2025","2","1702601","Професионална гимназия по икономика ""Робер Шуман""","4886","Спедиция, транспортна и складова логистика","0","0","0","0","0","0"
"2025","2","1702629","Професионална гимназия по облекло ""Станка Николица Спасо-Еленина""","4586","Организация и технология на козметичните услуги","0","0","0","0","0","0"
"2025","2","1702629","Професионална гимназия по облекло ""Станка Николица Спасо-Еленина""","4415","Организация и технология на фризьорските услуги","0","0","0","0","0","0"
"2025","2","1702604","Професионална гимназия по селско стопанство и хранително-вкусови технологии ""Ангел Кънчев""","4950","Механизация на селското стопанство-дуална","0","0","0","0","0","0"
"2025","2","1702604","Професионална гимназия по селско стопанство и хранително-вкусови технологии ""Ангел Кънчев""","0896","Производство на хляб и хлебни изделия","0","0","0","0","0","0"
"2025","2","1702607","Професионална гимназия по транспорт и строителство ""Христо Смирненски""","1101","Техник по транспортна техника","0","0","0","0","0","0"
"2025","2","1702603","Професионална гимназия по химични технологии и биотехнологии ""Мария Кюри""","4342","Технологичен и микробиологичен контрол в химични производства","0","0","0","0","0","0"
"2025","2","1702603","Професионална гимназия по химични технологии и биотехнологии ""Мария Кюри""","4669","Технология в биопроизводствата","0","0","0","0","0","0"
"2025","2","1702603","Професионална гимназия по химични технологии и биотехнологии ""Мария Кюри""","4668","Технология на фармацевтични и парфюмерийно - козметични продукти-дуална","0","0","0","0","0","0"
"2025","2","1702608","Профилирана гимназия с преподаване на чужди езици ""Екзарх Йосиф""","1005","Английски език с втори чужд език испански език","303.5","0","0","307.5","0","0"
"2025","2","1702608","Профилирана гимназия с преподаване на чужди езици ""Екзарх Йосиф""","1015","Английски език с втори чужд език немски език","266.5","0","0","292","0","0"
"2025","2","1702608","Профилирана гимназия с преподаване на чужди езици ""Екзарх Йосиф""","1150","Немски език с втори чужд език английски език","183","0","0","264","0","0"
"2025","2","1702608","Профилирана гимназия с преподаване на чужди езици ""Екзарх Йосиф""","3258","Природни науки","202","0","0","297","0","0"
"2025","2","1702609","Профилирана природоматематическа гимназия ""Академик Никола Обрешков""","1568","Приложен програмист","0","0","0","0","0","0"
"2025","2","1702609","Профилирана природоматематическа гимназия ""Академик Никола Обрешков""","1548","Профил ""Математически""","192","0","0","291.5","0","0"
"2025","2","1702609","Профилирана природоматематическа гимназия ""Академик Никола Обрешков""","1562","Профил ""Природни науки""","324.5","0","0","324.5","0","0"
"2025","2","1702609","Профилирана природоматематическа гимназия ""Академик Никола Обрешков""","1555","Профил ""Софтуерни и хардуерни науки""","174","0","0","174","0","0"
"2025","3","1702602","Национална професионална техническа гимназия ""Шандор Петьофи""","3832","Електрически машини и апарати","0","0","0","0","0","0"
"2025","3","1702602","Национална професионална техническа гимназия ""Шандор Петьофи""","0961","Компютърна техника и технологии","0","0","0","0","0","0"
"2025","3","1702602","Национална професионална техническа гимназия ""Шандор Петьофи""","3622","Машини и системи с ЦПУ","0","0","0","0","0","0"
"2025","3","1702602","Национална професионална техническа гимназия ""Шандор Петьофи""","0972","Приложно програмиране","84","0","0","84","0","0"
"2025","3","1702601","Професионална гимназия по икономика ""Робер Шуман""","1409","Икономика и мениджмънт","0","0","0","0","0","0"
"2025","3","1702601","Професионална гимназия по икономика ""Робер Шуман""","1406","Митническа и данъчна администрация","242","0","0","242","0","0"
"2025","3","1702601","Професионална гимназия по икономика ""Робер Шуман""","3326","Производство на кулинарни изделия и напитки","0","0","0","0","0","0"
"2025","3","1702601","Професионална гимназия по икономика ""Робер Шуман""","4886","Спедиция, транспортна и складова логистика","0","0","0","0","0","0"
"2025","3","1702629","Професионална гимназия по облекло ""Станка Николица Спасо-Еленина""","4586","Организация и технология на козметичните услуги","41","0","0","115","0","0"
"2025","3","1702629","Професионална гимназия по облекло ""Станка Николица Спасо-Еленина""","4415","Организация и технология на фризьорските услуги","41","0","0","71","0","0"
"2025","3","1702604","Професионална гимназия по селско стопанство и хранително-вкусови технологии ""Ангел Кънчев""","4950","Механизация на селското стопанство-дуална","0","0","0","0","0","0"
"2025","3","1702604","Професионална гимназия по селско стопанство и хранително-вкусови технологии ""Ангел Кънчев""","0896","Производство на хляб и хлебни изделия","0","0","0","0","0","0"
"2025","3","1702607","Професионална гимназия по транспорт и строителство ""Христо Смирненски""","1101","Техник по транспортна техника","0","0","0","0","0","0"
"2025","3","1702603","Професионална гимназия по химични технологии и биотехнологии ""Мария Кюри""","4342","Технологичен и микробиологичен контрол в химични производства","0","0","0","0","0","0"
"2025","3","1702603","Професионална гимназия по химични технологии и биотехнологии ""Мария Кюри""","4669","Технология в биопроизводствата","0","0","0","0","0","0"
