"year","klasirane","school_code","school_name","profile_code","profile_name","min_score_total","min_score_male","min_score_female","max_score_total","max_score_male","max_score_female"
"2026","1","102017","Професионална гимназия по механизация на селското стопанствo","29717","Автоматизирани системи и технологии в машиностроенето - без интензивно и без разширено АЕ","30","30","30","184.5","131.5","184.5"
"2026","1","102017","Професионална гимназия по механизация на селското стопанствo","29705","Механизация и цифровизация в аграрния сектор -без интензивно и без разширено АЕ","41","41","0","224.75","224.75","0"
"2026","1","102017","Професионална гимназия по механизация на селското стопанствo","29714","Флористика и озеленяване - без интензивно и без разширено АЕ","30","30","63","256.5","256.5","206"
"2026","1","102113","Професионална гимназия по транспорт","28888","Оперативно счетоводство-без интензивно и без разширено АЕ","30","169","30","288.5","169","288.5"
"2026","1","102113","Професионална гимназия по транспорт","28892","Организация на автомобилния транспорт-без интензивно и без разширено АЕ","30","30","87","314.5","201","314.5"
"2026","1","102113","Професионална гимназия по транспорт","28893","Спедиторски услуги-РИЧЕ-АЕ","65","65","100","293","282","293"
"2026","1","102012","Разложка професионална гимназия ""Никола Стойчев""","29709","Готварство-без интензивно и без разширено АЕ","50","75","50","237.5","130","237.5"
"2026","1","102012","Разложка професионална гимназия ""Никола Стойчев""","29681","Електронна търговия, маркетинг и реклама-без интензивно и без разширено АЕ","125","125","164","297.5","297.5","246"
"2026","1","102012","Разложка професионална гимназия ""Никола Стойчев""","29708","Хотелиерство-без интензивно и без разширено АЕ","81","0","81","214.5","0","214.5"
"2026","1","103501","Средно училище ""Братя Петър и Иван Каназиреви""","02321","Природни науки - ИИЧЕ - АЕ","228","230","228","430","426","430"
"2026","1","103501","Средно училище ""Братя Петър и Иван Каназиреви""","02319","Софтуерни и хардуерни науки - ИИЧЕ-АЕ","213","213","220","464","464","435"
"2026","1","103501","Средно училище ""Братя Петър и Иван Каназиреви""","02313","Чужди езици - АЕ-ИспЕ-ИИЧЕ-АЕ","294","298","294","432","432","425"
"2026","2","102017","Професионална гимназия по механизация на селското стопанствo","29717","Автоматизирани системи и технологии в машиностроенето - без интензивно и без разширено АЕ","0","0","0","0","0","0"
"2026","2","102017","Професионална гимназия по механизация на селското стопанствo","29705","Механизация и цифровизация в аграрния сектор -без интензивно и без разширено АЕ","0","0","0","0","0","0"
"2026","2","102017","Професионална гимназия по механизация на селското стопанствo","29714","Флористика и озеленяване - без интензивно и без разширено АЕ","0","0","0","0","0","0"
"2026","2","102113","Професионална гимназия по транспорт","28888","Оперативно счетоводство-без интензивно и без разширено АЕ","176.5","0","176.5","176.5","0","176.5"
"2026","2","102113","Професионална гимназия по транспорт","28892","Организация на автомобилния транспорт-без интензивно и без разширено АЕ","0","0","0","0","0","0"
"2026","2","102113","Професионална гимназия по транспорт","28893","Спедиторски услуги-РИЧЕ-АЕ","138","138","0","198","198","0"
"2026","2","102012","Разложка професионална гимназия ""Никола Стойчев""","29709","Готварство-без интензивно и без разширено АЕ","0","0","0","0","0","0"
"2026","2","102012","Разложка професионална гимназия ""Никола Стойчев""","29681","Електронна търговия, маркетинг и реклама-без интензивно и без разширено АЕ","0","0","0","0","0","0"
"2026","2","102012","Разложка професионална гимназия ""Никола Стойчев""","29708","Хотелиерство-без интензивно и без разширено АЕ","0","0","0","0","0","0"
"2026","2","103501","Средно училище ""Братя Петър и Иван Каназиреви""","02321","Природни науки - ИИЧЕ - АЕ","212","226","212","250","230","250"
"2026","2","103501","Средно училище ""Братя Петър и Иван Каназиреви""","02319","Софтуерни и хардуерни науки - ИИЧЕ-АЕ","191","191","206","287.5","200","287.5"
"2026","2","103501","Средно училище ""Братя Петър и Иван Каназиреви""","02313","Чужди езици - АЕ-ИспЕ-ИИЧЕ-АЕ","291.5","0","291.5","291.5","0","291.5"
