"year","klasirane","school_code","school_name","profile_code","profile_name","min_score_total","min_score_male","min_score_female","max_score_total","max_score_male","max_score_female"
"2025","1","1806201","Английска езикова гимназия ""Гео Милев""","3144","Компютърна анимация","378","0","0","448","0","0"
"2025","1","1806201","Английска езикова гимназия ""Гео Милев""","0867","Чужди езици","379","0","0","482","0","0"
"2025","1","1806202","Математическа гимназия ""Баба Тонка""","2944","Математически","441","0","0","496","0","0"
"2025","1","1806202","Математическа гимназия ""Баба Тонка""","2948","Природни науки","420.5","0","0","481","0","0"
"2025","1","1806202","Математическа гимназия ""Баба Тонка""","2946","Софтуерни и хардуерни науки","415.5","0","0","474.25","0","0"
"2025","1","1806302","Професионална гимназия по дървообработване и вътрешна архитектура ""Йосиф Вондрак"" - Русе","0507","Интериорен дизайн","272.25","0","0","329","0","0"
"2025","1","1806302","Професионална гимназия по дървообработване и вътрешна архитектура ""Йосиф Вондрак"" - Русе","0528","Мебелно производство - дуална система на обучение","127.5","0","0","264.5","0","0"
"2025","1","1806302","Професионална гимназия по дървообработване и вътрешна архитектура ""Йосиф Вондрак"" - Русе","4640","Реставрация на стилни мебели и дограма - дуална система на обучение","158.5","0","0","256.25","0","0"
"2025","1","1806302","Професионална гимназия по дървообработване и вътрешна архитектура ""Йосиф Вондрак"" - Русе","4851","Тапицерство и декораторство - дуална система на обучение","86","0","0","236.5","0","0"
"2025","1","1806301","Професионална гимназия по електротехника и електроника ""Апостол Арнаудов""","0396","Електрически инсталации","240.5","0","0","383.5","0","0"
"2025","1","1806301","Професионална гимназия по електротехника и електроника ""Апостол Арнаудов""","4473","Електрообзавеждане на подемна и асансьорна техника - дуална система на обучение","197","0","0","325","0","0"
"2025","1","1806301","Професионална гимназия по електротехника и електроника ""Апостол Арнаудов""","0399","Компютърна техника и технологии","251","0","0","351.5","0","0"
"2025","1","1806301","Професионална гимназия по електротехника и електроника ""Апостол Арнаудов""","4260","Компютърни мрежи - дуална система на обучение","222","0","0","319.5","0","0"
"2025","1","1806301","Професионална гимназия по електротехника и електроника ""Апостол Арнаудов""","4807","Медицинска техника - дуална система на обучение","240","0","0","377.5","0","0"
"2025","1","1806301","Професионална гимназия по електротехника и електроника ""Апостол Арнаудов""","0398","Приложно програмиране","281.5","0","0","406","0","0"
"2025","1","1806301","Професионална гимназия по електротехника и електроника ""Апостол Арнаудов""","0397","Системно програмиране","242","0","0","392.5","0","0"
"2025","1","1806310","Професионална гимназия по икономика и управление ""Елиас Канети""","3433","Електронна търговия","347.5","0","0","439.5","0","0"
"2025","1","1806310","Професионална гимназия по икономика и управление ""Елиас Канети""","1039","Икономика и мениджмънт","310","0","0","419","0","0"
"2025","1","1806310","Професионална гимназия по икономика и управление ""Елиас Канети""","1010","Оперативно счетоводство","298","0","0","422.5","0","0"
"2025","1","1806306","Професионална гимназия по механотехника ""Юрий Гагарин""","1966","Електрически превозни средства","115","0","0","218.5","0","0"
"2025","1","1806306","Професионална гимназия по механотехника ""Юрий Гагарин""","4680","Топлоенергетика - дуална система на обучение","82","0","0","82","0","0"
