"year","klasirane","school_code","school_name","profile_code","profile_name","min_score_total","min_score_male","min_score_female","max_score_total","max_score_male","max_score_female"
"2023","1","2303825","Обединено училище ""Неофит Рилски""","2541","Текстообработване","30","40","30","92","89","92"
"2023","1","2303825","Обединено училище ""Неофит Рилски""","4000","Шивачество","46","0","46","128","0","128"
"2023","1","2303825","Обединено училище ""Неофит Рилски""","4160","Шлосерство","41","41","0","178","178","0"
"2023","1","2300505","Професионална гимназия по туризъм","3054","Готвач","119","121","119","253","231.5","253"
"2023","1","2300505","Професионална гимназия по туризъм","3753","Планински водач","66","66","0","66","66","0"
"2023","1","2300505","Професионална гимназия по туризъм","4179","Хлебар - сладкар - дуална система на обучение","59","59","64.5","112.5","112.5","104"
"2023","1","2300505","Професионална гимназия по туризъм","4177","Хотелиер","64.5","64.5","79","145.5","145.5","107.5"
"2023","1","2300291","Професионална техническа гимназия ""Никола Й. Вапцаров""","1475","Горско и ловно стопанство","84","133","84","289","289","232"
"2023","1","2300291","Професионална техническа гимназия ""Никола Й. Вапцаров""","1466","Електрообзавеждане на производството","91","91","0","301","301","0"
"2023","1","2300291","Професионална техническа гимназия ""Никола Й. Вапцаров""","1447","Икономика и мениджмънт","178","178","180","413.5","211","413.5"
"2023","1","2300291","Професионална техническа гимназия ""Никола Й. Вапцаров""","1461","Компютърна техника и технологии","74","92","74","246","246","199"
"2023","1","2300291","Професионална техническа гимназия ""Никола Й. Вапцаров""","1456","Системно програмиране","109","121","109","274.5","274.5","224"
"2023","1","2300131","Профилирана гимназия ""КОНСТАНТИН ФОТИНОВ""","2634","Природни науки","216","216","223.5","446.5","446.5","405.5"
"2023","1","2300131","Профилирана гимназия ""КОНСТАНТИН ФОТИНОВ""","2646","Софтуерни и хардуерни науки","264","264","275.5","413.5","391.5","413.5"
"2023","1","2303106","Средно училище ""Отец Паисий""","3260","Предприемачески","234","256.75","234","405","385","405"
"2023","1","2303106","Средно училище ""Отец Паисий""","2556","Софтуерни и хардуерни науки","172","172","197","421.5","407.5","421.5"
"2023","2","2303825","Обединено училище ""Неофит Рилски""","2541","Текстообработване","0","0","0","0","0","0"
"2023","2","2303825","Обединено училище ""Неофит Рилски""","4000","Шивачество","0","0","0","0","0","0"
"2023","2","2303825","Обединено училище ""Неофит Рилски""","4160","Шлосерство","0","0","0","0","0","0"
"2023","2","2300505","Професионална гимназия по туризъм","3054","Готвач","0","0","0","0","0","0"
"2023","2","2300505","Професионална гимназия по туризъм","3753","Планински водач","0","0","0","0","0","0"
"2023","2","2300505","Професионална гимназия по туризъм","4179","Хлебар - сладкар - дуална система на обучение","0","0","0","0","0","0"
"2023","2","2300505","Професионална гимназия по туризъм","4177","Хотелиер","0","0","0","0","0","0"
"2023","2","2300291","Професионална техническа гимназия ""Никола Й. Вапцаров""","1475","Горско и ловно стопанство","0","0","0","0","0","0"
"2023","2","2300291","Професионална техническа гимназия ""Никола Й. Вапцаров""","1466","Електрообзавеждане на производството","0","0","0","0","0","0"
"2023","2","2300291","Професионална техническа гимназия ""Никола Й. Вапцаров""","1447","Икономика и мениджмънт","0","0","0","0","0","0"
"2023","2","2300291","Професионална техническа гимназия ""Никола Й. Вапцаров""","1461","Компютърна техника и технологии","0","0","0","0","0","0"
"2023","2","2300291","Професионална техническа гимназия ""Никола Й. Вапцаров""","1456","Системно програмиране","0","0","0","0","0","0"
"2023","2","2300131","Профилирана гимназия ""КОНСТАНТИН ФОТИНОВ""","2634","Природни науки","212","219.5","212","236","233","236"
"2023","2","2300131","Профилирана гимназия ""КОНСТАНТИН ФОТИНОВ""","2646","Софтуерни и хардуерни науки","258.5","258.5","0","260.5","260.5","0"
"2023","2","2303106","Средно училище ""Отец Паисий""","3260","Предприемачески","0","0","0","0","0","0"
"2023","2","2303106","Средно училище ""Отец Паисий""","2556","Софтуерни и хардуерни науки","0","0","0","0","0","0"
"2023","3","2303825","Обединено училище ""Неофит Рилски""","2541","Текстообработване","46","62","46","92","92","70"
"2023","3","2303825","Обединено училище ""Неофит Рилски""","4000","Шивачество","0","0","0","0","0","0"
"2023","3","2303825","Обединено училище ""Неофит Рилски""","4160","Шлосерство","56","56","0","100","100","0"
"2023","3","2300505","Професионална гимназия по туризъм","3054","Готвач","0","0","0","0","0","0"
"2023","3","2300505","Професионална гимназия по туризъм","3753","Планински водач","97.5","97.5","0","97.5","97.5","0"
"2023","3","2300505","Професионална гимназия по туризъм","4179","Хлебар - сладкар - дуална система на обучение","76","76","0","183","183","0"
"2023","3","2300505","Професионална гимназия по туризъм","4177","Хотелиер","102.5","102.5","0","148","148","0"
"2023","3","2300291","Професионална техническа гимназия ""Никола Й. Вапцаров""","1475","Горско и ловно стопанство","164","164","0","164","164","0"
"2023","3","2300291","Професионална техническа гимназия ""Никола Й. Вапцаров""","1466","Електрообзавеждане на производството","56","56","164","164","56","164"
"2023","3","2300291","Професионална техническа гимназия ""Никола Й. Вапцаров""","1447","Икономика и мениджмънт","80","80","0","80","80","0"
"2023","3","2300291","Професионална техническа гимназия ""Никола Й. Вапцаров""","1461","Компютърна техника и технологии","0","0","0","0","0","0"
"2023","3","2300291","Професионална техническа гимназия ""Никола Й. Вапцаров""","1456","Системно програмиране","0","0","0","0","0","0"
"2023","3","2300131","Профилирана гимназия ""КОНСТАНТИН ФОТИНОВ""","2634","Природни науки","227","0","227","227","0","227"
"2023","3","2300131","Профилирана гимназия ""КОНСТАНТИН ФОТИНОВ""","2646","Софтуерни и хардуерни науки","0","0","0","0","0","0"
"2023","3","2303106","Средно училище ""Отец Паисий""","3260","Предприемачески","0","0","0","0","0","0"
"2023","3","2303106","Средно училище ""Отец Паисий""","2556","Софтуерни и хардуерни науки","218","218","0","218","218","0"
"2023","4","2303825","Обединено училище ""Неофит Рилски""","2541","Текстообработване","0","0","0","0","0","0"
"2023","4","2303825","Обединено училище ""Неофит Рилски""","4000","Шивачество","0","0","0","0","0","0"
"2023","4","2303825","Обединено училище ""Неофит Рилски""","4160","Шлосерство","0","0","0","0","0","0"
"2023","4","2300505","Професионална гимназия по туризъм","3054","Готвач","0","0","0","0","0","0"
"2023","4","2300505","Професионална гимназия по туризъм","3753","Планински водач","0","0","0","0","0","0"
"2023","4","2300505","Професионална гимназия по туризъм","4179","Хлебар - сладкар - дуална система на обучение","0","0","0","0","0","0"
"2023","4","2300505","Професионална гимназия по туризъм","4177","Хотелиер","0","0","0","0","0","0"
"2023","4","2300291","Професионална техническа гимназия ""Никола Й. Вапцаров""","1475","Горско и ловно стопанство","0","0","0","0","0","0"
"2023","4","2300291","Професионална техническа гимназия ""Никола Й. Вапцаров""","1466","Електрообзавеждане на производството","0","0","0","0","0","0"
"2023","4","2300291","Професионална техническа гимназия ""Никола Й. Вапцаров""","1447","Икономика и мениджмънт","0","0","0","0","0","0"
"2023","4","2300291","Професионална техническа гимназия ""Никола Й. Вапцаров""","1461","Компютърна техника и технологии","0","0","0","0","0","0"
"2023","4","2300291","Професионална техническа гимназия ""Никола Й. Вапцаров""","1456","Системно програмиране","0","0","0","0","0","0"
"2023","4","2300131","Профилирана гимназия ""КОНСТАНТИН ФОТИНОВ""","2634","Природни науки","0","0","0","0","0","0"
"2023","4","2300131","Профилирана гимназия ""КОНСТАНТИН ФОТИНОВ""","2646","Софтуерни и хардуерни науки","0","0","0","0","0","0"
"2023","4","2303106","Средно училище ""Отец Паисий""","3260","Предприемачески","0","0","0","0","0","0"
"2023","4","2303106","Средно училище ""Отец Паисий""","2556","Софтуерни и хардуерни науки","0","0","0","0","0","0"
