"year","klasirane","school_code","school_name","profile_code","profile_name","min_score_total","min_score_male","min_score_female","max_score_total","max_score_male","max_score_female"
"2023","1","102013","Земеделска професионална гимназия ""Климент Аркадиевич Тимирязев""","2268","Професия ""Изпълнител на термални процедури"" - специалност ""Извършване на термални процедури в балнеологични и други възстановителни центрове "" с разширено изучаване на АЕ","201.5","203","201.5","355","266.5","355"
"2023","1","102013","Земеделска професионална гимназия ""Климент Аркадиевич Тимирязев""","4173","Професия ""Монтьор на селскостопанска техника"" - специалност ""Механизация на селското стопанство""","138","145","138","231.5","231.5","193.5"
"2023","1","102013","Земеделска професионална гимназия ""Климент Аркадиевич Тимирязев""","2248","Професия ""Организатор Интернет приложения"" - специалност ""Електронна търговия"" с интензивно изучаване на АЕ","325","325","326","470.5","414","470.5"
"2023","1","102013","Земеделска професионална гимназия ""Климент Аркадиевич Тимирязев""","2271","Професия ""Организатор на туристическа агентска дейност"" - специалност ""Организация на туризма и свободното време"" с интензивно изучаване на АЕ","307","307","307.5","427.5","338","427.5"
"2023","1","102013","Земеделска професионална гимназия ""Климент Аркадиевич Тимирязев""","3259","Професия ""Спедитор-логистик"" - специалност ""Спедиция,транспортна и складова логистика"" с разширено изучаване на АЕ","261.5","261.5","273.5","312","312","306"
"2023","1","102013","Земеделска професионална гимназия ""Климент Аркадиевич Тимирязев""","2251","Професия ""Техник-технолог по качеството на храни и напитки"" -специалност ""Контрол по качеството и безопасност на храни и напитки""","220","220.5","220","313.5","294.5","313.5"
"2023","1","102007","Професионална техническа гимназия","3820","Електродомакинска техника","44","76","44","143","143","141"
"2023","1","102007","Професионална техническа гимназия","2243","Машини и системи с цифрово програмно управление (ЦПУ)","54","54","95","276","173","276"
"2023","1","104101","Профилирана гимназия ""Яне Сандански""","2461","Математически - М-Инф.-ИИЧЕ-АЕ","72.5","233.5","72.5","482","399","482"
"2023","1","104101","Профилирана гимназия ""Яне Сандански""","3002","Предприемачески - Предприемачество-ИТ-ИИЧЕ-АЕ","86","86","92","285","167","285"
"2023","1","104101","Профилирана гимназия ""Яне Сандански""","2477","Софтуерни и хардуерни науки - Инф.-ИТ-ИИЧЕ-АЕ","130","130","144","342","342","283"
"2023","1","104101","Профилирана гимназия ""Яне Сандански""","2484","Чужди езици - АЕ-ИспЕ-ИИЧЕ-АЕ","222.5","222.5","228","419.25","328.75","419.25"
"2023","1","104101","Профилирана гимназия ""Яне Сандански""","2487","Чужди езици - АЕ-НЕ-ИИЧЕ-АЕ","176.25","176.25","196","399.25","399.25","394.75"
"2023","2","102013","Земеделска професионална гимназия ""Климент Аркадиевич Тимирязев""","2268","Професия ""Изпълнител на термални процедури"" - специалност ""Извършване на термални процедури в балнеологични и други възстановителни центрове "" с разширено изучаване на АЕ","200.5","200.5","204","219.5","219.5","217.5"
"2023","2","102013","Земеделска професионална гимназия ""Климент Аркадиевич Тимирязев""","4173","Професия ""Монтьор на селскостопанска техника"" - специалност ""Механизация на селското стопанство""","155","155","179","216.5","216.5","193.5"
"2023","2","102013","Земеделска професионална гимназия ""Климент Аркадиевич Тимирязев""","2248","Професия ""Организатор Интернет приложения"" - специалност ""Електронна търговия"" с интензивно изучаване на АЕ","0","0","0","0","0","0"
"2023","2","102013","Земеделска професионална гимназия ""Климент Аркадиевич Тимирязев""","2271","Професия ""Организатор на туристическа агентска дейност"" - специалност ""Организация на туризма и свободното време"" с интензивно изучаване на АЕ","304.5","304.5","0","324","324","0"
"2023","2","102013","Земеделска професионална гимназия ""Климент Аркадиевич Тимирязев""","3259","Професия ""Спедитор-логистик"" - специалност ""Спедиция,транспортна и складова логистика"" с разширено изучаване на АЕ","252","261","252","282","282","252"
"2023","2","102013","Земеделска професионална гимназия ""Климент Аркадиевич Тимирязев""","2251","Професия ""Техник-технолог по качеството на храни и напитки"" -специалност ""Контрол по качеството и безопасност на храни и напитки""","220","225","220","294.5","294.5","220"
"2023","2","102007","Професионална техническа гимназия","3820","Електродомакинска техника","143","143","0","143","143","0"
"2023","2","102007","Професионална техническа гимназия","2243","Машини и системи с цифрово програмно управление (ЦПУ)","0","0","0","0","0","0"
"2023","2","104101","Профилирана гимназия ""Яне Сандански""","2461","Математически - М-Инф.-ИИЧЕ-АЕ","255.75","255.75","0","255.75","255.75","0"
"2023","2","104101","Профилирана гимназия ""Яне Сандански""","3002","Предприемачески - Предприемачество-ИТ-ИИЧЕ-АЕ","84","84","95","148","143","148"
"2023","2","104101","Профилирана гимназия ""Яне Сандански""","2477","Софтуерни и хардуерни науки - Инф.-ИТ-ИИЧЕ-АЕ","124","124","196","261.5","261.5","196"
"2023","2","104101","Профилирана гимназия ""Яне Сандански""","2484","Чужди езици - АЕ-ИспЕ-ИИЧЕ-АЕ","222.5","222.5","325.5","325.5","222.5","325.5"
"2023","2","104101","Профилирана гимназия ""Яне Сандански""","2487","Чужди езици - АЕ-НЕ-ИИЧЕ-АЕ","179.5","179.5","0","179.5","179.5","0"
"2023","3","102013","Земеделска професионална гимназия ""Климент Аркадиевич Тимирязев""","2268","Професия ""Изпълнител на термални процедури"" - специалност ""Извършване на термални процедури в балнеологични и други възстановителни центрове "" с разширено изучаване на АЕ","0","0","0","0","0","0"
"2023","3","102013","Земеделска професионална гимназия ""Климент Аркадиевич Тимирязев""","4173","Професия ""Монтьор на селскостопанска техника"" - специалност ""Механизация на селското стопанство""","0","0","0","0","0","0"
"2023","3","102013","Земеделска професионална гимназия ""Климент Аркадиевич Тимирязев""","2248","Професия ""Организатор Интернет приложения"" - специалност ""Електронна търговия"" с интензивно изучаване на АЕ","0","0","0","0","0","0"
"2023","3","102013","Земеделска професионална гимназия ""Климент Аркадиевич Тимирязев""","2271","Професия ""Организатор на туристическа агентска дейност"" - специалност ""Организация на туризма и свободното време"" с интензивно изучаване на АЕ","0","0","0","0","0","0"
"2023","3","102013","Земеделска професионална гимназия ""Климент Аркадиевич Тимирязев""","3259","Професия ""Спедитор-логистик"" - специалност ""Спедиция,транспортна и складова логистика"" с разширено изучаване на АЕ","0","0","0","0","0","0"
"2023","3","102013","Земеделска професионална гимназия ""Климент Аркадиевич Тимирязев""","2251","Професия ""Техник-технолог по качеството на храни и напитки"" -специалност ""Контрол по качеството и безопасност на храни и напитки""","0","0","0","0","0","0"
"2023","3","102007","Професионална техническа гимназия","3820","Електродомакинска техника","109","109","135","210","210","207.5"
"2023","3","102007","Професионална техническа гимназия","2243","Машини и системи с цифрово програмно управление (ЦПУ)","66","66","121","196","155","196"
"2023","3","104101","Профилирана гимназия ""Яне Сандански""","2461","Математически - М-Инф.-ИИЧЕ-АЕ","162.25","197.25","162.25","208.75","208.75","183"
"2023","3","104101","Профилирана гимназия ""Яне Сандански""","3002","Предприемачески - Предприемачество-ИТ-ИИЧЕ-АЕ","0","0","0","0","0","0"
"2023","3","104101","Профилирана гимназия ""Яне Сандански""","2477","Софтуерни и хардуерни науки - Инф.-ИТ-ИИЧЕ-АЕ","0","0","0","0","0","0"
"2023","3","104101","Профилирана гимназия ""Яне Сандански""","2484","Чужди езици - АЕ-ИспЕ-ИИЧЕ-АЕ","0","0","0","0","0","0"
"2023","3","104101","Профилирана гимназия ""Яне Сандански""","2487","Чужди езици - АЕ-НЕ-ИИЧЕ-АЕ","0","0","0","0","0","0"
