"year","klasirane","school_code","school_name","profile_code","profile_name","min_score_total","min_score_male","min_score_female","max_score_total","max_score_male","max_score_female"
"2024","1","1302993","Професионална гимназия по механизация на земеделското стопанство","3668","Икономист","88","0","88","226","0","226"
"2024","1","1302993","Професионална гимназия по механизация на земеделското стопанство","2597","Техник на селскостопанска техника- механизация на селското стопанство","30","30","0","247","247","0"
"2024","1","1302993","Професионална гимназия по механизация на земеделското стопанство","3667","Техник- озеленител","88","0","88","207","0","207"
"2024","1","1301788","Средно училище ""Христо Ботев""","3795","Природни науки с разширено изучаване на английски език","182","183.5","182","342","342","317"
"2024","1","1303889","Средно училище ""Христо Смирненски""","3410","""Хуманитарни науки""","30","30","138","205","205","205"
"2024","2","1302993","Професионална гимназия по механизация на земеделското стопанство","3668","Икономист","0","0","0","0","0","0"
"2024","2","1302993","Професионална гимназия по механизация на земеделското стопанство","2597","Техник на селскостопанска техника- механизация на селското стопанство","0","0","0","0","0","0"
"2024","2","1302993","Професионална гимназия по механизация на земеделското стопанство","3667","Техник- озеленител","0","0","0","0","0","0"
"2024","2","1301788","Средно училище ""Христо Ботев""","3795","Природни науки с разширено изучаване на английски език","181","185","181","262.5","185","262.5"
"2024","2","1303889","Средно училище ""Христо Смирненски""","3410","""Хуманитарни науки""","0","0","0","0","0","0"
"2024","3","1302993","Професионална гимназия по механизация на земеделското стопанство","3668","Икономист","0","0","0","0","0","0"
"2024","3","1302993","Професионална гимназия по механизация на земеделското стопанство","2597","Техник на селскостопанска техника- механизация на селското стопанство","107","107","0","134","134","0"
"2024","3","1302993","Професионална гимназия по механизация на земеделското стопанство","3667","Техник- озеленител","192","192","0","192","192","0"
"2024","3","1301788","Средно училище ""Христо Ботев""","3795","Природни науки с разширено изучаване на английски език","185","185","0","185","185","0"
"2024","3","1303889","Средно училище ""Христо Смирненски""","3410","""Хуманитарни науки""","30","110","30","110","110","30"
"2024","4","1302993","Професионална гимназия по механизация на земеделското стопанство","3668","Икономист","0","0","0","0","0","0"
"2024","4","1302993","Професионална гимназия по механизация на земеделското стопанство","2597","Техник на селскостопанска техника- механизация на селското стопанство","0","0","0","0","0","0"
"2024","4","1302993","Професионална гимназия по механизация на земеделското стопанство","3667","Техник- озеленител","0","0","0","0","0","0"
"2024","4","1301788","Средно училище ""Христо Ботев""","3795","Природни науки с разширено изучаване на английски език","0","0","0","0","0","0"
"2024","4","1303889","Средно училище ""Христо Смирненски""","3410","""Хуманитарни науки""","0","0","0","0","0","0"
