"year","klasirane","school_code","school_name","profile_code","profile_name","min_score_total","min_score_male","min_score_female","max_score_total","max_score_male","max_score_female"
"2024","1","700318","Средно училище ""Васил Левски""","1345","Математика с АЕ","249.5","249.5","250","411.5","411.5","374"
"2024","1","700318","Средно училище ""Васил Левски""","3985","Математика с НЕ","181","212","181","454","446.5","454"
"2024","1","700318","Средно училище ""Васил Левски""","1357","Предприемачески","130","130","155","289","260","289"
"2024","1","700318","Средно училище ""Васил Левски""","3992","Природни науки с АЕ","303","307.5","303","469.5","402.5","469.5"
"2024","1","700318","Средно училище ""Васил Левски""","1348","Природни науки с НЕ","304.5","320.5","304.5","451","383","451"
"2024","1","700323","Професионална гимназия по механоелектротехника ""Ген.Иван Бъчваров""","2142","Електротехник","142","142","161","326.5","326.5","224"
"2024","1","700323","Професионална гимназия по механоелектротехника ""Ген.Иван Бъчваров""","2129","Машинен техник - дуална система на обучение","93","104","93","284.5","284.5","194.5"
"2024","1","700323","Професионална гимназия по механоелектротехника ""Ген.Иван Бъчваров""","2157","Техник на електронна техника","80","88","80","292","292","202.5"
"2024","1","700323","Професионална гимназия по механоелектротехника ""Ген.Иван Бъчваров""","2172","Техник на компютърни системи","237.5","240","237.5","412","406","412"
"2024","1","700330","Професионална гимназия ""Марин Попов""","1613","Механизация на селското стопанство","75","75","125","262.5","262.5","156"
"2024","1","700330","Професионална гимназия ""Марин Попов""","3370","Спедиция, транспортна и складова логистика","77","77","115","304.5","304.5","225"
"2024","2","700318","Средно училище ""Васил Левски""","1345","Математика с АЕ","244.5","244.5","0","295.5","295.5","0"
"2024","2","700318","Средно училище ""Васил Левски""","3985","Математика с НЕ","181","212","181","212","212","181"
"2024","2","700318","Средно училище ""Васил Левски""","1357","Предприемачески","179","197","179","269","260","269"
"2024","2","700318","Средно училище ""Васил Левски""","3992","Природни науки с АЕ","316.5","0","316.5","316.5","0","316.5"
"2024","2","700318","Средно училище ""Васил Левски""","1348","Природни науки с НЕ","277","0","277","277","0","277"
"2024","2","700323","Професионална гимназия по механоелектротехника ""Ген.Иван Бъчваров""","2142","Електротехник","186","202","186","212.5","202","212.5"
"2024","2","700323","Професионална гимназия по механоелектротехника ""Ген.Иван Бъчваров""","2129","Машинен техник - дуална система на обучение","192.5","192.5","194.5","194.5","192.5","194.5"
"2024","2","700323","Професионална гимназия по механоелектротехника ""Ген.Иван Бъчваров""","2157","Техник на електронна техника","138.5","138.5","0","165","165","0"
"2024","2","700323","Професионална гимназия по механоелектротехника ""Ген.Иван Бъчваров""","2172","Техник на компютърни системи","223","223","250.5","250.5","231","250.5"
"2024","2","700330","Професионална гимназия ""Марин Попов""","1613","Механизация на селското стопанство","0","0","0","0","0","0"
"2024","2","700330","Професионална гимназия ""Марин Попов""","3370","Спедиция, транспортна и складова логистика","0","0","0","0","0","0"
"2024","3","700318","Средно училище ""Васил Левски""","1345","Математика с АЕ","212.5","260","212.5","260","260","212.5"
"2024","3","700318","Средно училище ""Васил Левски""","3985","Математика с НЕ","250.5","0","250.5","250.5","0","250.5"
"2024","3","700318","Средно училище ""Васил Левски""","1357","Предприемачески","145","0","145","154.5","0","154.5"
"2024","3","700318","Средно училище ""Васил Левски""","3992","Природни науки с АЕ","0","0","0","0","0","0"
"2024","3","700318","Средно училище ""Васил Левски""","1348","Природни науки с НЕ","0","0","0","0","0","0"
"2024","3","700323","Професионална гимназия по механоелектротехника ""Ген.Иван Бъчваров""","2142","Електротехник","169","169","179","292","292","179"
"2024","3","700323","Професионална гимназия по механоелектротехника ""Ген.Иван Бъчваров""","2129","Машинен техник - дуална система на обучение","0","0","0","0","0","0"
"2024","3","700323","Професионална гимназия по механоелектротехника ""Ген.Иван Бъчваров""","2157","Техник на електронна техника","0","0","0","0","0","0"
"2024","3","700323","Професионална гимназия по механоелектротехника ""Ген.Иван Бъчваров""","2172","Техник на компютърни системи","213","0","213","213","0","213"
"2024","3","700330","Професионална гимназия ""Марин Попов""","1613","Механизация на селското стопанство","126","126","0","126","126","0"
"2024","3","700330","Професионална гимназия ""Марин Попов""","3370","Спедиция, транспортна и складова логистика","0","0","0","0","0","0"
"2024","4","700330","Професионална гимназия ""Марин Попов""","1613","Механизация на селското стопанство","0","0","0","0","0","0"
"2024","4","700330","Професионална гимназия ""Марин Попов""","3370","Спедиция, транспортна и складова логистика","0","0","0","0","0","0"
"2024","4","700323","Професионална гимназия по механоелектротехника ""Ген.Иван Бъчваров""","2142","Електротехник","0","0","0","0","0","0"
"2024","4","700323","Професионална гимназия по механоелектротехника ""Ген.Иван Бъчваров""","2129","Машинен техник - дуална система на обучение","92","92","0","92","92","0"
"2024","4","700323","Професионална гимназия по механоелектротехника ""Ген.Иван Бъчваров""","2157","Техник на електронна техника","0","0","0","0","0","0"
"2024","4","700323","Професионална гимназия по механоелектротехника ""Ген.Иван Бъчваров""","2172","Техник на компютърни системи","0","0","0","0","0","0"
"2024","4","700318","Средно училище ""Васил Левски""","1345","Математика с АЕ","0","0","0","0","0","0"
"2024","4","700318","Средно училище ""Васил Левски""","3985","Математика с НЕ","0","0","0","0","0","0"
"2024","4","700318","Средно училище ""Васил Левски""","1357","Предприемачески","0","0","0","0","0","0"
"2024","4","700318","Средно училище ""Васил Левски""","3992","Природни науки с АЕ","0","0","0","0","0","0"
"2024","4","700318","Средно училище ""Васил Левски""","1348","Природни науки с НЕ","0","0","0","0","0","0"
