"year","klasirane","school_code","school_name","profile_code","profile_name","min_score_total","min_score_male","min_score_female","max_score_total","max_score_male","max_score_female"
"2024","1","2700221","Профилирана природоматематическа гимназия ""Нанчо Попович""","1641","Природни науки/ Английски език, биология и здравно образование, химия и опазване на околната","396","399","396","472","417.5","472"
"2024","1","2700221","Профилирана природоматематическа гимназия ""Нанчо Попович""","1636","Математически/ Математика, информатика, английски език","378","386.5","378","495","474","495"
"2024","1","2700197","Средно училище ""Сава Доброплодни""","0696","Софтуерни и хардуерни науки/ Информатика, информационни технологии","340","340","346.5","468.5","463","468.5"
"2024","1","2700221","Профилирана природоматематическа гимназия ""Нанчо Попович""","1630","Софтуерни и хардуерни науки/ Информатика, информационни технологии, английски език","323","330","323","468","452","468"
"2024","1","2700197","Средно училище ""Сава Доброплодни""","0913","Изобразително изкуство/ Изобразително изкуство, английски език","316","338","316","437.3","346.25","437.3"
"2024","1","2700197","Средно училище ""Сава Доброплодни""","0919","Музика/ Музика, английски език","312.5","332","312.5","459.5","450","459.5"
"2024","1","2700221","Профилирана природоматематическа гимназия ""Нанчо Попович""","1651","Икономическо развитие/ География и икономика, математика, английски език","309.5","310","309.5","417","376","417"
"2024","1","2700083","Профилирана езикова гимназия ""Никола Йонков Вапцаров""","1420","Чужди езици/ Английски език, немски език","308","308","312","431.5","402","431.5"
"2024","1","2700221","Профилирана природоматематическа гимназия ""Нанчо Попович""","1644","Природни науки/ Немски език, биология и здравно образование, химия и опазване на околната","306","306","312.5","493","416.5","493"
"2024","1","2700076","Средно училище ""Панайот Волов""","1485","Графичен дизайнер/ Графичен дизайн","301.5","303.5","301.5","446","407.5","446"
"2024","1","2700182","Средно училище ""Йоан Екзарх Български""","0625","Хуманитарни науки/ Български език и литература, история и цивилизации, английски език, чужд (испански/руски) език","297","310.3","297","425.5","413.5","425.5"
"2024","1","2700197","Средно училище ""Сава Доброплодни""","0927","Танцьор/ Български танци","276.3","276.8","276.3","432.8","319.25","432.8"
"2024","1","2700076","Средно училище ""Панайот Волов""","1490","Компютърен график/ Компютърна графика","264","282.5","264","367.5","291.5","367.5"
"2024","1","2700076","Средно училище ""Панайот Волов""","1448","Софтуерни и хардуерни науки/ Информационни технологии, информатика, английски език","263","263","265","428","382.5","428"
"2024","1","2700083","Профилирана езикова гимназия ""Никола Йонков Вапцаров""","1428","Чужди езици/ Английски език, руски език","234","235","234","455","376","455"
"2024","1","2700182","Средно училище ""Йоан Екзарх Български""","0623","Хуманитарни науки/ Български език и литература, история и цивилизации, английски език, информационни технологии","224","224","227.3","375","305.5","375"
"2024","1","2700083","Профилирана езикова гимназия ""Никола Йонков Вапцаров""","1782","Софтуерни и хардуерни науки/ Информатика, информационни технологии, английски език","222.5","222.5","229","396.5","396.5","311"
"2024","1","2707033","ПГ по механотехника електроника телекомуникации и транспорт ""Христо Ботев""","4692","Мехатроника / Мехатроника","188","188","0","268","268","0"
"2024","1","2700011","Професионална гимназия по икономика","1369","Финансист/ Банково дело","176.5","183","176.5","337.3","262.5","337.3"
"2024","1","2700011","Професионална гимназия по икономика","1374","Икономист/ Икономика и мениджмънт","172.5","172.5","198.3","393.8","269","393.8"
"2024","1","2700182","Средно училище ""Йоан Екзарх Български""","4320","Предприемачески/ Предприемачество, информационни технологии","167.5","167.5","179","396.5","308.5","396.5"
"2024","1","2700083","Профилирана езикова гимназия ""Никола Йонков Вапцаров""","1432","Чужди езици/ Немски език, английски език","165","165","172","429","396","429"
"2024","1","2700011","Професионална гимназия по икономика","4671","Дизайнер/Рекламна графика","165","165","166","360.5","290.5","360.5"
"2024","1","2700006","Професионална гимназия по строителство архитектура и геодезия","1395","Строителен техник/ Строителство и архитектура","157","157","216","295","291.5","295"
"2024","1","2707033","ПГ по механотехника електроника телекомуникации и транспорт ""Христо Ботев""","1017","Техник на компютърни системи/ Компютърна техника и технологии","154","154","0","262","262","0"
"2024","1","2700011","Професионална гимназия по икономика","1379","Организатор Интернет приложения/ Електронна търговия","131","141.3","131","391.5","391.5","194.5"
"2024","1","2707033","ПГ по механотехника електроника телекомуникации и транспорт ""Христо Ботев""","1071","Техник по транспортна техника/ Автомобилна мехатроника","121","121","206","267.5","267.5","206"
