"year","klasirane","school_code","school_name","profile_code","profile_name","min_score_total","min_score_male","min_score_female","max_score_total","max_score_male","max_score_female"
"2024","1","2000118","Професионална гимназия по електротехника и електроника ""Мария Склодовска-Кюри""","0312","Електрообзавеждане на транспортна техника","161","161","0","312","312","0"
"2024","1","2000118","Професионална гимназия по електротехника и електроника ""Мария Склодовска-Кюри""","0307","Компютърна техника и технологии с разш. изучаване на АЕ","122","122","147","261","226","261"
"2024","1","2000118","Професионална гимназия по електротехника и електроника ""Мария Склодовска-Кюри""","3835","Охранителна техника и системи за сигурност с разш. изучаване на АЕ","107","107","159","240","155","240"
"2024","1","2000119","Професионална гимназия по икономика ""Професор доктор Димитър Табаков""","0048","Банково дело с разширено изучаване на английски език","216.5","216.5","225","394.5","272.5","394.5"
"2024","1","2000119","Професионална гимназия по икономика ""Професор доктор Димитър Табаков""","0058","Електронна търговия с разш. изучаване на английски език","252","252","261","397.5","397.5","394"
"2024","1","2000119","Професионална гимназия по икономика ""Професор доктор Димитър Табаков""","0052","Икономическа информатика с разш. изучаване на английски език","229.5","229.5","277.5","484","484","412"
"2024","1","2000119","Професионална гимназия по икономика ""Професор доктор Димитър Табаков""","0054","Митническа и данъчна администрация с разш. изучаване на английски език","238","251","238","344.5","344.5","316"
"2024","1","2000119","Професионална гимназия по икономика ""Професор доктор Димитър Табаков""","0050","Оперативно счетоводство с разш. изучаване на английски език","201","202","201","366","366","342.5"
"2024","1","2000123","Професионална гимназия по механотехника","1159","Машинен техник - Машини и системи с ЦПУ","46","46","50","102","102","50"
"2024","1","2000123","Професионална гимназия по механотехника","1141","Техник по подемно- транспортна техника - Подемно-транспортна техника, монтирана на пътни транспортни средства","30","30","30","156","156","30"
"2024","1","2000123","Професионална гимназия по механотехника","1135","Техник по транспортна техника - Автотранспортна техника","95","95","0","202","202","0"
"2024","1","2000123","Професионална гимназия по механотехника","4300","Техник по транспортна техника - Електрически превозни средства /дуална форма/","30","30","52","187","187","52"
"2024","1","2000123","Професионална гимназия по механотехника","1152","Техник-технолог в дървообработването - Мебелно производство","62","62","84","92","92","84"
"2024","1","2000117","Професионална гимназия по текстил и облекло ""Добри Желязков""","3446","Апретурно и багрилно производство /дуално обучение/","30","0","30","30","0","30"
"2024","1","2000117","Професионална гимназия по текстил и облекло ""Добри Желязков""","4531","Графичен дизайн /дуално обучение/","93","93","104","233","233","187"
"2024","1","2000117","Професионална гимназия по текстил и облекло ""Добри Желязков""","4536","Компютърно проектиране и десениране на плетени площни изделия /дуално обучение/","140","140","146","197.5","186","197.5"
"2024","1","2000117","Професионална гимназия по текстил и облекло ""Добри Желязков""","4324","Компютърно проектиране и десениране на тъкани площни изделия /дуално обучение/","85","103","85","183","158","183"
"2024","1","2000117","Професионална гимназия по текстил и облекло ""Добри Желязков""","1513","Конструиране, моделиране и технология на облекло от текстил","58","126","58","224","142","224"
