"year","klasirane","school_code","school_name","profile_code","profile_name","min_score_total","min_score_male","min_score_female","max_score_total","max_score_male","max_score_female"
"2023","1","2300455","Професионална гимназия по транспорт ""Никола Йонков Вапцаров""","3976","Монтьор на транспортна техника","84","84","94","207","207","123"
"2023","1","2300455","Професионална гимназия по транспорт ""Никола Йонков Вапцаров""","2086","Техник по транспортна техника","103","103","150","265.5","265.5","247"
"2023","1","2306517","Средно училище Св.Св. Кирил и Методий""","1443","Обществени науки","240","248","240","407.5","349","407.5"
"2023","2","2300455","Професионална гимназия по транспорт ""Никола Йонков Вапцаров""","3976","Монтьор на транспортна техника","0","0","0","0","0","0"
"2023","2","2300455","Професионална гимназия по транспорт ""Никола Йонков Вапцаров""","2086","Техник по транспортна техника","103","103","178","195.5","180.5","195.5"
"2023","2","2306517","Средно училище Св.Св. Кирил и Методий""","1443","Обществени науки","237","0","237","237","0","237"
"2023","3","2300455","Професионална гимназия по транспорт ""Никола Йонков Вапцаров""","3976","Монтьор на транспортна техника","94","0","94","152","0","152"
"2023","3","2300455","Професионална гимназия по транспорт ""Никола Йонков Вапцаров""","2086","Техник по транспортна техника","177","177","0","265.5","265.5","0"
"2023","3","2306517","Средно училище Св.Св. Кирил и Методий""","1443","Обществени науки","0","0","0","0","0","0"
"2023","4","2300455","Професионална гимназия по транспорт ""Никола Йонков Вапцаров""","3976","Монтьор на транспортна техника","147","0","147","147","0","147"
"2023","4","2300455","Професионална гимназия по транспорт ""Никола Йонков Вапцаров""","2086","Техник по транспортна техника","0","0","0","0","0","0"
"2023","4","2306517","Средно училище Св.Св. Кирил и Методий""","1443","Обществени науки","0","0","0","0","0","0"
