"year","klasirane","school_code","school_name","profile_code","profile_name","min_score_total","min_score_male","min_score_female","max_score_total","max_score_male","max_score_female"
"2026","1","2103331","Езикова гимназия ""Иван Вазов""","00104","Английски език Испански език","341.5","351.25","341.5","460.25","424","460.25"
"2026","1","2103331","Езикова гимназия ""Иван Вазов""","00102","Английски език Немски език","239.5","239.5","245.75","455.25","335.75","455.25"
"2026","1","2103331","Езикова гимназия ""Иван Вазов""","00105","Немски език Английски език","189","202","189","425.25","425.25","332.25"
"2026","1","2100113","Професионална гимназия по икономика ""Карл Маркс""","29639","Електронна търговия, маркетинг и реклама","282.5","282.5","282.75","413.25","298.5","413.25"
"2026","1","2100113","Професионална гимназия по икономика ""Карл Маркс""","29629","Икономическа информатика","243.5","245.5","243.5","429.5","429.5","413.75"
"2026","1","2100113","Професионална гимназия по икономика ""Карл Маркс""","29641","Мениджмънт и икономика","281.5","281.5","284.25","429","361.25","429"
"2026","1","2100111","Професионална гимназия по техника и технологии ""Христо Ботев""","28213","Автоматизирани системи и технологии в машиностроенето","77.5","77.5","0","141.25","141.25","0"
"2026","1","2100111","Професионална гимназия по техника и технологии ""Христо Ботев""","28209","Автомобилна техника и мехатроника","98.5","98.5","0","281","281","0"
"2026","1","2100111","Професионална гимназия по техника и технологии ""Христо Ботев""","28211","Електроснабдяване и електрообзавеждане","112","112","0","242.5","242.5","0"
"2026","1","2100111","Професионална гимназия по техника и технологии ""Христо Ботев""","28206","Компютърни системи и технологии","107.5","107.5","0","174","174","0"
"2026","1","2103321","Профилирана природо-математическа гимназия ""Васил Левски""","01291","Математически","366","366","378","460","460","460"
"2026","1","2103321","Профилирана природо-математическа гимназия ""Васил Левски""","01293","Природни науки","340.5","421","340.5","461.5","461.5","451"
"2026","1","2103321","Профилирана природо-математическа гимназия ""Васил Левски""","01289","Софтуерни и хардуерни науки","258","258","261","437","427.5","437"
"2026","1","2100115","Смолянска професионална гимназия по туризъм и строителство ""Никола Й. Вапцаров""","29109","Ресторантьорство и кетъринг","30","52","30","359","295.75","359"
"2026","1","2100115","Смолянска професионална гимназия по туризъм и строителство ""Никола Й. Вапцаров""","29111","Строителство и архитектура","30","30","176","308.25","212.75","308.25"
"2026","1","2100103","Средно училище ""Св. Св. Кирил и Методий""","00471","Профил ""Хуманитарни науки""","30","30","96.5","386.5","339.5","386.5"
"2026","2","2103331","Езикова гимназия ""Иван Вазов""","00104","Английски език Испански език","317.5","334.5","317.5","334.5","334.5","319.75"
"2026","2","2103331","Езикова гимназия ""Иван Вазов""","00102","Английски език Немски език","226.5","0","226.5","315.5","0","315.5"
