"year","klasirane","school_code","school_name","profile_code","profile_name","min_score_total","min_score_male","min_score_female","max_score_total","max_score_male","max_score_female"
"2026","1","1601363","Професионална гимназия ""Генерал Владимир Заимов""","28256","Готварство без интензивно и без разширено изучаване на АЕ","221.5","284","221.5","371.5","313","371.5"
"2026","1","1601363","Професионална гимназия ""Генерал Владимир Заимов""","28260","Графичен дизайн с разширено изучаване на АЕ","265","0","265","429.5","0","429.5"
"2026","1","1601363","Професионална гимназия ""Генерал Владимир Заимов""","28262","Електронна търговия, маркетинг и реклама с разширено изучаване на АЕ","277","286","277","376.5","347","376.5"
"2026","1","1601363","Професионална гимназия ""Генерал Владимир Заимов""","28258","Индустриална мехатроника с разширено изучаване на АЕ","171","173","171","397.5","397.5","194"
"2026","1","1601363","Професионална гимназия ""Генерал Владимир Заимов""","28247","Интелигентни системи с разширено изучаване на АЕ","117","119","117","342","306","342"
"2026","1","1601363","Професионална гимназия ""Генерал Владимир Заимов""","28261","Компютърни системи и технологии с разширено изучаване на АЕ","220","220","0","430.5","430.5","0"
"2026","1","1601363","Професионална гимназия ""Генерал Владимир Заимов""","28250","Организиране на туристически пътувания с разширено изучаване на АЕ","208","208","213","313","289.5","313"
"2026","1","1601363","Професионална гимназия ""Генерал Владимир Заимов""","30101","Разработка на софтуер с разширено изучаване на АЕ","123","123","126","249","249","188.5"
"2026","1","1601363","Професионална гимназия ""Генерал Владимир Заимов""","28254","Сладкарство и пекарство без интензивно и без разширено изучаване на АЕ","189","204","189","223","204","223"
"2026","1","1601303","Средно училище ""Иван Вазов""","03842","Софтуерни и хардуерни науки","30","30","61","198","139","198"
"2026","2","1601363","Професионална гимназия ""Генерал Владимир Заимов""","28258","Индустриална мехатроника с разширено изучаване на АЕ","170","170","194","194","170","194"
"2026","2","1601363","Професионална гимназия ""Генерал Владимир Заимов""","28247","Интелигентни системи с разширено изучаване на АЕ","117","119","117","181","181","141"
"2026","2","1601363","Професионална гимназия ""Генерал Владимир Заимов""","28250","Организиране на туристически пътувания с разширено изучаване на АЕ","206","240","206","241","240","241"
"2026","2","1601363","Професионална гимназия ""Генерал Владимир Заимов""","30101","Разработка на софтуер с разширено изучаване на АЕ","128","128","147","150","150","147"
"2026","2","1601363","Професионална гимназия ""Генерал Владимир Заимов""","28254","Сладкарство и пекарство без интензивно и без разширено изучаване на АЕ","188","0","188","214","0","214"
"2026","2","1601303","Средно училище ""Иван Вазов""","03842","Софтуерни и хардуерни науки","97","97","0","139","139","0"
"2026","3","1601303","Средно училище ""Иван Вазов""","03842","Софтуерни и хардуерни науки","79","141","79","143","141","143"
