"year","klasirane","school_code","school_name","profile_code","profile_name","min_score_total","min_score_male","min_score_female","max_score_total","max_score_male","max_score_female"
"2025","1","201106","Професионална гимназия по механизация на селското стопанство и електроника ""Никола Йонков Вапцаров""","1932","Механизация на селското стопанство","30","30","84","208","170","208"
"2025","1","201106","Професионална гимназия по механизация на селското стопанство и електроника ""Никола Йонков Вапцаров""","4788","Механизация на селското стопанство - обучение чрез работа","93","93","0","178.5","178.5","0"
"2025","1","201106","Професионална гимназия по механизация на селското стопанство и електроника ""Никола Йонков Вапцаров""","1912","Промишлена електроника","76","137","76","312","269.5","312"
"2025","1","201104","Средно училище ""Свети Свети Кирил и Методий""","4756","Предприемачески","76","92","76","342","210","342"
"2025","2","201106","Професионална гимназия по механизация на селското стопанство и електроника ""Никола Йонков Вапцаров""","1932","Механизация на селското стопанство","0","0","0","0","0","0"
"2025","2","201106","Професионална гимназия по механизация на селското стопанство и електроника ""Никола Йонков Вапцаров""","4788","Механизация на селското стопанство - обучение чрез работа","0","0","0","0","0","0"
"2025","2","201106","Професионална гимназия по механизация на селското стопанство и електроника ""Никола Йонков Вапцаров""","1912","Промишлена електроника","0","0","0","0","0","0"
"2025","2","201104","Средно училище ""Свети Свети Кирил и Методий""","4756","Предприемачески","210","210","218","218","210","218"
"2025","3","201106","Професионална гимназия по механизация на селското стопанство и електроника ""Никола Йонков Вапцаров""","1932","Механизация на селското стопанство","81","0","81","173","0","173"
"2025","3","201106","Професионална гимназия по механизация на селското стопанство и електроника ""Никола Йонков Вапцаров""","4788","Механизация на селското стопанство - обучение чрез работа","0","0","0","0","0","0"
"2025","3","201106","Професионална гимназия по механизация на селското стопанство и електроника ""Никола Йонков Вапцаров""","1912","Промишлена електроника","0","0","0","0","0","0"
"2025","3","201104","Средно училище ""Свети Свети Кирил и Методий""","4756","Предприемачески","210","210","218","218","210","218"
"2025","4","201106","Професионална гимназия по механизация на селското стопанство и електроника ""Никола Йонков Вапцаров""","1932","Механизация на селското стопанство","0","0","0","0","0","0"
"2025","4","201106","Професионална гимназия по механизация на селското стопанство и електроника ""Никола Йонков Вапцаров""","4788","Механизация на селското стопанство - обучение чрез работа","0","0","0","0","0","0"
"2025","4","201106","Професионална гимназия по механизация на селското стопанство и електроника ""Никола Йонков Вапцаров""","1912","Промишлена електроника","0","0","0","0","0","0"
"2025","4","201104","Средно училище ""Свети Свети Кирил и Методий""","4756","Предприемачески","218","0","218","218","0","218"
