"year","klasirane","school_code","school_name","profile_code","profile_name","min_score_total","min_score_male","min_score_female","max_score_total","max_score_male","max_score_female"
"2024","1","1602904","Обединено училище ""Христо Ботев"" гр. Стамболийски","3695","Помощник в строителството","48","48","0","129","129","0"
"2024","1","1602904","Обединено училище ""Христо Ботев"" гр. Стамболийски","3694","Работник в производството на облекло","54","0","54","176","0","176"
"2024","1","1602907","Средно училище Отец Паисий","1833","Предприемачески","156","156","157","333.5","333.5","318.5"
"2024","2","1602904","Обединено училище ""Христо Ботев"" гр. Стамболийски","3695","Помощник в строителството","92","92","0","104","104","0"
"2024","2","1602904","Обединено училище ""Христо Ботев"" гр. Стамболийски","3694","Работник в производството на облекло","54","0","54","54","0","54"
"2024","2","1602907","Средно училище Отец Паисий","1833","Предприемачески","115","115","138","333.5","333.5","318.5"
"2024","3","1602904","Обединено училище ""Христо Ботев"" гр. Стамболийски","3695","Помощник в строителството","38","48","38","70","70","38"
"2024","3","1602904","Обединено училище ""Христо Ботев"" гр. Стамболийски","3694","Работник в производството на облекло","80","0","80","91","0","91"
"2024","3","1602907","Средно училище Отец Паисий","1833","Предприемачески","104","104","138","138","107","138"
"2024","4","1602904","Обединено училище ""Христо Ботев"" гр. Стамболийски","3695","Помощник в строителството","36","0","36","38","0","38"
