"year","klasirane","school_code","school_name","profile_code","profile_name","min_score_total","min_score_male","min_score_female","max_score_total","max_score_male","max_score_female"
"2024","1","2403264","Гимназия с преподаване на чужди езици ""Ромен Ролан""","1547","Английски език с Немски език","415","415","440.5","490.5","467.5","490.5"
"2024","1","2403264","Гимназия с преподаване на чужди езици ""Ромен Ролан""","1552","Английски език с Френски език","324","324","403","488","424","488"
"2024","1","2403264","Гимназия с преподаване на чужди езици ""Ромен Ролан""","1570","Немски език с Английски език","423.5","423.5","429.5","492","482","492"
"2024","1","2403264","Гимназия с преподаване на чужди езици ""Ромен Ролан""","3552","Софтуерни и хардуерни науки с немски език","310.25","317.25","310.25","427","427","412"
"2024","1","2403264","Гимназия с преподаване на чужди езици ""Ромен Ролан""","1560","Френски език с Английски език","276","276","396.5","476","476","475.5"
"2024","1","2400116","Национална професионална гимназия по ветеринарна медицина ""Иван Павлов""","0161","Ветеринарен лаборант с АЕ","206","206","210","433.25","277","433.25"
"2024","1","2400116","Национална професионална гимназия по ветеринарна медицина ""Иван Павлов""","0160","Ветеринарен техник с АЕ","240.25","252","240.25","418.5","345","418.5"
"2024","1","2400116","Национална професионална гимназия по ветеринарна медицина ""Иван Павлов""","0153","Ветеринарен техник с РИЧЕ АЕ","237.5","237.5","237.5","423.5","423.5","409.5"
"2024","1","2400116","Национална професионална гимназия по ветеринарна медицина ""Иван Павлов""","0166","Контрол на качеството и безопасност на храни и напитки с АЕ","238","243.5","238","341","305.75","341"
"2024","1","2400117","Професионална гимназия по електроника ""Джон Атанасов""","0500","Компютърна техника и технологии","199","206.5","199","320","320","255.5"
"2024","1","2400117","Професионална гимназия по електроника ""Джон Атанасов""","0503","Компютърни мрежи","167","167","169","280.5","262","280.5"
"2024","1","2400117","Професионална гимназия по електроника ""Джон Атанасов""","0480","Приложно програмиране","238","238","252.5","339","339","323"
"2024","1","2400117","Професионална гимназия по електроника ""Джон Атанасов""","0475","Системно програмиране","226","226","228","315.5","315.5","257"
"2024","1","2400112","ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ЕЛЕКТРОТЕХНИКА И ТЕХНОЛОГИИ"" Г. С. РАКОВСКИ""","0075","Възобновяеми енергийни източници","96","97","96","345.25","345.25","233"
"2024","1","2400112","ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ЕЛЕКТРОТЕХНИКА И ТЕХНОЛОГИИ"" Г. С. РАКОВСКИ""","3648","Електрообзавеждане на производството","140","142.75","140","314.75","314.75","195.5"
"2024","1","2400112","ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ЕЛЕКТРОТЕХНИКА И ТЕХНОЛОГИИ"" Г. С. РАКОВСКИ""","0079","Мехатроника","112","112","122","331","331","238.5"
"2024","1","2400020","Професионална гимназия по компютърни науки и математически анализи ""Проф. Минко Балкански""","3818","Компютърна графика","295.25","384.5","295.25","474.75","384.5","474.75"
