"year","klasirane","school_code","school_name","profile_code","profile_name","min_score_total","min_score_male","min_score_female","max_score_total","max_score_male","max_score_female"
"2025","1","300911","Средно училище ""Ангел Каралийчев""","4582","Софтуерни и хардуерни науки","101","0","0","361","0","0"
"2025","1","300911","Средно училище ""Ангел Каралийчев""","4585","Техник-технолог в ХВП","30","0","0","203","0","0"
"2025","1","300912","Професионална гимназия по транспорт ""Васил Друмев""","4049","Автотранспортна техника","52","0","0","195","0","0"
"2025","1","300912","Професионална гимназия по транспорт ""Васил Друмев""","3618","Подемно - транспортна техника монтирана на ПТС","71","0","0","310.5","0","0"
"2025","2","300911","Средно училище ""Ангел Каралийчев""","4582","Софтуерни и хардуерни науки","0","0","0","0","0","0"
"2025","2","300911","Средно училище ""Ангел Каралийчев""","4585","Техник-технолог в ХВП","0","0","0","0","0","0"
"2025","2","300912","Професионална гимназия по транспорт ""Васил Друмев""","4049","Автотранспортна техника","0","0","0","0","0","0"
"2025","2","300912","Професионална гимназия по транспорт ""Васил Друмев""","3618","Подемно - транспортна техника монтирана на ПТС","0","0","0","0","0","0"
"2025","3","300911","Средно училище ""Ангел Каралийчев""","4582","Софтуерни и хардуерни науки","0","0","0","0","0","0"
"2025","3","300911","Средно училище ""Ангел Каралийчев""","4585","Техник-технолог в ХВП","0","0","0","0","0","0"
"2025","3","300912","Професионална гимназия по транспорт ""Васил Друмев""","3618","Подемно - транспортна техника монтирана на ПТС","0","0","0","0","0","0"
"2025","3","300912","Професионална гимназия по транспорт ""Васил Друмев""","4049","Автотранспортна техника","0","0","0","0","0","0"
"2025","4","300911","Средно училище ""Ангел Каралийчев""","4582","Софтуерни и хардуерни науки","0","0","0","0","0","0"
"2025","4","300911","Средно училище ""Ангел Каралийчев""","4585","Техник-технолог в ХВП","99","0","0","99","0","0"
"2025","4","300912","Професионална гимназия по транспорт ""Васил Друмев""","3618","Подемно - транспортна техника монтирана на ПТС","0","0","0","0","0","0"
"2025","4","300912","Професионална гимназия по транспорт ""Васил Друмев""","4049","Автотранспортна техника","0","0","0","0","0","0"
