"year","klasirane","school_code","school_name","profile_code","profile_name","min_score_total","min_score_male","min_score_female","max_score_total","max_score_male","max_score_female"
"2024","1","400166","Професионална гимназия по селско стопанство ""Свети Георги Победоносец""","4406","Ветеринарен техник - БИБРИЧЕ_РЕ","52","52","110","271","180","271"
"2024","1","400166","Професионална гимназия по селско стопанство ""Свети Георги Победоносец""","2505","Пътно-строителна техника - БИБРИЧЕ_РЕ","73","73","0","231.5","231.5","0"
"2024","1","400163","Средно училище ""Никола Йонков Вапцаров""","4649","Логистика на товари и услуги -РИЧЕ-АЕ","30","41","30","285","210","285"
"2024","2","400166","Професионална гимназия по селско стопанство ""Свети Георги Победоносец""","4406","Ветеринарен техник - БИБРИЧЕ_РЕ","0","0","0","0","0","0"
"2024","2","400166","Професионална гимназия по селско стопанство ""Свети Георги Победоносец""","2505","Пътно-строителна техника - БИБРИЧЕ_РЕ","0","0","0","0","0","0"
"2024","2","400163","Средно училище ""Никола Йонков Вапцаров""","4649","Логистика на товари и услуги -РИЧЕ-АЕ","0","0","0","0","0","0"
"2024","3","400166","Професионална гимназия по селско стопанство ""Свети Георги Победоносец""","4406","Ветеринарен техник - БИБРИЧЕ_РЕ","0","0","0","0","0","0"
"2024","3","400166","Професионална гимназия по селско стопанство ""Свети Георги Победоносец""","2505","Пътно-строителна техника - БИБРИЧЕ_РЕ","0","0","0","0","0","0"
"2024","3","400163","Средно училище ""Никола Йонков Вапцаров""","4649","Логистика на товари и услуги -РИЧЕ-АЕ","0","0","0","0","0","0"
"2024","4","400166","Професионална гимназия по селско стопанство ""Свети Георги Победоносец""","4406","Ветеринарен техник - БИБРИЧЕ_РЕ","0","0","0","0","0","0"
"2024","4","400166","Професионална гимназия по селско стопанство ""Свети Георги Победоносец""","2505","Пътно-строителна техника - БИБРИЧЕ_РЕ","0","0","0","0","0","0"
"2024","4","400163","Средно училище ""Никола Йонков Вапцаров""","4649","Логистика на товари и услуги -РИЧЕ-АЕ","0","0","0","0","0","0"
