"year","klasirane","school_code","school_name","profile_code","profile_name","min_score_total","min_score_male","min_score_female","max_score_total","max_score_male","max_score_female"
"2026","1","2605016","Професионална гимназия по селско стопанство и икономика ""Христо Ботев""","28459","Икономическа информатика","177","0","0","405.5","0","0"
"2026","1","2605016","Професионална гимназия по селско стопанство и икономика ""Христо Ботев""","28457","Митническо обслужване","149.5","0","0","453.5","0","0"
"2026","1","2605016","Професионална гимназия по селско стопанство и икономика ""Христо Ботев""","28460","Хотелиерство","291","0","0","417.25","0","0"
"2026","1","2605008","Средно училище ""Д-р Петър Берон""","2696","Икономическо развитие","80","0","0","475.75","0","0"
"2026","1","2605008","Средно училище ""Д-р Петър Берон""","29108","Предприемачески","182.5","0","0","432","0","0"
"2026","1","2605008","Средно училище ""Д-р Петър Берон""","2698","Природни науки","54","0","0","379","0","0"
"2026","2","2605016","Професионална гимназия по селско стопанство и икономика ""Христо Ботев""","28459","Икономическа информатика","175","0","0","175","0","0"
"2026","2","2605016","Професионална гимназия по селско стопанство и икономика ""Христо Ботев""","28457","Митническо обслужване","0","0","0","0","0","0"
"2026","2","2605016","Професионална гимназия по селско стопанство и икономика ""Христо Ботев""","28460","Хотелиерство","0","0","0","0","0","0"
"2026","2","2605008","Средно училище ""Д-р Петър Берон""","02696","Икономическо развитие","0","0","0","0","0","0"
"2026","2","2605008","Средно училище ""Д-р Петър Берон""","29108","Предприемачески","0","0","0","0","0","0"
"2026","2","2605008","Средно училище ""Д-р Петър Берон""","02698","Природни науки","186","0","0","226","0","0"
