"year","klasirane","school_code","school_name","profile_code","profile_name","min_score_total","min_score_male","min_score_female","max_score_total","max_score_male","max_score_female"
"2023","1","300817","Професионална държавна търговска гимназия ""Димитър Хадживасилев""","2150","Електронна търговия","212.5","0","0","312","0","0"
"2023","1","300817","Професионална държавна търговска гимназия ""Димитър Хадживасилев""","2131","Икономическа информатика","178.5","0","0","316","0","0"
"2023","1","300817","Професионална държавна търговска гимназия ""Димитър Хадживасилев""","3238","Организация на туризма и свободното време","65","0","0","355","0","0"
"2023","1","300817","Професионална държавна търговска гимназия ""Димитър Хадживасилев""","3237","Спедитор-логистик","172.5","0","0","281","0","0"
"2023","1","300819","Свищовска професионална гимназия ""Алеко Константинов""","0895","Готвач Производство на кулинарни изделия и напитки","79","0","0","322","0","0"
"2023","1","300819","Свищовска професионална гимназия ""Алеко Константинов""","3989","Електромонтьор, Електрообзавеждане на транспортна техника","63","0","0","355","0","0"
"2023","1","300819","Свищовска професионална гимназия ""Алеко Константинов""","0863","Техник по транспортна техника Автотранспортна техника","93","0","0","292.5","0","0"
"2023","1","300819","Свищовска професионална гимназия ""Алеко Константинов""","0879","Техник-технолог в ХВП","63","0","0","152","0","0"
"2023","1","300816","Средно училище ""Димитър Благоев""","2827","Компютърен график","220","0","0","410.5","0","0"
"2023","1","300816","Средно училище ""Димитър Благоев""","2830","""Софтуерни и хардуерни науки""","147.5","0","0","373.5","0","0"
"2023","1","300815","Средно училище ""Николай Катранов""","2997","Природни науки","213.5","0","0","422.5","0","0"
"2023","1","300815","Средно училище ""Николай Катранов""","2738","Чужди езици - английски език с немски език","302.5","0","0","460","0","0"
"2023","1","300814","Средно училище ""Цветан Радославов""","0609","Профил ""Природни науки""","74","0","0","353.5","0","0"
"2023","2","300814","Средно училище ""Цветан Радославов""","0609","Профил ""Природни науки""","0","0","0","0","0","0"
"2023","2","300815","Средно училище ""Николай Катранов""","2997","Природни науки","172","0","0","237.25","0","0"
"2023","2","300815","Средно училище ""Николай Катранов""","2738","Чужди езици - английски език с немски език","256","0","0","272","0","0"
"2023","2","300816","Средно училище ""Димитър Благоев""","2827","Компютърен график","220","0","0","220","0","0"
"2023","2","300816","Средно училище ""Димитър Благоев""","2830","""Софтуерни и хардуерни науки""","116","0","0","147","0","0"
"2023","2","300817","Професионална държавна търговска гимназия ""Димитър Хадживасилев""","2150","Електронна търговия","0","0","0","0","0","0"
"2023","2","300817","Професионална държавна търговска гимназия ""Димитър Хадживасилев""","2131","Икономическа информатика","0","0","0","0","0","0"
"2023","2","300817","Професионална държавна търговска гимназия ""Димитър Хадживасилев""","3238","Организация на туризма и свободното време","159","0","0","159","0","0"
"2023","2","300817","Професионална държавна търговска гимназия ""Димитър Хадживасилев""","3237","Спедитор-логистик","0","0","0","0","0","0"
"2023","2","300819","Свищовска професионална гимназия ""Алеко Константинов""","0895","Готвач Производство на кулинарни изделия и напитки","0","0","0","0","0","0"
"2023","2","300819","Свищовска професионална гимназия ""Алеко Константинов""","3989","Електромонтьор, Електрообзавеждане на транспортна техника","0","0","0","0","0","0"
"2023","2","300819","Свищовска професионална гимназия ""Алеко Константинов""","0863","Техник по транспортна техника Автотранспортна техника","0","0","0","0","0","0"
"2023","2","300819","Свищовска професионална гимназия ""Алеко Константинов""","0879","Техник-технолог в ХВП","0","0","0","0","0","0"
"2023","3","300814","Средно училище ""Цветан Радославов""","0609","Профил ""Природни науки""","0","0","0","0","0","0"
"2023","3","300815","Средно училище ""Николай Катранов""","2738","Чужди езици - английски език с немски език","0","0","0","0","0","0"
"2023","3","300815","Средно училище ""Николай Катранов""","2997","Природни науки","0","0","0","0","0","0"
"2023","3","300816","Средно училище ""Димитър Благоев""","2827","Компютърен график","0","0","0","0","0","0"
"2023","3","300816","Средно училище ""Димитър Благоев""","2830","""Софтуерни и хардуерни науки""","0","0","0","0","0","0"
"2023","3","300817","Професионална държавна търговска гимназия ""Димитър Хадживасилев""","2131","Икономическа информатика","0","0","0","0","0","0"
"2023","3","300817","Професионална държавна търговска гимназия ""Димитър Хадживасилев""","2150","Електронна търговия","182.5","0","0","251","0","0"
"2023","3","300817","Професионална държавна търговска гимназия ""Димитър Хадживасилев""","3237","Спедитор-логистик","213","0","0","278","0","0"
"2023","3","300817","Професионална държавна търговска гимназия ""Димитър Хадживасилев""","3238","Организация на туризма и свободното време","174","0","0","174","0","0"
"2023","3","300819","Свищовска професионална гимназия ""Алеко Константинов""","0863","Техник по транспортна техника Автотранспортна техника","0","0","0","0","0","0"
"2023","3","300819","Свищовска професионална гимназия ""Алеко Константинов""","0879","Техник-технолог в ХВП","65","0","0","80","0","0"
"2023","3","300819","Свищовска професионална гимназия ""Алеко Константинов""","0895","Готвач Производство на кулинарни изделия и напитки","0","0","0","0","0","0"
"2023","3","300819","Свищовска професионална гимназия ""Алеко Константинов""","3989","Електромонтьор, Електрообзавеждане на транспортна техника","0","0","0","0","0","0"
