"year","klasirane","school_code","school_name","profile_code","profile_name","min_score_total","min_score_male","min_score_female","max_score_total","max_score_male","max_score_female"
"2023","1","2303022","Професионална гимназия ""Велизар Пеев""","1645","Електрически превозни средства","160","160","163","417","417","163"
"2023","1","2303022","Професионална гимназия ""Велизар Пеев""","1705","Икономика и мениджмънт","131","132.5","131","351","132.5","351"
"2023","1","2303022","Професионална гимназия ""Велизар Пеев""","1721","Кетъринг","168","169","168","252.5","236.5","252.5"
"2023","1","2303022","Професионална гимназия ""Велизар Пеев""","1618","Компютърна графика","201","224","201","377","377","364"
"2023","1","2303022","Професионална гимназия ""Велизар Пеев""","1716","Компютърна техника и технологии","179.5","179.5","258","378","378","315.5"
"2023","1","2303022","Професионална гимназия ""Велизар Пеев""","3942","Охранителна техника и системи за сигурност","54","54","173","253","253","173"
"2023","1","2308867","Средно училище ""Иван Вазов""","2076","Чужди езици-Английски език","30","121","30","413","281","413"
"2023","2","2303022","Професионална гимназия ""Велизар Пеев""","1645","Електрически превозни средства","150","150","0","150","150","0"
"2023","2","2303022","Професионална гимназия ""Велизар Пеев""","1705","Икономика и мениджмънт","87","87","0","132.5","132.5","0"
"2023","2","2303022","Професионална гимназия ""Велизар Пеев""","1721","Кетъринг","126","0","126","155","0","155"
"2023","2","2303022","Професионална гимназия ""Велизар Пеев""","1618","Компютърна графика","184","0","184","185","0","185"
"2023","2","2303022","Професионална гимназия ""Велизар Пеев""","1716","Компютърна техника и технологии","0","0","0","0","0","0"
"2023","2","2303022","Професионална гимназия ""Велизар Пеев""","3942","Охранителна техника и системи за сигурност","93","93","0","166","166","0"
"2023","2","2308867","Средно училище ""Иван Вазов""","2076","Чужди езици-Английски език","0","0","0","0","0","0"
"2023","3","2303022","Професионална гимназия ""Велизар Пеев""","1645","Електрически превозни средства","0","0","0","0","0","0"
"2023","3","2303022","Професионална гимназия ""Велизар Пеев""","1705","Икономика и мениджмънт","0","0","0","0","0","0"
"2023","3","2303022","Професионална гимназия ""Велизар Пеев""","1721","Кетъринг","0","0","0","0","0","0"
"2023","3","2303022","Професионална гимназия ""Велизар Пеев""","1618","Компютърна графика","0","0","0","0","0","0"
"2023","3","2303022","Професионална гимназия ""Велизар Пеев""","1716","Компютърна техника и технологии","0","0","0","0","0","0"
"2023","3","2303022","Професионална гимназия ""Велизар Пеев""","3942","Охранителна техника и системи за сигурност","41","41","41","186.5","186.5","129"
"2023","3","2308867","Средно училище ""Иван Вазов""","2076","Чужди езици-Английски език","281","281","0","281","281","0"
"2023","4","2303022","Професионална гимназия ""Велизар Пеев""","1645","Електрически превозни средства","0","0","0","0","0","0"
"2023","4","2303022","Професионална гимназия ""Велизар Пеев""","1705","Икономика и мениджмънт","0","0","0","0","0","0"
"2023","4","2303022","Професионална гимназия ""Велизар Пеев""","1721","Кетъринг","0","0","0","0","0","0"
"2023","4","2303022","Професионална гимназия ""Велизар Пеев""","1618","Компютърна графика","0","0","0","0","0","0"
"2023","4","2303022","Професионална гимназия ""Велизар Пеев""","1716","Компютърна техника и технологии","0","0","0","0","0","0"
"2023","4","2303022","Професионална гимназия ""Велизар Пеев""","3942","Охранителна техника и системи за сигурност","0","0","0","0","0","0"
"2023","4","2308867","Средно училище ""Иван Вазов""","2076","Чужди езици-Английски език","281","281","0","281","281","0"
