"year","klasirane","school_code","school_name","profile_code","profile_name","min_score_total","min_score_male","min_score_female","max_score_total","max_score_male","max_score_female"
"2023","1","800105","ПГТО ""Дочо Михайлов""","0635","Автоматизация на непрекъснати производства","30","0","0","337.5","0","0"
"2023","1","800105","ПГТО ""Дочо Михайлов""","0638","Електрически машини и апарати","0","0","0","0","0","0"
"2023","1","800105","ПГТО ""Дочо Михайлов""","0644","Монтьор на селскостопанска техника","54","0","0","200.5","0","0"
"2023","1","800105","ПГТО ""Дочо Михайлов""","0652","Производство на облекло от текстил","59","0","0","177","0","0"
"2023","1","800094","СУ "" Йордан Йовков ""","1003","Софтуерни и хардуерни науки","90","0","0","350","0","0"
"2023","2","800105","ПГТО ""Дочо Михайлов""","0635","Автоматизация на непрекъснати производства","0","0","0","0","0","0"
"2023","2","800105","ПГТО ""Дочо Михайлов""","0638","Електрически машини и апарати","0","0","0","0","0","0"
"2023","2","800105","ПГТО ""Дочо Михайлов""","0644","Монтьор на селскостопанска техника","0","0","0","0","0","0"
"2023","2","800105","ПГТО ""Дочо Михайлов""","0652","Производство на облекло от текстил","0","0","0","0","0","0"
"2023","2","800094","СУ "" Йордан Йовков ""","1003","Софтуерни и хардуерни науки","0","0","0","0","0","0"
"2023","3","800105","ПГТО ""Дочо Михайлов""","0635","Автоматизация на непрекъснати производства","0","0","0","0","0","0"
"2023","3","800105","ПГТО ""Дочо Михайлов""","0638","Електрически машини и апарати","0","0","0","0","0","0"
"2023","3","800105","ПГТО ""Дочо Михайлов""","0644","Монтьор на селскостопанска техника","84","0","0","92","0","0"
"2023","3","800105","ПГТО ""Дочо Михайлов""","0652","Производство на облекло от текстил","89","0","0","91","0","0"
"2023","3","800094","СУ "" Йордан Йовков ""","1003","Софтуерни и хардуерни науки","0","0","0","0","0","0"
"2023","4","800105","ПГТО ""Дочо Михайлов""","0635","Автоматизация на непрекъснати производства","0","0","0","0","0","0"
"2023","4","800105","ПГТО ""Дочо Михайлов""","0638","Електрически машини и апарати","0","0","0","0","0","0"
"2023","4","800105","ПГТО ""Дочо Михайлов""","0644","Монтьор на селскостопанска техника","125","0","0","25","0","0"
"2023","4","800105","ПГТО ""Дочо Михайлов""","0652","Производство на облекло от текстил","0","0","0","0","0","0"
"2023","4","800094","СУ "" Йордан Йовков ""","1003","Софтуерни и хардуерни науки","0","0","0","0","0","0"
