"year","klasirane","school_code","school_name","profile_code","profile_name","min_score_total","min_score_male","min_score_female","max_score_total","max_score_male","max_score_female"
"2024","1","1100509","Средно училище ""Георги Бенковски""","3706","Икономическа информатика","74","0","0","247","0","0"
"2024","1","1100509","Средно училище ""Георги Бенковски""","0393","Организация на хотелиерството","59","0","0","201","0","0"
"2024","1","1100509","Средно училище ""Георги Бенковски""","0395","Софтуерни и хардуерни науки","147","0","0","405.5","0","0"
"2024","1","1100511","Национална професионална гимназия по горско стопанство и дървообработване ""Сава Младенов""","0589","Горско и ловно стопанство","184","0","0","400","0","0"
"2024","1","1100511","Национална професионална гимназия по горско стопанство и дървообработване ""Сава Младенов""","0934","Горско стопанство и дърводобив (дуална система на обучение)","149","0","0","264","0","0"
"2024","1","1100511","Национална професионална гимназия по горско стопанство и дървообработване ""Сава Младенов""","0984","Мебелно производство (дуална система на обучение)","234","0","0","415","0","0"
"2024","1","1100511","Национална професионална гимназия по горско стопанство и дървообработване ""Сава Младенов""","0974","Механизация на горското стопанство","150","0","0","311","0","0"
"2024","1","1100514","Професионална гимназия по строителство електротехника и услуги","0611","Автотранспортна техника","75.5","0","0","212","0","0"
"2024","1","1100514","Професионална гимназия по строителство електротехника и услуги","0618","Вътрешни облицовки и настилки","30","0","0","177","0","0"
"2024","1","1100514","Професионална гимназия по строителство електротехника и услуги","4508","Производство на облекло от текстил (дуална система на обучение)","139","0","0","147","0","0"
"2024","1","1100514","Професионална гимназия по строителство електротехника и услуги","4506","Спедиция, транспортна и складова логистика (дуална система на обучение)","30","0","0","181","0","0"
"2024","2","1100511","Национална професионална гимназия по горско стопанство и дървообработване ""Сава Младенов""","0589","Горско и ловно стопанство","154","0","0","174.5","0","0"
"2024","2","1100511","Национална професионална гимназия по горско стопанство и дървообработване ""Сава Младенов""","0934","Горско стопанство и дърводобив (дуална система на обучение)","125","0","0","149","0","0"
"2024","2","1100511","Национална професионална гимназия по горско стопанство и дървообработване ""Сава Младенов""","0984","Мебелно производство (дуална система на обучение)","198","0","0","211","0","0"
"2024","2","1100511","Национална професионална гимназия по горско стопанство и дървообработване ""Сава Младенов""","0974","Механизация на горското стопанство","149","0","0","168","0","0"
"2024","3","1100509","Средно училище ""Георги Бенковски""","3706","Икономическа информатика","81","0","0","107","0","0"
"2024","3","1100509","Средно училище ""Георги Бенковски""","0393","Организация на хотелиерството","142","0","0","142","0","0"
"2024","3","1100509","Средно училище ""Георги Бенковски""","0395","Софтуерни и хардуерни науки","153","0","0","153","0","0"
"2024","3","1100514","Професионална гимназия по строителство електротехника и услуги","4506","Спедиция, транспортна и складова логистика (дуална система на обучение)","111.5","0","0","147","0","0"
"2024","3","1100514","Професионална гимназия по строителство електротехника и услуги","0611","Автотранспортна техника","125","0","0","125","0","0"
"2024","4","1100514","Професионална гимназия по строителство електротехника и услуги","0618","Вътрешни облицовки и настилки","171","0","0","171","0","0"
