"year","klasirane","school_code","school_name","profile_code","profile_name","min_score_total","min_score_male","min_score_female","max_score_total","max_score_male","max_score_female"
"2025","1","1100612","Средно училище ""Васил Левски""","0368","Организация на хотелиерството","127","0","0","278.5","0","0"
"2025","1","1100612","Средно училище ""Васил Левски""","4892","Организация на хотелиерството (дуална система на обучение)","97","0","0","239","0","0"
"2025","1","1100612","Средно училище ""Васил Левски""","0366","Софтуерни и хардуерни науки","194","0","0","411","0","0"
"2025","1","1100612","Средно училище ""Васил Левски""","0364","Чужди езици","285","0","0","442.5","0","0"
"2025","1","1100613","Средно училище ""Свети Климент Охридски""","0578","Икономическа информатика","131","0","0","376.5","0","0"
"2025","1","1100613","Средно училище ""Свети Климент Охридски""","0572","Математически","195","0","0","425","0","0"
"2025","1","1100616","Професионална гимназия по механоелектротехника ""Академик Ангел Балевски""","1085","Автотранспортна техника","64","0","0","282","0","0"
"2025","1","1100616","Професионална гимназия по механоелектротехника ""Академик Ангел Балевски""","3781","Спедиция, транспортна и складова логистика","69","0","0","198","0","0"
"2025","2","1100612","Средно училище ""Васил Левски""","4892","Организация на хотелиерството (дуална система на обучение)","198","0","0","198","0","0"
"2025","2","1100612","Средно училище ""Васил Левски""","0366","Софтуерни и хардуерни науки","150.5","0","0","210","0","0"
"2025","2","1100612","Средно училище ""Васил Левски""","0364","Чужди езици","209","0","0","247.5","0","0"
"2025","2","1100613","Средно училище ""Свети Климент Охридски""","0572","Математически","251","0","0","251","0","0"
"2025","3","1100612","Средно училище ""Васил Левски""","0368","Организация на хотелиерството","129","0","0","216","0","0"
"2025","3","1100616","Професионална гимназия по механоелектротехника ""Академик Ангел Балевски""","3781","Спедиция, транспортна и складова логистика","30","0","0","142","0","0"
