"year","klasirane","school_code","school_name","profile_code","profile_name","min_score_total","min_score_male","min_score_female","max_score_total","max_score_male","max_score_female"
"2023","1","2501694","Второ средно училище ""Професор Никола Маринов""","3899","Изобразително изкуство","362","404.25","362","464.5","464.5","445.5"
"2023","2","2501694","Второ средно училище ""Професор Никола Маринов""","3899","Изобразително изкуство","0","0","0","0","0","0"
"2023","3","2501694","Второ средно училище ""Професор Никола Маринов""","3899","Изобразително изкуство","0","0","0","0","0","0"
"2023","4","2501694","Второ средно училище ""Професор Никола Маринов""","3899","Изобразително изкуство","0","0","0","0","0","0"
"2023","1","2501694","Второ средно училище ""Професор Никола Маринов""","4138","Музика","334.5","334.5","335","452","334.5","452"
"2023","2","2501694","Второ средно училище ""Професор Никола Маринов""","4138","Музика","334.5","334.5","352.25","352.25","334.5","352.25"
"2023","3","2501694","Второ средно училище ""Професор Никола Маринов""","4138","Музика","0","0","0","0","0","0"
"2023","4","2501694","Второ средно училище ""Професор Никола Маринов""","4138","Музика","0","0","0","0","0","0"
"2023","1","2501694","Второ средно училище ""Професор Никола Маринов""","1063","Природни науки","217","217","222","431.5","357.5","431.5"
"2023","2","2501694","Второ средно училище ""Професор Никола Маринов""","1063","Природни науки","203.5","280.5","203.5","290.5","280.5","290.5"
"2023","3","2501694","Второ средно училище ""Професор Никола Маринов""","1063","Природни науки","0","0","0","0","0","0"
"2023","4","2501694","Второ средно училище ""Професор Никола Маринов""","1063","Природни науки","304","304","0","304","304","0"
"2023","1","2501694","Второ средно училище ""Професор Никола Маринов""","4125","Хуманитарни науки","237.75","240","237.75","485.25","309.75","485.25"
"2023","2","2501694","Второ средно училище ""Професор Никола Маринов""","4125","Хуманитарни науки","240","240","278","332.75","240","332.75"
"2023","3","2501694","Второ средно училище ""Професор Никола Маринов""","4125","Хуманитарни науки","0","0","0","0","0","0"
"2023","4","2501694","Второ средно училище ""Професор Никола Маринов""","4125","Хуманитарни науки","0","0","0","0","0","0"
"2023","1","2500603","Професионална гимназия по електротехника и строителство","0193","Електротехник","91","91","0","240","240","0"
"2023","2","2500603","Професионална гимназия по електротехника и строителство","0193","Електротехник","0","0","0","0","0","0"
