"year","klasirane","school_code","school_name","profile_code","profile_name","min_score_total","min_score_male","min_score_female","max_score_total","max_score_male","max_score_female"
"2023","1","1900701","Средно училище ""Йордан Йовков"", ГР.ТУТРАКАН","3995","Предприемачески","58","0","0","340","0","0"
"2023","1","1900701","Средно училище ""Йордан Йовков"", ГР.ТУТРАКАН","0291","Природни науки","38","0","0","279.5","0","0"
"2023","1","1900702","Средно училище ""Христо Ботев"", ГР.ТУТРАКАН","0354","Системен програмист","168","0","0","393","0","0"
"2023","1","1900702","Средно училище ""Христо Ботев"", ГР.ТУТРАКАН","0357","Икономист","30","0","0","306.5","0","0"
"2023","2","1900701","Средно училище ""Йордан Йовков"", ГР.ТУТРАКАН","3995","Предприемачески","58","0","0","340","0","0"
"2023","2","1900701","Средно училище ""Йордан Йовков"", ГР.ТУТРАКАН","0291","Природни науки","38","0","0","279.5","0","0"
"2023","2","1900702","Средно училище ""Христо Ботев"", ГР.ТУТРАКАН","0354","Системен програмист","168","0","0","393","0","0"
"2023","2","1900702","Средно училище ""Христо Ботев"", ГР.ТУТРАКАН","0357","Икономист","30","0","0","306.5","0","0"
"2023","3","1900701","Средно училище ""Йордан Йовков"", ГР.ТУТРАКАН","3995","Предприемачески","58","0","0","340","0","0"
"2023","3","1900701","Средно училище ""Йордан Йовков"", ГР.ТУТРАКАН","0291","Природни науки","38","0","0","279.5","0","0"
"2023","3","1900702","Средно училище ""Христо Ботев"", ГР.ТУТРАКАН","0354","Системен програмист","168","0","0","393","0","0"
"2023","3","1900702","Средно училище ""Христо Ботев"", ГР.ТУТРАКАН","0357","Икономист","30","0","0","306.5","0","0"
"2023","4","1900701","Средно училище ""Йордан Йовков"", ГР.ТУТРАКАН","3995","Предприемачески","58","0","0","340","0","0"
"2023","4","1900701","Средно училище ""Йордан Йовков"", ГР.ТУТРАКАН","0291","Природни науки","38","0","0","279.5","0","0"
"2023","4","1900702","Средно училище ""Христо Ботев"", ГР.ТУТРАКАН","0354","Системен програмист","168","0","0","393","0","0"
"2023","4","1900702","Средно училище ""Христо Ботев"", ГР.ТУТРАКАН","0357","Икономист","30","0","0","306.5","0","0"
