"year","klasirane","school_code","school_name","profile_code","profile_name","min_score_total","min_score_male","min_score_female","max_score_total","max_score_male","max_score_female"
"2023","1","402183","Варненска морска гимназия ""Свети Николай Чудотворец""","2050","Експлоатация на пристанищата и флота - РИЧЕ_АЕ","97","0","0","252.5","0","0"
"2023","1","402183","Варненска морска гимназия ""Свети Николай Чудотворец""","1959","Електрообзавеждане на кораби - РИЧЕ_АЕ","30","0","0","253.5","0","0"
"2023","1","402183","Варненска морска гимназия ""Свети Николай Чудотворец""","1999","Компютърна техника и технологии - РИЧЕ_АЕ","177.5","0","0","338.5","0","0"
"2023","1","402183","Варненска морска гимназия ""Свети Николай Чудотворец""","2014","Корабни машини и механизми - РИЧЕ_АЕ","30","0","0","332.5","0","0"
"2023","1","402183","Варненска морска гимназия ""Свети Николай Чудотворец""","2043","Корабоводене - морско - РИЧЕ_АЕ","199","0","0","304","0","0"
"2023","1","402183","Варненска морска гимназия ""Свети Николай Чудотворец""","2027","Корабостроене - РИЧЕ_АЕ- дуална форма на обучение","90","0","0","247.5","0","0"
"2023","1","402183","Варненска морска гимназия ""Свети Николай Чудотворец""","3467","Спедиция, транспортна и складова логистика - РИЧЕ_АЕ","180","0","0","298.5","0","0"
"2023","1","402183","Варненска морска гимназия ""Свети Николай Чудотворец""","4229","Телекомуникационни системи - РИЧЕ_АЕ","70","0","0","272","0","0"
"2023","1","402030","Варненска търговска гимназия ""Георги Стойков Раковски""","1675","Икономика и мениджмънт - РИЧЕ_АЕ","385.5","0","0","444.5","0","0"
"2023","1","402030","Варненска търговска гимназия ""Георги Стойков Раковски""","1769","Икономика и мениджмънт - РИЧЕ_НЕ","358.5","0","0","410","0","0"
"2023","1","402030","Варненска търговска гимназия ""Георги Стойков Раковски""","1708","Икономическа информатика - РИЧЕ_АЕ","361.5","0","0","407","0","0"
"2023","1","402030","Варненска търговска гимназия ""Георги Стойков Раковски""","4186","Икономическа информатика - РИЧЕ_НЕ","349.5","0","0","417","0","0"
"2023","1","402030","Варненска търговска гимназия ""Георги Стойков Раковски""","1668","Митническа и данъчна администрация - РИЧЕ_АЕ","364.5","0","0","423","0","0"
"2023","1","402030","Варненска търговска гимназия ""Георги Стойков Раковски""","1693","Търговия - РИЧЕ_АЕ_дуална форма на обучение","351.5","0","0","380","0","0"
"2023","1","400043","Гимназия с преподаване на чужди езици ""Йоан Екзарх""","2056","Чужди езици - ИИЧЕ_ АЕ - профил.предм. - АЕ- НЕ","420.5","0","0","459.5","0","0"
"2023","1","400043","Гимназия с преподаване на чужди езици ""Йоан Екзарх""","2054","Чужди езици - ИИЧЕ_ АЕ - профил.предм. - АЕ- ФЕ","412","0","0","466.5","0","0"
"2023","1","400043","Гимназия с преподаване на чужди езици ""Йоан Екзарх""","2059","Чужди езици - ИИЧЕ_ НЕ - профил.предм. - НЕ-АЕ","419","0","0","493","0","0"
"2023","1","400043","Гимназия с преподаване на чужди езици ""Йоан Екзарх""","2082","Чужди езици - ИИЧЕ_ ФЕ - профил.предм. - ФЕ-АЕ","391","0","0","432","0","0"
"2023","1","400042","ІV Езикова гимназия ""Фредерик Жолио - Кюри""","3708","Природни науки - ИИЧЕ_ИспЕ - профил.предмет - БЗО-ХООС","395","0","0","428","0","0"
"2023","1","400042","ІV Езикова гимназия ""Фредерик Жолио - Кюри""","1446","Природни науки - ИИЧЕ_ФЕ - профил.предмет - БЗО-ХООС","372","0","0","441.5","0","0"
