"year","klasirane","school_code","school_name","profile_code","profile_name","min_score_total","min_score_male","min_score_female","max_score_total","max_score_male","max_score_female"
"2026","1","2700024","Професионална техническа гимназия ""Симеон Велики""","28697","Икономическа информатика","97","162","97","423","295","423"
"2026","1","2700024","Професионална техническа гимназия ""Симеон Велики""","28712","Пътностроителна техника - дневна","78","78","0","268","268","0"
"2026","1","2700024","Професионална техническа гимназия ""Симеон Велики""","28713","Пътностроителна техника - дуална","60","60","0","208","208","0"
"2026","1","2700282","Професионална гимназия по селско стопанство","29813","Стопанисване на горите","49","49","0","155","155","0"
"2026","1","2700282","Професионална гимназия по селско стопанство","29819","Агроекология и растителна защита","41","44","41","137","137","127"
"2026","2","2700282","Професионална гимназия по селско стопанство","29819","Агроекология и растителна защита","0","0","0","0","0","0"
"2026","2","2700282","Професионална гимназия по селско стопанство","29813","Стопанисване на горите","0","0","0","0","0","0"
"2026","2","2700024","Професионална техническа гимназия ""Симеон Велики""","28697","Икономическа информатика","0","0","0","0","0","0"
"2026","2","2700024","Професионална техническа гимназия ""Симеон Велики""","28712","Пътностроителна техника - дневна","114","114","0","114","114","0"
"2026","2","2700024","Професионална техническа гимназия ""Симеон Велики""","28713","Пътностроителна техника - дуална","0","0","0","0","0","0"
"2026","3","2700282","Професионална гимназия по селско стопанство","29819","Агроекология и растителна защита","62","0","62","62","0","62"
"2026","3","2700282","Професионална гимназия по селско стопанство","29813","Стопанисване на горите","122.5","122.5","0","122.5","122.5","0"
"2026","3","2700024","Професионална техническа гимназия ""Симеон Велики""","28697","Икономическа информатика","0","0","0","0","0","0"
"2026","3","2700024","Професионална техническа гимназия ""Симеон Велики""","28712","Пътностроителна техника - дневна","114","114","0","114","114","0"
"2026","3","2700024","Професионална техническа гимназия ""Симеон Велики""","28713","Пътностроителна техника - дуална","0","0","0","0","0","0"
