"year","klasirane","school_code","school_name","profile_code","profile_name","min_score_total","min_score_male","min_score_female","max_score_total","max_score_male","max_score_female"
"2026","1","300121","Профилирана Хуманитарна гимназия "" Свети свети Кирил и Методий""","00108","Хуманитарни науки - Право и журналистика","138","0","0","340.75","0","0"
"2026","1","300121","Профилирана Хуманитарна гимназия "" Свети свети Кирил и Методий""","29070","Терапия и рехабилитация","198.75","0","0","373","0","0"
"2026","1","300121","Профилирана Хуманитарна гимназия "" Свети свети Кирил и Методий""","29091","Лаборант","139.5","0","0","404","0","0"
"2026","1","300122","Природо-математическа гимназия ""Васил Друмев""","01056","Математика с английски език","434","0","0","491","0","0"
"2026","1","300122","Природо-математическа гимназия ""Васил Друмев""","01059","Математика с немски език","420.25","0","0","491","0","0"
"2026","1","300122","Природо-математическа гимназия ""Васил Друмев""","01062","Информатика с английски език","360.25","0","0","476.75","0","0"
"2026","1","300122","Природо-математическа гимназия ""Васил Друмев""","01066","Биология с английски език","421.75","0","0","491.5","0","0"
"2026","1","300122","Природо-математическа гимназия ""Васил Друмев""","29698","Разработка на софтуер","363","0","0","454.5","0","0"
"2026","1","300122","Природо-математическа гимназия ""Васил Друмев""","29701","Интелигентни системи","333.75","0","0","459","0","0"
"2026","1","300123","Профилирана езикова гимназия ""Проф. д-р Асен Златаров""","00928","Английски език Испански език","348.5","0","0","451.5","0","0"
"2026","1","300123","Профилирана езикова гимназия ""Проф. д-р Асен Златаров""","00936","Английски език Руски език","277","0","0","403.25","0","0"
"2026","1","300123","Профилирана езикова гимназия ""Проф. д-р Асен Златаров""","00940","Немски език Английски език","325","0","0","451.5","0","0"
"2026","1","300123","Профилирана езикова гимназия ""Проф. д-р Асен Златаров""","00944","Френски език Английски език","249","0","0","434.5","0","0"
"2026","1","300123","Профилирана езикова гимназия ""Проф. д-р Асен Златаров""","00948","Испански език Английски език","343.5","0","0","475.5","0","0"
"2026","1","300124","Средно училище ""Емилиян Станев""","01658","Изобразително изкуство","344.5","0","0","446","0","0"
"2026","1","300124","Средно училище ""Емилиян Станев""","01662","Музика","345.75","0","0","489.5","0","0"
"2026","1","300124","Средно училище ""Емилиян Станев""","01671","Защита на информацията","309.5","0","0","442","0","0"
"2026","1","300124","Средно училище ""Емилиян Станев""","29460","Графичен дизайн","372.75","0","0","478.25","0","0"
"2026","1","300125","Средно училище ""Вела Благоева""","01329","Обществени науки","134.5","0","0","387.25","0","0"
"2026","1","300126","Средно училище ""Владимир Комаров""","29771","Социални дейности","41","0","0","313.5","0","0"
"2026","1","300126","Средно училище ""Владимир Комаров""","29773","Автоматизация и управляваща техника","82","0","0","280","0","0"
"2026","1","300128","Професионална гимназия по строителство архитектура и геодезия ""Ангел Попов""","29263","Строителство и архитектура","374","0","0","457","0","0"
"2026","1","300128","Професионална гимназия по строителство архитектура и геодезия ""Ангел Попов""","29266","Водно строителство","297.5","0","0","354","0","0"
"2026","1","300128","Професионална гимназия по строителство архитектура и геодезия ""Ангел Попов""","29267","Транспортно строителство","318","0","0","385","0","0"
"2026","1","300128","Професионална гимназия по строителство архитектура и геодезия ""Ангел Попов""","29270","Реставрация на недвижимо културно наследство","281","0","0","372","0","0"
"2026","1","300128","Професионална гимназия по строителство архитектура и геодезия ""Ангел Попов""","29274","Интериорен и екстериорен дизайн","343","0","0","435","0","0"
"2026","1","300129","Старопрестолна професионална гимназия по икономика","29615","Оперативно счетоводство","165","0","0","413.5","0","0"
"2026","1","300129","Старопрестолна професионална гимназия по икономика","29617","Съдебна администрация","149","0","0","275","0","0"
"2026","1","300129","Старопрестолна професионална гимназия по икономика","29618","Електронна търговия, маркетинг и реклама","186.5","0","0","318.5","0","0"
"2026","1","300129","Старопрестолна професионална гимназия по икономика","29619","Икономическа информатика","116","0","0","301","0","0"
"2026","1","300130","Професионална гимназия по електроника ""Александър Степанович Попов""","28351","Компютърни системи и технологии","120.5","0","0","297.75","0","0"
"2026","1","300130","Професионална гимназия по електроника ""Александър Степанович Попов""","28352","Автомобилна техника и мехатроника","124.5","0","0","305","0","0"
"2026","1","300130","Професионална гимназия по електроника ""Александър Степанович Попов""","28353","Асистиране в денталната медицина","30","0","0","203.5","0","0"
"2026","1","300130","Професионална гимназия по електроника ""Александър Степанович Попов""","28355","Ветеринарен техник","82","0","0","277.75","0","0"
"2026","1","300131","Професионална гимназия по моден дизайн","29420","Фризьорство","57","0","0","234","0","0"
"2026","1","300131","Професионална гимназия по моден дизайн","29422","Козметични услуги","168","0","0","337.5","0","0"
"2026","1","300132","Професионална гимназия по туризъм ""Д-р Васил Берон""","29179","Рекламна графика","301.25","0","0","429.25","0","0"
"2026","1","300132","Професионална гимназия по туризъм ""Д-р Васил Берон""","29183","Организиране на събития","244","0","0","355","0","0"
"2026","1","300132","Професионална гимназия по туризъм ""Д-р Васил Берон""","29184","Готварство","244","0","0","437.75","0","0"
"2026","1","300132","Професионална гимназия по туризъм ""Д-р Васил Берон""","29185","Ресторантьорство и кетъринг","223","0","0","373.5","0","0"
"2026","1","300132","Професионална гимназия по туризъм ""Д-р Васил Берон""","29186","Хотелиерство","274.5","0","0","429","0","0"
"2026","1","300132","Професионална гимназия по туризъм ""Д-р Васил Берон""","29187","Екскурзовод","222","0","0","433.75","0","0"
"2026","1","300132","Професионална гимназия по туризъм ""Д-р Васил Берон""","29188","Организиране на туристически пътувания","209.5","0","0","386.5","0","0"
