"year","klasirane","school_code","school_name","profile_code","profile_name","min_score_total","min_score_male","min_score_female","max_score_total","max_score_male","max_score_female"
"2025","1","1311390","Национална професионална гимназия по горско стопанство ""Христо Ботев""","3244","Горско и ловно стопанство","207.5","207.5","249","443","377.5","443"
"2025","1","1311390","Национална професионална гимназия по горско стопанство ""Христо Ботев""","3241","Горско стопанство и дърводобив","159","159","261","335","316","335"
"2025","1","1302979","ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ДЪРВООБРАБОТВАНЕ ""ИВАН ВАЗОВ""","4738","професия ""Техник по транспортна техника"", специалност ""Електрически превозни средства""","98","98","0","203","203","0"
"2025","1","1302979","ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ДЪРВООБРАБОТВАНЕ ""ИВАН ВАЗОВ""","3152","професия ""Техник-технолог в дървообработването"", специалност ""Мебелно производство""","76","76","0","121","121","0"
"2025","1","1302979","ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ДЪРВООБРАБОТВАНЕ ""ИВАН ВАЗОВ""","3153","професия ""Фризьор"", специалност ""Организация и технология на фризьорските услуги""","94","94","108","336","137","336"
"2025","1","1304231","Професионална гимназия по икономика и туризъм ""Алеко Константинов""","3209","Бизнес администрация","245","250","245","420.5","321","420.5"
"2025","1","1304231","Професионална гимназия по икономика и туризъм ""Алеко Константинов""","4859","Извършване на термални процедури в балнеологични и други възстановителни центрове","129","185","129","327.5","327.5","254"
"2025","1","1304231","Професионална гимназия по икономика и туризъм ""Алеко Константинов""","3201","Организация на обслужването в хотелиерството","193","225","193","337","334.5","337"
"2025","1","1304231","Професионална гимназия по икономика и туризъм ""Алеко Константинов""","3199","Производство на кулинарни изделия и напитки","125.5","125.5","136","338.5","298","338.5"
"2025","1","1302573","Средно училище ""Васил Левски""","0527","Природни науки с интензивно изучаване на английски език","293","323.5","293","431.5","408","431.5"
"2025","1","1302573","Средно училище ""Васил Левски""","0530","Софтуерни и хардуерни науки с интензивно изучаване на английски език","239.5","243.5","239.5","429","429","378.5"
"2025","1","1301674","Средно училище ""Св. св. Кирил и Методий""","4850","Професия ""Програмист на изкуствен интелект""","66","66","240","355.5","355.5","288"
"2025","1","1301674","Средно училище ""Св. св. Кирил и Методий""","3156","Профил ""Софтуерни и хардуерни науки""","179","179","203","429.5","341","429.5"
"2025","1","1301674","Средно училище ""Св. св. Кирил и Методий""","3155","Профил ""Чужди езици""","89","89","195","394.5","394.5","390.5"
"2025","2","1311390","Национална професионална гимназия по горско стопанство ""Христо Ботев""","3244","Горско и ловно стопанство","157","157","0","194","194","0"
"2025","2","1311390","Национална професионална гимназия по горско стопанство ""Христо Ботев""","3241","Горско стопанство и дърводобив","153","153","0","153","153","0"
"2025","2","1302979","ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ДЪРВООБРАБОТВАНЕ ""ИВАН ВАЗОВ""","4738","професия ""Техник по транспортна техника"", специалност ""Електрически превозни средства""","0","0","0","0","0","0"
"2025","2","1302979","ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ДЪРВООБРАБОТВАНЕ ""ИВАН ВАЗОВ""","3152","професия ""Техник-технолог в дървообработването"", специалност ""Мебелно производство""","0","0","0","0","0","0"
"2025","2","1302979","ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ДЪРВООБРАБОТВАНЕ ""ИВАН ВАЗОВ""","3153","професия ""Фризьор"", специалност ""Организация и технология на фризьорските услуги""","0","0","0","0","0","0"
"2025","2","1304231","Професионална гимназия по икономика и туризъм ""Алеко Константинов""","3209","Бизнес администрация","0","0","0","0","0","0"
"2025","2","1304231","Професионална гимназия по икономика и туризъм ""Алеко Константинов""","4859","Извършване на термални процедури в балнеологични и други възстановителни центрове","185","185","0","185","185","0"
"2025","2","1304231","Професионална гимназия по икономика и туризъм ""Алеко Константинов""","3201","Организация на обслужването в хотелиерството","200","0","200","237","0","237"
"2025","2","1304231","Професионална гимназия по икономика и туризъм ""Алеко Константинов""","3199","Производство на кулинарни изделия и напитки","152","152","0","152","152","0"
"2025","2","1302573","Средно училище ""Васил Левски""","0527","Природни науки с интензивно изучаване на английски език","267.5","0","267.5","271","0","271"
"2025","2","1302573","Средно училище ""Васил Левски""","0530","Софтуерни и хардуерни науки с интензивно изучаване на английски език","224","227","224","237.5","237.5","224"
"2025","2","1301674","Средно училище ""Св. св. Кирил и Методий""","4850","Професия ""Програмист на изкуствен интелект""","0","0","0","0","0","0"
"2025","2","1301674","Средно училище ""Св. св. Кирил и Методий""","3156","Профил ""Софтуерни и хардуерни науки""","179","179","0","179","179","0"
"2025","2","1301674","Средно училище ""Св. св. Кирил и Методий""","3155","Профил ""Чужди езици""","0","0","0","0","0","0"
"2025","3","1311390","Национална професионална гимназия по горско стопанство ""Христо Ботев""","3244","Горско и ловно стопанство","0","0","0","0","0","0"
"2025","3","1311390","Национална професионална гимназия по горско стопанство ""Христо Ботев""","3241","Горско стопанство и дърводобив","145","145","0","145","145","0"
"2025","3","1302979","ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ДЪРВООБРАБОТВАНЕ ""ИВАН ВАЗОВ""","4738","професия ""Техник по транспортна техника"", специалност ""Електрически превозни средства""","81","81","0","81","81","0"
"2025","3","1302979","ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ДЪРВООБРАБОТВАНЕ ""ИВАН ВАЗОВ""","3152","професия ""Техник-технолог в дървообработването"", специалност ""Мебелно производство""","0","0","0","0","0","0"
"2025","3","1302979","ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ДЪРВООБРАБОТВАНЕ ""ИВАН ВАЗОВ""","3153","професия ""Фризьор"", специалност ""Организация и технология на фризьорските услуги""","140","0","140","150","0","150"
"2025","3","1304231","Професионална гимназия по икономика и туризъм ""Алеко Константинов""","3209","Бизнес администрация","0","0","0","0","0","0"
"2025","3","1304231","Професионална гимназия по икономика и туризъм ""Алеко Константинов""","4859","Извършване на термални процедури в балнеологични и други възстановителни центрове","423","0","423","423","0","423"
"2025","3","1304231","Професионална гимназия по икономика и туризъм ""Алеко Константинов""","3201","Организация на обслужването в хотелиерството","0","0","0","0","0","0"
"2025","3","1304231","Професионална гимназия по икономика и туризъм ""Алеко Константинов""","3199","Производство на кулинарни изделия и напитки","0","0","0","0","0","0"
"2025","3","1302573","Средно училище ""Васил Левски""","0527","Природни науки с интензивно изучаване на английски език","0","0","0","0","0","0"
"2025","3","1302573","Средно училище ""Васил Левски""","0530","Софтуерни и хардуерни науки с интензивно изучаване на английски език","378","378","0","378","378","0"
"2025","3","1301674","Средно училище ""Св. св. Кирил и Методий""","4850","Професия ""Програмист на изкуствен интелект""","336","336","0","336","336","0"
"2025","3","1301674","Средно училище ""Св. св. Кирил и Методий""","3156","Профил ""Софтуерни и хардуерни науки""","217","0","217","217","0","217"
"2025","3","1301674","Средно училище ""Св. св. Кирил и Методий""","3155","Профил ""Чужди езици""","0","0","0","0","0","0"
"2025","4","1311390","Национална професионална гимназия по горско стопанство ""Христо Ботев""","3244","Горско и ловно стопанство","0","0","0","0","0","0"
"2025","4","1311390","Национална професионална гимназия по горско стопанство ""Христо Ботев""","3241","Горско стопанство и дърводобив","0","0","0","0","0","0"
"2025","4","1302979","ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ДЪРВООБРАБОТВАНЕ ""ИВАН ВАЗОВ""","4738","професия ""Техник по транспортна техника"", специалност ""Електрически превозни средства""","80","80","0","100","100","0"
"2025","4","1302979","ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ДЪРВООБРАБОТВАНЕ ""ИВАН ВАЗОВ""","3152","професия ""Техник-технолог в дървообработването"", специалност ""Мебелно производство""","0","0","0","0","0","0"
"2025","4","1302979","ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ДЪРВООБРАБОТВАНЕ ""ИВАН ВАЗОВ""","3153","професия ""Фризьор"", специалност ""Организация и технология на фризьорските услуги""","179","0","179","179","0","179"
"2025","4","1304231","Професионална гимназия по икономика и туризъм ""Алеко Константинов""","3209","Бизнес администрация","0","0","0","0","0","0"
"2025","4","1304231","Професионална гимназия по икономика и туризъм ""Алеко Константинов""","4859","Извършване на термални процедури в балнеологични и други възстановителни центрове","0","0","0","0","0","0"
"2025","4","1304231","Професионална гимназия по икономика и туризъм ""Алеко Константинов""","3201","Организация на обслужването в хотелиерството","0","0","0","0","0","0"
"2025","4","1304231","Професионална гимназия по икономика и туризъм ""Алеко Константинов""","3199","Производство на кулинарни изделия и напитки","0","0","0","0","0","0"
"2025","4","1302573","Средно училище ""Васил Левски""","0527","Природни науки с интензивно изучаване на английски език","0","0","0","0","0","0"
"2025","4","1302573","Средно училище ""Васил Левски""","0530","Софтуерни и хардуерни науки с интензивно изучаване на английски език","312","312","0","312","312","0"
"2025","4","1301674","Средно училище ""Св. св. Кирил и Методий""","4850","Професия ""Програмист на изкуствен интелект""","0","0","0","0","0","0"
"2025","4","1301674","Средно училище ""Св. св. Кирил и Методий""","3156","Профил ""Софтуерни и хардуерни науки""","0","0","0","0","0","0"
"2025","4","1301674","Средно училище ""Св. св. Кирил и Методий""","3155","Профил ""Чужди езици""","0","0","0","0","0","0"
