"year","klasirane","school_code","school_name","profile_code","profile_name","min_score_total","min_score_male","min_score_female","max_score_total","max_score_male","max_score_female"
"2024","1","503322","ГПЧЕ ""Йордан Радичков""","4070","Чужди езици АЕ-ИЕ/РЕ/ФЕ/НЕ","294.75","294.75","309.75","446","446","444.75"
"2024","2","503322","ГПЧЕ ""Йордан Радичков""","4070","Чужди езици АЕ-ИЕ/РЕ/ФЕ/НЕ","0","0","0","0","0","0"
"2024","3","503322","ГПЧЕ ""Йордан Радичков""","4070","Чужди езици АЕ-ИЕ/РЕ/ФЕ/НЕ","0","0","0","0","0","0"
"2024","1","503322","ГПЧЕ ""Йордан Радичков""","4068","Чужди езици АЕ-НЕ/ФЕ/РЕ/ИЕ","307.5","318.75","307.5","440.25","440.25","433"
"2024","2","503322","ГПЧЕ ""Йордан Радичков""","4068","Чужди езици АЕ-НЕ/ФЕ/РЕ/ИЕ","0","0","0","0","0","0"
"2024","3","503322","ГПЧЕ ""Йордан Радичков""","4068","Чужди езици АЕ-НЕ/ФЕ/РЕ/ИЕ","0","0","0","0","0","0"
"2024","1","503322","ГПЧЕ ""Йордан Радичков""","4069","Чужди езици АЕ-ФЕ/ИЕ/РЕ/НЕ","276.25","277.25","276.25","378.5","345.25","378.5"
"2024","2","503322","ГПЧЕ ""Йордан Радичков""","4069","Чужди езици АЕ-ФЕ/ИЕ/РЕ/НЕ","253.5","255.75","253.5","267","267","253.5"
"2024","3","503322","ГПЧЕ ""Йордан Радичков""","4069","Чужди езици АЕ-ФЕ/ИЕ/РЕ/НЕ","0","0","0","0","0","0"
"2024","1","502035","ПГ ""Проф. д-р Асен Златаров""","861","Електротехник","131","131","261","325","325","261"
"2024","2","502035","ПГ ""Проф. д-р Асен Златаров""","861","Електротехник","143","143","0","202","202","0"
"2024","3","502035","ПГ ""Проф. д-р Асен Златаров""","861","Електротехник","143","143","220.5","232","232","220.5"
"2024","1","502035","ПГ ""Проф. д-р Асен Златаров""","728","Икономист","119","119","157","252","252","237"
"2024","2","502035","ПГ ""Проф. д-р Асен Златаров""","728","Икономист","0","0","0","0","0","0"
"2024","3","502035","ПГ ""Проф. д-р Асен Златаров""","728","Икономист","0","0","0","0","0","0"
"2024","1","502035","ПГ ""Проф. д-р Асен Златаров""","4543","Оперативен счетоводител","80","80","160","364.5","117","364.5"
"2024","2","502035","ПГ ""Проф. д-р Асен Златаров""","4543","Оперативен счетоводител","0","0","0","0","0","0"
"2024","3","502035","ПГ ""Проф. д-р Асен Златаров""","4543","Оперативен счетоводител","0","0","0","0","0","0"
"2024","1","502035","ПГ ""Проф. д-р Асен Златаров""","4208","Техник на компютърни системи - дневна","178","178","317","380","380","317"
"2024","2","502035","ПГ ""Проф. д-р Асен Златаров""","4208","Техник на компютърни системи - дневна","166.5","166.5","0","190.5","190.5","0"
"2024","3","502035","ПГ ""Проф. д-р Асен Златаров""","4208","Техник на компютърни системи - дневна","0","0","0","0","0","0"
"2024","1","502035","ПГ ""Проф. д-р Асен Златаров""","859","Техник на компютърни системи - дуална","214.5","214.5","249.5","326","326","318"
"2024","2","502035","ПГ ""Проф. д-р Асен Златаров""","859","Техник на компютърни системи - дуална","0","0","0","0","0","0"
"2024","3","502035","ПГ ""Проф. д-р Асен Златаров""","859","Техник на компютърни системи - дуална","0","0","0","0","0","0"
"2024","1","502035","ПГ ""Проф. д-р Асен Златаров""","770","Хотелиер","163.5","163.5","165","328.5","247","328.5"
