"year","klasirane","school_code","school_name","profile_code","profile_name","min_score_total","min_score_male","min_score_female","max_score_total","max_score_male","max_score_female"
"2025","1","1208002","Средно училище ""Иван Вазов""","4065","Готвач","66","66","79","94","94","94"
"2025","3","1208002","Средно училище ""Иван Вазов""","4065","Готвач","0","0","0","0","0","0"
"2025","4","1208002","Средно училище ""Иван Вазов""","4065","Готвач","0","0","0","0","0","0"
"2025","1","1208002","Средно училище ""Иван Вазов""","4721","Изпълнител на термални процедури","30","30","78","90","90","82"
"2025","3","1208002","Средно училище ""Иван Вазов""","4721","Изпълнител на термални процедури","0","0","0","0","0","0"
"2025","4","1208002","Средно училище ""Иван Вазов""","4721","Изпълнител на термални процедури","0","0","0","0","0","0"
"2025","1","1208002","Средно училище ""Иван Вазов""","4725","Ресторантьор","54","54","68","222","222","156"
"2025","3","1208002","Средно училище ""Иван Вазов""","4725","Ресторантьор","0","0","0","0","0","0"
"2025","4","1208002","Средно училище ""Иван Вазов""","4725","Ресторантьор","0","0","0","0","0","0"
"2025","1","1208002","Средно училище ""Иван Вазов""","2671","Чужди езици - АЕ","113","148","113","440.5","361","440.5"
"2025","3","1208002","Средно училище ""Иван Вазов""","2671","Чужди езици - АЕ","0","0","0","0","0","0"
"2025","4","1208002","Средно училище ""Иван Вазов""","2671","Чужди езици - АЕ","0","0","0","0","0","0"
