"year","klasirane","school_code","school_name","profile_code","profile_name","min_score_total","min_score_male","min_score_female","max_score_total","max_score_male","max_score_female"
"2025","1","2300302","Професионална гимназия "" Златица""","3431","Автотранспортна техника- дуална система на обучение","30","30","103","185","185","103"
"2025","1","2300302","Професионална гимназия "" Златица""","4346","Електрообзавеждане на производството - дуална система на обучение","74","130.5","74","352.5","352.5","134"
"2025","1","2300302","Професионална гимназия "" Златица""","4545","Машини и съоръжения за заваряване - дуална система на обучение","0","0","0","0","0","0"
"2025","1","2308792","Средно училище ""Свети Паисий Хилендарски""","4728","Софтуерни и хардуерни науки","317","318.25","317","442","433.5","442"
"2025","2","2300302","Професионална гимназия "" Златица""","3431","Автотранспортна техника- дуална система на обучение","0","0","0","0","0","0"
"2025","2","2300302","Професионална гимназия "" Златица""","4346","Електрообзавеждане на производството - дуална система на обучение","0","0","0","0","0","0"
"2025","2","2300302","Професионална гимназия "" Златица""","4545","Машини и съоръжения за заваряване - дуална система на обучение","0","0","0","0","0","0"
"2025","2","2308792","Средно училище ""Свети Паисий Хилендарски""","4728","Софтуерни и хардуерни науки","279","286.75","279","299.5","289","299.5"
"2025","3","2300302","Професионална гимназия "" Златица""","3431","Автотранспортна техника- дуална система на обучение","113","0","113","113","0","113"
"2025","3","2300302","Професионална гимназия "" Златица""","4346","Електрообзавеждане на производството - дуална система на обучение","167","0","167","167","0","167"
"2025","3","2300302","Професионална гимназия "" Златица""","4545","Машини и съоръжения за заваряване - дуална система на обучение","0","0","0","0","0","0"
"2025","3","2308792","Средно училище ""Свети Паисий Хилендарски""","4728","Софтуерни и хардуерни науки","275.25","0","275.25","275.25","0","275.25"
"2025","4","2300302","Професионална гимназия "" Златица""","3431","Автотранспортна техника- дуална система на обучение","0","0","0","0","0","0"
"2025","4","2300302","Професионална гимназия "" Златица""","4346","Електрообзавеждане на производството - дуална система на обучение","0","0","0","0","0","0"
"2025","4","2300302","Професионална гимназия "" Златица""","4545","Машини и съоръжения за заваряване - дуална система на обучение","0","0","0","0","0","0"
"2025","4","2308792","Средно училище ""Свети Паисий Хилендарски""","4728","Софтуерни и хардуерни науки","0","0","0","0","0","0"
