"year","klasirane","school_code","school_name","profile_code","profile_name","min_score_total","min_score_male","min_score_female","max_score_total","max_score_male","max_score_female"
"2023","1","2103232","СРЕДНО УЧИЛИЩЕ ""АНТИМ ""","0100","Компютърен график","65","0","0","400.5","0","0"
"2023","1","2103232","СРЕДНО УЧИЛИЩЕ ""АНТИМ ""","0076","Природни науки","145","0","0","443.5","0","0"
"2023","1","2103232","СРЕДНО УЧИЛИЩЕ ""АНТИМ ""","4296","Ресторантьор","52","0","0","275","0","0"
"2023","1","2103232","СРЕДНО УЧИЛИЩЕ ""АНТИМ ""","0072","Чужди езици","284","0","0","483.5","0","0"
"2023","2","2103232","СРЕДНО УЧИЛИЩЕ ""АНТИМ ""","0100","Компютърен график","0","0","0","0","0","0"
"2023","2","2103232","СРЕДНО УЧИЛИЩЕ ""АНТИМ ""","0076","Природни науки","41","0","0","41","0","0"
"2023","2","2103232","СРЕДНО УЧИЛИЩЕ ""АНТИМ ""","4296","Ресторантьор","0","0","0","0","0","0"
"2023","2","2103232","СРЕДНО УЧИЛИЩЕ ""АНТИМ ""","0072","Чужди езици","181","0","0","244","0","0"
"2023","3","2103232","СРЕДНО УЧИЛИЩЕ ""АНТИМ ""","0100","Компютърен график","0","0","0","0","0","0"
"2023","3","2103232","СРЕДНО УЧИЛИЩЕ ""АНТИМ ""","0076","Природни науки","0","0","0","0","0","0"
"2023","3","2103232","СРЕДНО УЧИЛИЩЕ ""АНТИМ ""","4296","Ресторантьор","0","0","0","0","0","0"
"2023","3","2103232","СРЕДНО УЧИЛИЩЕ ""АНТИМ ""","0072","Чужди езици","0","0","0","0","0","0"
"2023","4","2103232","СРЕДНО УЧИЛИЩЕ ""АНТИМ ""","0100","Компютърен график","0","0","0","0","0","0"
"2023","4","2103232","СРЕДНО УЧИЛИЩЕ ""АНТИМ ""","0076","Природни науки","0","0","0","0","0","0"
"2023","4","2103232","СРЕДНО УЧИЛИЩЕ ""АНТИМ ""","4296","Ресторантьор","0","0","0","0","0","0"
"2023","4","2103232","СРЕДНО УЧИЛИЩЕ ""АНТИМ ""","0072","Чужди езици","0","0","0","0","0","0"
