Област;Община;Населено място;Код;Училище;Явили се БЕЛ;Ср. успех в точки БЕЛ;Явили се MAT;Ср. успех в точки MAT
БЛАГОЕВГРАД;БАНСКО;ГР. БАНСКО;105201;СУ Неофит Рилски;57;48.17;57;28.08
БЛАГОЕВГРАД;БЕЛИЦА;ГР. БЕЛИЦА;105001;СУ Св.Св.Кирил и Методий;45;55.24;45;46.69
БЛАГОЕВГРАД;БЛАГОЕВГРАД;ГР. БЛАГОЕВГРАД;100200;ПМГ Акад. Сергей Корольов;29;86.62;29;77.32
БЛАГОЕВГРАД;БЛАГОЕВГРАД;ГР. БЛАГОЕВГРАД;101290;ІІІ ОУ ДимитърТалев;97;68.39;97;44.74
БЛАГОЕВГРАД;БЛАГОЕВГРАД;ГР. БЛАГОЕВГРАД;100070;VІІ СУ Кузман Шапкарев;113;66.58;114;37.64
БЛАГОЕВГРАД;БЛАГОЕВГРАД;ГР. БЛАГОЕВГРАД;100020;ІІ ОУ Димитър Благоев;47;63.53;47;37.69
БЛАГОЕВГРАД;БЛАГОЕВГРАД;ГР. БЛАГОЕВГРАД;101880;СУ Иван Вазов;55;63.3;55;38.24
БЛАГОЕВГРАД;БЛАГОЕВГРАД;ГР. БЛАГОЕВГРАД;101580;VІІІ СУ Арсени Костенцев;77;59.62;77;36.9
БЛАГОЕВГРАД;БЛАГОЕВГРАД;ГР. БЛАГОЕВГРАД;102060;V СУ Георги Измирлиев;36;59.61;36;39.31
БЛАГОЕВГРАД;БЛАГОЕВГРАД;ГР. БЛАГОЕВГРАД;100040;ІV ОУ Димчо Дебелянов;39;58.06;39;29.35
БЛАГОЕВГРАД;БЛАГОЕВГРАД;ГР. БЛАГОЕВГРАД;101250;СУИЧЕ Св. Климент Охридски;61;55.04;61;37.51
БЛАГОЕВГРАД;БЛАГОЕВГРАД;ГР. БЛАГОЕВГРАД;100110;ХІ ОУ Христо Ботев;45;54.21;45;25.06
БЛАГОЕВГРАД;БЛАГОЕВГРАД;ГР. БЛАГОЕВГРАД;101700;ІХ ОУ Пейо Кр. Яворов;14;13.29;15;11.63
БЛАГОЕВГРАД;ГОЦЕ ДЕЛЧЕВ;ГР. ГОЦЕ ДЕЛЧЕВ;102002;ПМГ Яне Сандански;26;75.87;26;61.46
