"﻿Област","Община","Населено място","Код","Училище","Явили се МАТ","Явили се БЕЛ","Явили се ЧО","Явили се ЧП","Ср. успех в точки МАТ (мах 100 т)","Ср. успех в точки БЕЛ (мах 100 т)","Ср. успех в точки ЧО (мах 100 т)","Ср. успех в точки ЧП (мах 100 т)"
"Благоевград","Благоевград","Благоевград","100020","Второ основно училище ""Димитър Благоев""","66","65","66","66","82,88","85,31","85,3","89,17"
"Благоевград","Благоевград","Благоевград","100040","Четвърто основно училище "" Димчо Дебелянов""","35","35","36","36","84,14","85,71","87,92","85,42"
"Благоевград","Благоевград","Благоевград","100070","Седмо средно училище ""Кузман Шапкарев""","102","102","102","102","85,2","82,99","91,52","89,75"
"Благоевград","Благоевград","Благоевград","100110","Единадесето основно училище ""Христо Ботев""","42","42","41","41","76,07","72,86","83,05","86,22"
"Благоевград","Благоевград","Благоевград","101250","Средно училище с изучаване на чужди езици ""Свети Климент Охридски""","50","49","49","49","82,8","82,24","83,88","82,24"
"Благоевград","Благоевград","Благоевград","101290","Трето основно училище ""Димитър Талев""","124","124","123","122","86,37","71,73","88,7","89,47"
"Благоевград","Гърмен","Гърмен","101301","Средно училище ""Св.Св.Кирил и Методий""","23","23","22","22","68,26","58,48","79,09","78,64"
"Благоевград","Благоевград","Благоевград","101580","Осмо средно училище ""Арсени Костенцев""","99","98","100","99","84,19","77,96","87,45","89,95"
"Благоевград","Благоевград","Благоевград","101700","Девето основно училище "" Пейо Крачолов Яворов""","30","30","32","30","65,17","68","68,44","70,33"
"Благоевград","Благоевград","Благоевград","101880","Средно училище ""Иван Вазов""","65","65","65","65","87,31","78,77","90,77","86,08"
"Благоевград","Банско","Места","102003","Основно училище ""Свети свети Кирил и Методий""","9","9","9","9","70,56","71,67","81,67","83,89"
"Благоевград","Благоевград","Благоевград","102060","Пето средно училище ""Георги Измирлиев""","51","51","51","50","82,55","76,96","88,53","88,4"
"Благоевград","Сандански","Сандански","102606","Второ основно училище ""Христо Смирненски""","80","80","81","81","80,44","75,63","85,62","87,65"
"Благоевград","Гърмен","Рибново","103002","Средно училище ""Йордан Йовков""","43","43","44","43","87,33","76,28","95,57","83,02"
"Благоевград","Гърмен","Огняново","103004","Основно училище ""Пейо Крачолов Яворов""","16","16","16","16","78,13","73,44","78,44","76,25"
"Благоевград","Гърмен","Дебрен","103005","Обединено училище ""Св. Климент Охридски""","47","47","47","47","86,7","77,45","88,94","85,85"
"Благоевград","Гърмен","Горно Дряново","103006","Основно училище "" Св. Паисий Хилендарски""","13","10","13","14","75","64,5","90,38","80"
"Благоевград","Гърмен","Долно Дряново","103008","Обединено училище ""Христо Ботев""","22","22","22","22","72,27","57,27","78,64","83,86"
"Благоевград","Гърмен","Хвостяне","103009","Основно училище""Димитър Талев""","9","9","8","8","60","44,44","71,88","77,5"
"Благоевград","Гърмен","Дъбница","103019","Обединено училище ""Христо Ботев""","19","19","19","19","67,37","70,79","83,68","84,74"
"Благоевград","Симитли","Симитли","103133","Средно училище ""Св. Св. Кирил и Методий""","69","68","67","69","78,99","71,99","85,82","87,17"
"Благоевград","Петрич","Петрич","103310","Средно училище ""Никола Йонков Вапцаров""","99","98","100","100","81,92","82,4","83,15","85,2"
"Благоевград","Гоце Делчев","Брезница","103401","Средно училище ""Св. Св. Кирил и Методий""","30","30","30","30","79","64,17","77,67","89,67"
"Благоевград","Гоце Делчев","Гоце Делчев","103402","Първо основно училище ""Св. Св. Кирил и Методий""","79","79","77","79","82,59","70,44","87,01","86,08"
"Благоевград","Гоце Делчев","Гоце Делчев","103403","Второ основно училище ""Гоце Делчев""","82","83","84","85","81,04","73,31","86,19","86"
"Благоевград","Гоце Делчев","Гоце Делчев","103404","Трето основно училище ""Братя Миладинови""","46","47","48","47","80,87","68,4","84,48","86,17"
"Благоевград","Гоце Делчев","Мoсомищe","103405","Основно училище ""Христо Ботев""","17","17","17","17","73,82","62,65","79,12","80,29"
"Благоевград","Гоце Делчев","Борово","103406","Основно училище ""Св. Климент Охридски""","9","9","9","9","67,22","76,11","78,33","82,22"
"Благоевград","Гоце Делчев","Буково","103407","Основно училище "" Иван Вазов""","15","15","15","15","83","78,67","85","87"
"Благоевград","Гоце Делчев","Баничан","103408","Основно училище ""Свети Паисий Хилендарски""","8","8","8","8","76,88","70,63","83,75","80"
"Благоевград","Гоце Делчев","Лъжница","103409","Обединено училище ""Петър Берон""","20","20","20","19","72,75","69,5","82,25","82,11"
"Благоевград","Гоце Делчев","Корница","103410","Oбединено училище ""Св. Паисий Хилендарски""","12","12","12","12","77,92","67,08","82,92","92,08"
"Благоевград","Разлог","Разлог","103502","Основно училище ""Никола Парапунов""","50","49","51","51","84,8","71,43","85","84,9"
"Благоевград","Разлог","Баня","103503","Основно училище ""Св. Паисий Хилендарски""","25","26","25","25","80,6","78,27","78,4","80,6"
"Благоевград","Разлог","Бачево","103504","Основно училище ""Св. Св. Кирил и Методий""","10","9","10","9","79","75","83,5","93,89"
"Благоевград","Разлог","Горно Драглище","103506","Основно училище ""Неофит Рилски""","11","11","11","11","81,82","70,45","66,82","70"
