"﻿﻿Област","Община","Населено място","Код","Училище","Явили се МАТ","Явили се БЕЛ","Явили се ЧО","Явили се ЧП","Ср. успех в точки МАТ","Ср. успех в точки БЕЛ","Ср. успех в точки ЧО","Ср. успех в точки ЧП"
"Благоевград","Банско","Банско","105204","Начално училище ""Св. Паисий Хилендарски""","55","56","56","56","84,09","89,46","89,55","90,27"
"Благоевград","Банско","Банско","105201","Средно училище ""Неофит Рилски""","38","38","37","38","74,34","76,45","80,95","82,5"
"Благоевград","Банско","Добринище","105202","Основно училище ""Свети Климент Охридски""","15","16","16","15","77","84,06","82,5","84"
"Благоевград","Банско","Места","102003","Основно училище ""Свети свети Кирил и Методий""","9","9","9","9","60,56","71,67","66,67","67,22"
"Благоевград","Белица","Бабяк","105005","Основно училище ""Св.св.Кирил и Методий""","25","25","25","25","79,2","82,4","92,4","90,8"
"Благоевград","Белица","Белица","105001","Средно училище ""Св.Св.Кирил и Методий""","32","32","31","33","70,47","77,03","78,23","72,12"
"Благоевград","Белица","Горно Краище","105004","Основно училище ""Пейо Крачолов Яворов""","22","22","22","22","72,95","72,27","67,05","74,55"
"Благоевград","Белица","Дагоново","105006","Начално училище ""Петко Р. Славейков""","7","7","7","7","70","77,86","75,71","83,57"
"Благоевград","Белица","Краище","105003","Основно училище ""Св.Паисий Хилендарски""","37","37","37","37","77,03","80","85","72,43"
"Благоевград","Благоевград","Благоевград","101580","Осмо средно училище ""Арсени Костенцев""","94","94","94","94","77,66","89,26","79,31","83,67"
"Благоевград","Благоевград","Благоевград","101290","Трето основно училище ""Димитър Талев""","124","123","124","124","80,12","79,96","80,56","84,52"
"Благоевград","Благоевград","Благоевград","100110","Единадесето основно училище ""Христо Ботев""","43","43","46","45","78,49","72,44","78,15","88,56"
"Благоевград","Благоевград","Благоевград","100040","Четвърто основно училище "" Димчо Дебелянов""","35","35","35","35","83","84,86","90,57","91,71"
"Благоевград","Благоевград","Благоевград","101700","Девето основно училище "" Пейо Крачолов Яворов""","13","14","13","13","47,31","43,93","52,69","53,46"
"Благоевград","Благоевград","Благоевград","101250","Средно училище с изучаване на чужди езици ""Свети Климент Охридски""","53","53","53","53","68,58","82,36","74,34","80,19"
"Благоевград","Благоевград","Благоевград","100070","Седмо средно училище ""Кузман Шапкарев""","122","122","123","123","84,43","92,38","85,12","90,94"
"Благоевград","Благоевград","Благоевград","100020","Второ основно училище ""Димитър Благоев""","69","69","69","69","85","89,49","79,28","85,58"
"Благоевград","Благоевград","Благоевград","102060","Пето средно училище ""Георги Измирлиев""","51","51","51","51","85,78","91,76","82,75","87,94"
"Благоевград","Благоевград","Благоевград","101880","Средно училище ""Иван Вазов""","61","61","60","60","89,34","82,87","88,58","92,67"
"Благоевград","Гоце Делчев","Баничан","103408","Основно училище ""Свети Паисий Хилендарски""","7","7","6","6","74,29","73,57","82,5","80,83"
"Благоевград","Гоце Делчев","Борово","103406","Основно училище ""Св. Климент Охридски""","6","6","6","6","85","91,67","90","95"
"Благоевград","Гоце Делчев","Брезница","103401","Средно училище ""Св. Св. Кирил и Методий""","36","36","36","36","77,78","75,69","73,89","79,72"
"Благоевград","Гоце Делчев","Буково","103407","Основно училище "" Иван Вазов""","17","17","17","17","77,65","71,47","79,71","83,53"
"Благоевград","Гоце Делчев","Гоце Делчев","103403","Второ основно училище ""Гоце Делчев""","85","80","85","88","86,88","85,56","87,35","90"
"Благоевград","Гоце Делчев","Гоце Делчев","103404","Трето основно училище ""Братя Миладинови""","42","42","41","42","77,62","82,14","82,68","84,88"
"Благоевград","Гоце Делчев","Гоце Делчев","103402","Първо основно училище ""Св. Св. Кирил и Методий""","83","83","83","84","82,17","80","84,16","83,63"
"Благоевград","Гоце Делчев","Корница","103410","Oбединено училище ""Св. Паисий Хилендарски""","16","16","18","18","68,75","67,19","71,94","72,5"
"Благоевград","Гоце Делчев","Лъжница","103409","Обединено училище ""Петър Берон""","24","23","24","24","67,29","70,43","62,92","78,13"
"Благоевград","Гоце Делчев","Мусомища","103405","Основно училище ""Христо Ботев""","24","24","24","24","68,96","65,83","66,88","76,04"
"Благоевград","Гърмен","Горно Дряново","103006","Основно училище "" Св. Паисий Хилендарски""","17","18","16","17","62,94","54,17","61,56","67,35"
"Благоевград","Гърмен","Гърмен","101301","Средно училище ""Св.Св.Кирил и Методий""","30","28","27","25","67,33","73,57","69,26","80,4"
"Благоевград","Гърмен","Дебрен","103005","Обединено училище ""Св. Климент Охридски""","39","39","39","39","74,74","77,82","80","84,36"
"Благоевград","Гърмен","Долно Дряново","103008","Обединено училище ""Христо Ботев""","22","22","22","22","79,32","73,18","72,05","74,32"
"Благоевград","Гърмен","Дъбница","103019","Обединено училище ""Христо Ботев""","20","20","20","20","58,5","76,75","68","81,5"
"Благоевград","Гърмен","Огняново","103004","Основно училище ""Пейо Крачолов Яворов""","19","19","19","19","78,95","82,89","84,74","85,79"
"Благоевград","Гърмен","Рибново","103002","Средно училище ""Йордан Йовков""","52","52","52","52","61,15","68,46","62,4","71,73"
"Благоевград","Гърмен","Хвостяне","103009","Основно училище""Димитър Талев""","7","8","7","8","82,14","73,13","73,57","90"
"Благоевград","Кресна","Кресна","105101","Средно училище ""Св.Паисий Хилендарски""","38","38","38","37","68,03","81,32","67,5","75,41"
"Благоевград","Петрич","Беласица","104022","Основно училище ""Христо Ботев""","11","10","11","11","58,18","71","64,55","76,82"
"Благоевград","Петрич","Кавракирово","104024","Основно училище ""Св.Св. Кирил и Методий""","17","17","17","16","54,71","62,35","58,53","72,19"
"Благоевград","Петрич","Коларово","104003","Средно училище ""Васил Левски""","31","31","31","31","74,68","84,84","84,68","82,58"
"Благоевград","Петрич","Кулата","104020","Основно училище ""Св.Св. Кирил и Методий""","2","2","2","2","50","50","52,5","57,5"
"Благоевград","Петрич","Кърналово","104025","Основно училище ""Братя Миладинови""","12","12","12","12","73,75","67,08","82,5","77,5"
"Благоевград","Петрич","Марикостиново","104018","Основно училище ""Св. Св. Кирил и Методий""","17","17","17","17","86,47","87,94","89,41","89,71"
"Благоевград","Петрич","Петрич","104007","Трето основно училище ""Гоце Делчев""","66","66","66","67","80,68","75,83","80,45","82,24"
"Благоевград","Петрич","Петрич","103310","Средно училище ""Никола Йонков Вапцаров""","84","84","84","86","88,21","74,05","89,29","89,36"
"Благоевград","Петрич","Петрич","104008","Четвърто основно училище""Христо Смирненски""","46","44","46","45","81,85","84,66","90,87","88,44"
"Благоевград","Петрич","Петрич","104006","Първо основно училище ""Кочо Мавродиев""","51","49","47","49","74,8","73,27","75","78,98"
"Благоевград","Петрич","Петрич","104002","Средно училище ""Антон Попов""","20","20","21","20","72,75","61,75","73,57","62,5"
"Благоевград","Петрич","Първомай","104004","Средно училище ""Св.Паисий Хилендарски""","36","36","36","36","72,92","63,89","68,33","73,89"
