Област;Община;Населено място;Код;Училище;Явили се БЕЛ;Ср. успех в точки БЕЛ (мах 65 т.);Явили се MAT;Ср. успех в точки MAT (мах 65 т.)
БЛАГОЕВГРАД;БЛАГОЕВГРАД;ГР.БЛАГОЕВГРАД;100-02;ІІ ОУ Димитър Благоев;68;38.18;69;41.9
БЛАГОЕВГРАД;БЛАГОЕВГРАД;ГР.БЛАГОЕВГРАД;100-04;ІV ОУ Димчо Дебелянов;46;33.65;45;31.98
БЛАГОЕВГРАД;БЛАГОЕВГРАД;ГР.БЛАГОЕВГРАД;100-07;VІІ СУ Кузман Шапкарев;78;37.37;78;34.88
БЛАГОЕВГРАД;БЛАГОЕВГРАД;ГР.БЛАГОЕВГРАД;100-11;ХІ ОУ Христо Ботев;39;30.77;39;23.64
БЛАГОЕВГРАД;БЛАГОЕВГРАД;ГР.БЛАГОЕВГРАД;100-2;ПМГ Акад. Сергей Корольов;30;50.33;30;60.07
БЛАГОЕВГРАД;БЛАГОЕВГРАД;ГР.БЛАГОЕВГРАД;101-25;СУИЧЕ Св. Климент Охридски;38;32.79;38;30
БЛАГОЕВГРАД;БЛАГОЕВГРАД;ГР.БЛАГОЕВГРАД;101-29;ІІІ ОУ ДимитърТалев;121;41.61;121;39.55
БЛАГОЕВГРАД;ГЪРМЕН;С.ГЪРМЕН;101-301;СУ Св.св.Кирил и Методий;19;31.71;17;38.41
БЛАГОЕВГРАД;БЛАГОЕВГРАД;ГР.БЛАГОЕВГРАД;101-58;VІІІ СУ Арсени Костенцев;63;35.61;63;32.27
БЛАГОЕВГРАД;БЛАГОЕВГРАД;ГР.БЛАГОЕВГРАД;101-7;ІХ ОУ Пейо Кр. Яворов;18;21.64;18;15.17
БЛАГОЕВГРАД;БЛАГОЕВГРАД;ГР.БЛАГОЕВГРАД;101-88;СУ Иван Вазов;59;37.44;59;28.98
БЛАГОЕВГРАД;ГОЦЕ ДЕЛЧЕВ;ГР.ГОЦЕ ДЕЛЧЕВ;102-002;ПМГ Яне Сандански;26;43;26;45.88
БЛАГОЕВГРАД;БАНСКО;С.МЕСТА;102-003;ОУ Св. св. Кирил и Методий;13;34.12;13;27.85
БЛАГОЕВГРАД;БЛАГОЕВГРАД;ГР.БЛАГОЕВГРАД;102-06;V СУ Георги Измирлиев;41;36.33;41;36.85
БЛАГОЕВГРАД;САНДАНСКИ;ГР.САНДАНСКИ;102-606;ІІ ОУ Хр.Смирненски;67;34.93;67;33.52
БЛАГОЕВГРАД;ГЪРМЕН;С.РИБНОВО;103-002;СУ Йордан Йовков;37;27.85;37;40.32
БЛАГОЕВГРАД;ГЪРМЕН;С.ОГНЯНОВО;103-004;ОУ Пейо Кр.Яворов;20;30.08;20;40.55
БЛАГОЕВГРАД;ГЪРМЕН;С.ДЕБРЕН;103-005;ОбУ Св. Климент Охридски;21;30.76;21;39.24
БЛАГОЕВГРАД;ГЪРМЕН;С.ГОРНО ДРЯНОВО;103-006;ОУ Св.Паисий Хилендарски;11;26.14;10;17.5
БЛАГОЕВГРАД;ГЪРМЕН;С.ДОЛНО ДРЯНОВО;103-008;ОбУ Христо Ботев;18;38.92;18;44.28
БЛАГОЕВГРАД;ГЪРМЕН;С.ХВОСТЯНЕ;103-009;ОУ Димитър Талев;10;25.2;10;20.1
БЛАГОЕВГРАД;ГЪРМЕН;С.ДЪБНИЦА;103-019;ОбУ Христо Ботев;22;33.14;22;33.91
БЛАГОЕВГРАД;СИМИТЛИ;ГР.СИМИТЛИ;103-133;СУ Св.Св.Кирил и Методий;64;30.49;64;25.53
БЛАГОЕВГРАД;ПЕТРИЧ;ГР.ПЕТРИЧ;103-31;СУ Никола Й. Вапцаров;93;35.53;93;34.46
БЛАГОЕВГРАД;ГОЦЕ ДЕЛЧЕВ;С.БРЕЗНИЦА;103-401;СУ Св. Св. Кирил и Методий;30;26.98;30;19.9
БЛАГОЕВГРАД;ГОЦЕ ДЕЛЧЕВ;ГР.ГОЦЕ ДЕЛЧЕВ;103-402;І ОУ Св.Св. Кирил и Методий;78;37.4;78;30.76
БЛАГОЕВГРАД;ГОЦЕ ДЕЛЧЕВ;ГР.ГОЦЕ ДЕЛЧЕВ;103-403;ІІ ОУ Гоце Делчев;69;39.2;68;33.31
БЛАГОЕВГРАД;ГОЦЕ ДЕЛЧЕВ;ГР.ГОЦЕ ДЕЛЧЕВ;103-404;ІІІ ОУ Братя Миладинови;35;32.49;33;24.79
БЛАГОЕВГРАД;ГОЦЕ ДЕЛЧЕВ;С.МУСОМИЩА;103-405;ОУ Христо Ботев;12;33.08;12;36.5
БЛАГОЕВГРАД;ГОЦЕ ДЕЛЧЕВ;С.БОРОВО;103-406;ОУ Св. Климент Охридски;11;29.86;11;22.73
БЛАГОЕВГРАД;ГОЦЕ ДЕЛЧЕВ;С.БУКОВО;103-407;ОУ Иван Вазов;7;34.14;7;34
БЛАГОЕВГРАД;ГОЦЕ ДЕЛЧЕВ;С.БАНИЧАН;103-408;ОУ Св. Паисий Хилендарски;6;25.17;6;22.67
БЛАГОЕВГРАД;ГОЦЕ ДЕЛЧЕВ;С.ЛЪЖНИЦА;103-409;ОбУ Петър Берон;18;36.86;18;40.89
БЛАГОЕВГРАД;ГОЦЕ ДЕЛЧЕВ;С.КОРНИЦА;103-41;ОбУ Св. Паисий Хилендарскси;20;37.25;20;39.75
БЛАГОЕВГРАД;РАЗЛОГ;ГР.РАЗЛОГ;103-501;СУ Бр.Каназиреви;60;33.15;58;29.19
БЛАГОЕВГРАД;РАЗЛОГ;ГР.РАЗЛОГ;103-502;ОУ Никола Парапунов;71;31.71;71;30.34
БЛАГОЕВГРАД;РАЗЛОГ;С.БАНЯ;103-503;ОУ Св. Паисий Хилендарски;40;32.91;39;27.49
БЛАГОЕВГРАД;РАЗЛОГ;С.БАЧЕВО;103-504;ОУ Св. Св. Кирил и Методий;17;23.65;18;18.67
